TailNumbers,reg_owner_name,model,type_aircraft,manufacturing_name,state,category,Aircraft_Age,LandingGear
N132CG,DELAWARE TRUST COMPANY TRUSTEE,C-130H,Fixed Wing Multi-Engine,LOCKHEED,DELAWARE,"Other,Forest",55,2S
N130CG,COULSON AVIATION USA INC,C-130H,Fixed Wing Multi-Engine,LOCKHEED,OREGON,None,No information,2S
N471WR,COULSON AVIATION USA INC,S-61N,Rotorcraft,SIKORSKY,OREGON,Transport,54,
N476AW,COULSON AVIATION USA INC,S-61N,Rotorcraft,SIKORSKY,OREGON,None,No information,
N745AW,COULSON AVIATION USA INC,S-61N,Rotorcraft,SIKORSKY,OREGON,None,No information,
N120LA,COUNTY OF LOS ANGELES FIRE DEPT,412EP,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,CALIFORNIA,Transport,16,
N449RC,COUNTY OF SAN DIEGO,205A-1,Rotorcraft,BELL,CALIFORNIA,"Other,Aerial Adversiting, Agriculture and Pest Control",50,
N549RL,COUNTY OF SAN DIEGO,205A-1,Rotorcraft,BELL,CALIFORNIA,Transport,48,
N107BZ,COUNTY OF SAN DIEGO,205A-1,Rotorcraft,BELL,CALIFORNIA,Transport,55,
N611CK,CROMAN CORP,SH-3H,Rotorcraft,CROMAN CORP,OREGON,"Other,Forest, Agriculture and Pest Control",62,
N612CK,CROMAN CORP,SH-3H,Rotorcraft,CROMAN CORP,OREGON,Other,61,
N613CK,CROMAN CORP,SH-3H,Rotorcraft,CROMAN CORP,OREGON,"Patrolling,Aerial Surveying,Other, Agriculture and Pest Control",58,
N624CK,CROMAN CORP,S-61A,Rotorcraft,SIKORSKY,OREGON,"Aerial Surveying,Other,Forest",59,
N1043T,CROMAN CORP,S-61A,Rotorcraft,SIKORSKY,OREGON,Other,62,
N1048Y,CROMAN CORP,S-61A,Rotorcraft,SIKORSKY,OREGON,"Aerial Surveying,Other",62,
N386AC,DELAWARE TRUST CO TRUSTEE,CL-215-6B11 (CL-415),Fixed Wing Multi-Engine,BOMBARDIER INC,DELAWARE,Forest,8,
N392AC,DELAWARE TRUST CO TRUSTEE,CL-215-6B11 (CL-415),Fixed Wing Multi-Engine,BOMBARDIER INC,DELAWARE,Forest,9,
N138CG,DELAWARE TRUST CO TRUSTEE,737-3H4,Fixed Wing Multi-Engine,BOEING,DELAWARE,Transport,28,
N137CG,DELAWARE TRUST CO TRUSTEE,737-3H4,Fixed Wing Multi-Engine,BOEING,DELAWARE,Transport,28,
N161CG,DELAWARE TRUST CO TRUSTEE,S-61N,Rotorcraft,SIKORSKY,DELAWARE,Transport,55,
N213KA,DELAWARE TRUST CO TRUSTEE,212,Rotorcraft,BELL,DELAWARE,Transport,42,
N131CG,DELAWARE TRUST CO TRUSTEE,EC130Q,Fixed Wing Multi-Engine,LOCKHEED,DELAWARE,"Other,Forest",43,
N619SW,DELAWARE TRUST COMPANY TRUSTEE,737-3H4,Fixed Wing Multi-Engine,BOEING,DELAWARE,Transport,28,
N149FC,DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,182T,Fixed Wing Single-Engine,TEXTRON AVIATION INC,FLORIDA,Normal,6,S
N153FC,DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,182T,Fixed Wing Single-Engine,CESSNA,FLORIDA,Normal,17,S
N158FC,DEPT OF AGRICULTURE & CONSUMER SERVICES,182T,Fixed Wing Single-Engine,CESSNA,FLORIDA,Normal,15,S
N178AC,ERICKSON INC,S-64F,Rotorcraft,SIKORSKY,OREGON,Transport,52,
N217AC,ERICKSON INC,S64E,Rotorcraft,ERICKSON,OREGON,"Other,Aerial Adversiting, Agriculture and Pest Control",55,
N400DS,FLYING H ENTERPRISES LLC,690B,Fixed Wing Multi-Engine,ROCKWELL INTERNATIONAL,ARIZONA,None,45,S
N83FJ,FX SOLUTIONS INC,FALCON 50,Fixed Wing Multi-Engine,DASSAULT-BREGUET,MONTANA,Transport,42,D
N508JR,GARRISON WILLIAM E JR,S2F-1 (TS-2A),Fixed Wing Multi-Engine,GRUMMAN,KANSAS,None,No information,
N803RA,ARSIERO AIR LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,IDAHO,None,No information,
N357KA,HELI 807 LEASING LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,ALASKA,Normal,22,
N402PJ,HELIBRO LLC,407,Rotorcraft,BELL,CALIFORNIA,"Normal,Aerail Advertising",26,
N32AT,HELIBRO LLC,407,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,CALIFORNIA,"Agriculture and Pest Control, Aerial Advertising, Agriculture and Pest Control",13,
N448JS,HELICARRIER USA INC,S-61N,Rotorcraft,SIKORSKY,DELAWARE,Transport,55,
N40HX,HELICOPTER EXPRESS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,GEORGIA,Normal,4,
N16HX,HELICOPTER EXPRESS INC,205A-1,Rotorcraft,BELL,GEORGIA,Transport,44,
N1168U,HELI-FLITE INC,S-58ET,Rotorcraft,SIKORSKY,CALIFORNIA,Normal,65,
N947CH,HELIGROUP FIRE LLC,CH47D,Rotorcraft,TANDEM ROTOR LLC,MONTANA,"Other,Forest, Agriculture and Pest Control",33,
N949CH,HELIGROUP FIRE LLC,CH47D,Rotorcraft,TANDEM ROTOR LLC,MONTANA,"Other,Forest, Agriculture and Pest Control",33,
N948CH,HELIGROUP FIRE LLC,CH47D,Rotorcraft,TANDEM ROTOR LLC,MONTANA,"Other,Forest, Agriculture and Pest Control",33,
N8286,HIGH PERFORMANCE HELICOPTERS CORP,UH-60A,Rotorcraft,SIKORSKY,CALIFORNIA,"Other,Forest, Agriculture and Pest Control",44,
N407MC,HILLSBORO AVIATION INC,407,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,OREGON,Normal,18,
N804KP,HOG AIR AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,ARKANSAS,"Forest, Agriculture and Pest Control",10,S
N804RX,HOG AIR AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,ARKANSAS,"Forest, Agriculture and Pest Control",4,S
N895MA,HOMETOWNE BUILDINGS & TRAILERS LLC,MU-2B-36A,Fixed Wing Multi-Engine,MITSUBISHI,TENNESSEE,Normal,No information,
N419FF,PLANTERS AIR SERVICE INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MISSISSIPPI,"Forest, Agriculture and Pest Control",19,S
N121TG,INTERNATIONAL AIR RESPONSE,C-130A,Fixed Wing Multi-Engine,LOCKHEED,ARIZONA,"Patrolling,Aerial Surveying,Other, Agriculture and Pest Control",67,
N117TG,INTERNATIONAL AIR RESPONSE INC,C-130A,Fixed Wing Multi-Engine,LOCKHEED,ARIZONA,"Other,Patrolling,Forest, Agriculture and Pest Control",69,
N118TG,INTERNATIONAL AIR RESPONSE INC,C-130A,Fixed Wing Multi-Engine,LOCKHEED,ARIZONA,"Other,Patrolling,Forest, Agriculture and Pest Control",66,
N120TG,INTERNATIONAL AIR RESPONSE INC,C-130A,Fixed Wing Multi-Engine,LOCKHEED,ARIZONA,"Patrolling,Aerial Surveying,Other, Agriculture and Pest Control",68,
N83BH,JAMBB LLC,EH-60A,Rotorcraft,SIKORSKY,CALIFORNIA,Forest,36,
N528NR,MINNESOTA DEPARTMENT OF NATURAL RESOURCES,KODIAK 100,Fixed Wing Single-Engine,KODIAK AIRCRAFT CO INC,MINNESOTA,Normal,1,S
N58468,LONG-LINE LEASING LLC,UH-1H,Rotorcraft,WESTERN INTERNATIONAL AVIA INC,UTAH,"Carriage of Cargo,Forest, Agriculture and Pest Control",52,
N302FD,LOS ANGELES CITY,AW139,Rotorcraft,AGUSTA AEROSPACE CORP,CALIFORNIA,Transport,12,
N405LC,LYNDEN AIR CARGO LLC,382G,Fixed Wing Multi-Engine,LOCKHEED,ALASKA,"Other, Agriculture and Pest Control, Aerial Advertising",38,
N69TP,MCCARLEY BRIAN,500N,Rotorcraft,MCDONNELL DOUGLAS HELICOPTER,TEXAS,Normal,29,
