Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
GAL,064-44-10.2800N,156-56-04.4000W,OCT-APR/MON-FRI/0600-1700,06/24,2600,50,GRAVEL-G,,,,,,F
EDF,061-15-04.8700N,149-48-23.4900W,ALL/ALL/ALL,06/24,10000,200,ASPH,HIGH,,,,,G
EDF,061-15-04.8700N,149-48-23.4900W,ALL/ALL/ALL,16/34,7493,150,ASPH,HIGH,,,,,G
FAI,064-48-55.2800N,147-51-24.0000W,ALL/ALL/ALL,02R/20L,4510,75,ASPH-G,MED,,,,,G
FAI,064-48-55.2800N,147-51-24.0000W,ALL/ALL/ALL,02L/20R,11800,150,ASPH-G,HIGH,75,220,580,1100,G
FAI,064-48-55.2800N,147-51-24.0000W,ALL/ALL/ALL,02/20,2900,75,GRVL,,,,,,
FAI,064-48-55.2800N,147-51-24.0000W,ALL/ALL/ALL,02W/20W,5400,100,WATER,,,,,,G
FYU,066-34-20.7000N,145-14-46.8000W,UNATNDD,04/22,5000,100,GRVL-DIRT-G,MED,,,,,G
GKN,062-09-15.6000N,145-27-19.0500W,OCT-MAY/MON-FRI/1000-1500,15R/33L,2300,60,GRVL-G,,,,,,G
GKN,062-09-15.6000N,145-27-19.0500W,JUN-SEP/MON-FRI/0900-1700,15R/33L,2300,60,GRVL-G,,,,,,G
GKN,062-09-15.6000N,145-27-19.0500W,OCT-MAY/MON-FRI/1000-1500,15L/33R,5001,100,ASPH-G,MED,,,,,G
GKN,062-09-15.6000N,145-27-19.0500W,JUN-SEP/MON-FRI/0900-1700,15L/33R,5001,100,ASPH-G,MED,,,,,G
GST,058-25-31.0000N,135-42-26.7000W,"15 MAY-1SEP/FRI-MON/0930-1800",02/20,3010,60,ASPH-G,,40,,,,G
GST,058-25-31.0000N,135-42-26.7000W,"1 SEP-15 MAY/ALL/0600-1430",02/20,3010,60,ASPH-G,,40,,,,G
GST,058-25-31.0000N,135-42-26.7000W,"15 MAY-1 SEP/TUE-THU/0600-1800",02/20,3010,60,ASPH-G,,40,,,,G
GST,058-25-31.0000N,135-42-26.7000W,"15 MAY-1SEP/FRI-MON/0930-1800",11/29,6720,150,ASPH-G,MED,60,100,,,G
GST,058-25-31.0000N,135-42-26.7000W,"1 SEP-15 MAY/ALL/0600-1430",11/29,6720,150,ASPH-G,MED,60,100,,,G
GST,058-25-31.0000N,135-42-26.7000W,"15 MAY-1 SEP/TUE-THU/0600-1800",11/29,6720,150,ASPH-G,MED,60,100,,,G
HNS,059-14-37.7900N,135-31-24.7400W,UNATNDD,08/26,4000,100,ASPH-G,MED,,,,,G
HOM,059-38-41.9800N,151-29-08.9100W,APR-OCT/ALL/0600-2100,04/22,6701,150,ASPH-P,HIGH,62,70,189,,P
HOM,059-38-41.9800N,151-29-08.9100W,NOV-MAR/ALL/0400-2100,04/22,6701,150,ASPH-P,HIGH,62,70,189,,P
HOM,059-38-41.9800N,151-29-08.9100W,APR-OCT/ALL/0600-2100,06W/24W,2501,100,WATER,,,,,,
HOM,059-38-41.9800N,151-29-08.9100W,NOV-MAR/ALL/0400-2100,06W/24W,2501,100,WATER,,,,,,
HPB,061-31-25.9300N,166-08-47.8400W,UNATNDD,14/32,3300,75,GRVL-DIRT-F,MED,,,,,G
HLA,065-41-52.3000N,156-21-05.0000W,UNATNDD,03/21,4000,75,GRAVEL-G,MED,,,,,
JNU,058-21-16.9600N,134-34-42.4900W,ALL/ALL/ALL,08/26,8857,150,ASPH-G,HIGH,120,250,550,,F
JNU,058-21-16.9600N,134-34-42.4900W,ALL/ALL/ALL,08W/26W,4800,150,WATER,,,,,,
ENA,060-34-23.8000N,151-14-41.4000W,ALL/MON-FRI/0800-1700,02R/20L,1980,75,GRVL-G,,,,,,
ENA,060-34-23.8000N,151-14-41.4000W,ALL/MON-FRI/0800-1700,02L/20R,7855,150,ASPH-G,HIGH,75,150,250,,F
ENA,060-34-23.8000N,151-14-41.4000W,ALL/MON-FRI/0800-1700,02W/20W,4600,240,WATER-G,,,,,,G
KTN,055-21-14.7000N,131-42-40.4000W,ALL/ALL/0600-2130,WNW/ESE,9500,1500,WATER,,,,,,
KTN,055-21-14.7000N,131-42-40.4000W,ALL/ALL/0600-2130,11/29,7500,150,ASPH-G,HIGH,75,200,300,,G
KVC,055-06-58.9800N,162-15-59.5300W,UNATNDD,08/26,3500,115,GRVL-G,MED,,,,,F
ADQ,057-44-59.2600N,152-29-38.2000W,"SAME AS ARPT MAINT HRS",11/29,5400,150,ASPH-G,HIGH,53,110,150,,F
ADQ,057-44-59.2600N,152-29-38.2000W,"SAME AS ARPT MAINT HRS",08/26,7534,150,ASPH-G,HIGH,53,110,150,,G
ADQ,057-44-59.2600N,152-29-38.2000W,"SAME AS ARPT MAINT HRS",01/19,5010,150,ASPH-G,HIGH,53,110,150,,G
FBK,064-50-15.4000N,147-36-52.1700W,ALL/MON-FRI/1700-0800++,H7,50,50,ASPH-CONC-G,,,,,,
FBK,064-50-15.4000N,147-36-52.1700W,ALL/MON-FRI/1700-0800++,H5,50,50,ASPH-CONC-G,,,,,,
FBK,064-50-15.4000N,147-36-52.1700W,ALL/MON-FRI/1700-0800++,H4,50,50,ASPH-CONC-G,,,,,,
FBK,064-50-15.4000N,147-36-52.1700W,ALL/MON-FRI/1700-0800++,H1,50,50,ASPH-CONC-G,,,,,,
FBK,064-50-15.4000N,147-36-52.1700W,ALL/MON-FRI/1700-0800++,07/25,8575,150,ASPH-CONC,HIGH,,38,,,G
FBK,064-50-15.4000N,147-36-52.1700W,ALL/MON-FRI/1700-0800++,H6,50,50,ASPH-CONC-G,,,,,,
MLY,064-59-16.6000N,150-38-51.3000W,UNATNDD,18/36,3400,60,GRAVEL-G,MED,,,,,
MCG,062-57-10.0200N,155-36-25.3700W,MAY-SEPT/THURS/0700-1500,05/23,2000,60,GRAVEL-G,MED,,,,,
MCG,062-57-10.0200N,155-36-25.3700W,"OCT-APR/MON-FRI/0800 - 1630",05/23,2000,60,GRAVEL-G,MED,,,,,
MCG,062-57-10.0200N,155-36-25.3700W,MAY-SEPT/MON-WED/0700-1730,05/23,2000,60,GRAVEL-G,MED,,,,,
MCG,062-57-10.0200N,155-36-25.3700W,MAY-SEPT/THURS/0700-1500,16/34,5936,100,ASPH-G,MED,32,80,120,,G
MCG,062-57-10.0200N,155-36-25.3700W,"OCT-APR/MON-FRI/0800 - 1630",16/34,5936,100,ASPH-G,MED,32,80,120,,G
MCG,062-57-10.0200N,155-36-25.3700W,MAY-SEPT/MON-WED/0700-1730,16/34,5936,100,ASPH-G,MED,32,80,120,,G
CDV,060-29-29.9000N,145-28-39.2100W,ALL/SAT-SUN/0600-1630,16/34,1934,30,GRVL-F,,,,,,P
CDV,060-29-29.9000N,145-28-39.2100W,ALL/MON-FRI/0600-1630,16/34,1934,30,GRVL-F,,,,,,P
CDV,060-29-29.9000N,145-28-39.2100W,ALL/SAT-SUN/0600-1630,09/27,7500,150,ASPH-G,HIGH,90,153,280,,G
CDV,060-29-29.9000N,145-28-39.2100W,ALL/MON-FRI/0600-1630,09/27,7500,150,ASPH-G,HIGH,90,153,280,,G
MRI,061-12-48.7700N,149-50-40.9500W,ALL/MON-FRI/0730-1700,16/34,2640,75,ASPH-F,MED,20,,,,F
MRI,061-12-48.7700N,149-50-40.9500W,ALL/MON-FRI/0730-1700,07/25,4000,100,ASPH-G,MED,50,80,,,G
MRI,061-12-48.7700N,149-50-40.9500W,ALL/MON-FRI/0730-1700,05/23,2000,60,ASPH-GRVL-G,,,,,,G
ENN,064-32-50.2800N,149-04-26.1300W,UNATTND,04W/22W,3601,100,WATER,,,,,,G
ENN,064-32-50.2800N,149-04-26.1300W,UNATTND,04R/22L,1980,80,TURF-G,MED,,,,,F
ENN,064-32-50.2800N,149-04-26.1300W,UNATTND,04L/22R,4600,100,ASPH-G,MED,160,,,,G
OME,064-30-45.2000N,165-26-39.8000W,ALL/ALL/0700-2100,03/21,6176,150,ASPH-G,MED,,150,,,G
OME,064-30-45.2000N,165-26-39.8000W,ALL/ALL/0700-2100,10/28,6009,150,ASPH-G,HIGH,150,150,320,,G
NUL,064-43-45.6000N,158-04-27.2000W,UNATNDD,03/21,4011,100,GRAVEL-G,MED,,,,,
PSG,056-48-05.3000N,132-56-46.4000W,APR-SEP/SAT-SUN/0830-1630,05/23,6400,150,ASPH-G,HIGH,75,160,,,F
PSG,056-48-05.3000N,132-56-46.4000W,APR-SEP/MON-FRI/0600-1630,05/23,6400,150,ASPH-G,HIGH,75,160,,,F
PSG,056-48-05.3000N,132-56-46.4000W,OCT-MAR/ALL/0500-1600,05/23,6400,150,ASPH-G,HIGH,75,160,,,F
TAL,065-10-27.8000N,152-06-29.2000W,UNATNDD,07/25,4400,100,GRAVEL-G,MED,,,,,
SDP,055-18-49.3000N,160-31-17.1300W,"JAN - DEC/MON - SAT/0800-1600",14/32,5213,150,ASPH-G,MED,120,250,,,G
SIT,057-02-48.6000N,135-21-39.8500W,ALL/ALL/,11/29,7200,150,ASPH-G,HIGH,100,160,300,,F
SXQ,060-28-30.5000N,151-02-22.7000W,ALL/ALL/0700-1600,07S/25S,2300,60,GRVL-DIRT-F,,,,,,P
SXQ,060-28-30.5000N,151-02-22.7000W,ALL/ALL/0700-1600,07/25,5001,130,ASPH-F,MED,12,,,,G
PBV,056-34-38.5000N,169-39-49.4000W,UNATNDD,11/29,4982,150,ASPH-G,HIGH,,,,,F
SNP,057-09-58.7000N,170-13-21.2000W,UNATNDD,18/36,6500,150,ASPH-G,HIGH,,,,,G
ANC,061-10-26.7000N,149-59-53.3000W,ALL/ALL/ALL,15/33,10865,200,ASPH-G,HIGH,75,175,400,900,G
ANC,061-10-26.7000N,149-59-53.3000W,ALL/ALL/ALL,07L/25R,10600,150,ASPH-G,HIGH,75,175,400,900,G
ANC,061-10-26.7000N,149-59-53.3000W,ALL/ALL/ALL,07R/25L,12400,200,ASPH-CONC-G,HIGH,75,175,400,1300,G
6K8,063-19-46.2500N,142-57-13.2600W,ALL/MON-FRI/0800-1800,07/25,2509,50,ASPH-G,MED,,,,,G
UBW,070-19-50.4000N,149-35-53.0000W,,06/24,6551,150,ASPH-G,HIGH,,,,,F
DUT,053-53-56.2000N,166-32-42.1000W,ALL/ALL/0800-1630,13/31,4500,100,ASPH-F,MED,60,,210,,G
VDZ,061-08-03.2000N,146-14-41.1700W,"JAN-DEC/MON - FRI/0600-1830",06/24,6500,150,ASPH-G,HIGH,75,200,300,,F
VDZ,061-08-03.2000N,146-14-41.1700W,"JAN-DEC/SAT & SUN/0800-1830",06/24,6500,150,ASPH-G,HIGH,75,200,300,,F
PAQ,061-35-41.7000N,149-05-19.4000W,ALL/M-F/0800-1700,10/28,3616,75,ASPH-G,MED,,,,,F
PAQ,061-35-41.7000N,149-05-19.4000W,ALL/M-F/0800-1700,H1,50,50,ASPH-F,,,,,,
PAQ,061-35-41.7000N,149-05-19.4000W,ALL/M-F/0800-1700,16S/34S,1560,60,GRVL-G,,,,,,
PAQ,061-35-41.7000N,149-05-19.4000W,ALL/M-F/0800-1700,16/34,6006,100,ASPH-G,MED,180,,,,F
BRW,071-17-05.5000N,156-46-06.9000W,ALL/ALL/0600-2030,08/26,7100,150,ASPH-F,HIGH,75,160,300,,G
WRG,056-29-03.6000N,132-22-11.4000W,ALL/ALL/0600-1700,10/28,6000,150,ASPH-G,HIGH,75,175,175,,G
YAK,059-30-11.9600N,139-39-36.9700W,ALL/ALL/1430Z-0130Z,02/20,6475,150,CONC-G,HIGH,38,107,200,,G
YAK,059-30-11.9600N,139-39-36.9700W,ALL/ALL/1430Z-0130Z,11/29,7732,150,ASPH-G,HIGH,38,107,200,,F
BHM,033-33-50.0000N,086-45-08.3000W,ALL/ALL/ALL,18/36,7099,150,ASPH-G,MED,75,170,240,,G
BHM,033-33-50.0000N,086-45-08.3000W,ALL/ALL/ALL,06/24,12007,150,ASPH-G,HIGH,175,205,350,,F
DHN,031-19-15.7000N,085-26-58.1000W,ALL/ALL/ALL,14/32,8499,150,ASPH-E,HIGH,75,105,190,,G
DHN,031-19-15.7000N,085-26-58.1000W,ALL/ALL/ALL,18/36,5498,100,ASPH-F,HIGH,75,105,190,,G
EDN,031-17-59.0000N,085-53-59.4000W,ALL/SUNDAY/UNATNDD,05/23,5080,100,ASPH-G,MED,,,,,F
EDN,031-17-59.0000N,085-53-59.4000W,"ALL/SATURDAY/0800 - 1700",05/23,5080,100,ASPH-G,MED,,,,,F
EDN,031-17-59.0000N,085-53-59.4000W,"ALL/MONDAY - FRIDAY/0700 - 1700",05/23,5080,100,ASPH-G,MED,,,,,F
BFM,030-37-36.4100N,088-04-05.1300W,ALL/ALL/0700-2300,14/32,9618,150,ASPH-CONC-G,HIGH,75,185,325,,G
BFM,030-37-36.4100N,088-04-05.1300W,ALL/ALL/0700-2300,18/36,7800,150,ASPH-CONC-F,MED,76,150,320,,G
EET,033-10-40.0000N,086-46-59.6000W,ALL/ALL/0700-1900,16/34,5000,75,ASPH-F,MED,16,,,,G
LIT,034-43-45.9900N,092-13-29.2000W,ALL/ALL/ALL,18/36,6224,150,CONC-G,MED,75,100,135,,G
LIT,034-43-45.9900N,092-13-29.2000W,ALL/ALL/ALL,04L/22R,8273,150,CONC-G,HIGH,75,200,350,,G
LIT,034-43-45.9900N,092-13-29.2000W,ALL/ALL/ALL,04R/22L,8251,150,CONC-G,HIGH,75,200,350,,G
FYV,036-00-18.3000N,094-10-12.2000W,ALL/MON-FRI/0600-2200,16/34,6005,100,ASPH-G,MED,90,150,175,,G
FYV,036-00-18.3000N,094-10-12.2000W,ALL/SAT-SUN/0800-2000,16/34,6005,100,ASPH-G,MED,90,150,175,,G
FSM,035-20-11.7100N,094-22-02.8000W,ALL/ALL/ALL,08/26,8017,150,ASPH-G,HIGH,75,175,295,,G
FSM,035-20-11.7100N,094-22-02.8000W,ALL/ALL/ALL,02/20,5001,150,ASPH-G,MED,55,70,120,,G
JBR,035-49-54.1600N,090-38-47.1200W,ALL/ALL/0600-2100,13/31,4099,150,ASPH-G,MED,50,60,95,,F
JBR,035-49-54.1600N,090-38-47.1200W,ALL/ALL/0600-2100,05/23,6200,150,ASPH-G,MED,40,48,76,,P
HOT,034-28-40.9000N,093-05-46.4000W,ALL/ALL/0500-2200,13/31,4098,100,ASPH-G,MED,28,36,63,,G
HOT,034-28-40.9000N,093-05-46.4000W,ALL/ALL/0500-2200,05/23,6595,150,ASPH-G,HIGH,75,125,210,400,G
SGT,034-35-58.1200N,091-34-30.0000W,NOV-JAN/ALL/0800-2000,18/36,6015,100,ASPH-G,MED,75,150,200,300,G
SGT,034-35-58.1200N,091-34-30.0000W,FEB-OCT/MON-FRI/0800-1600,18/36,6015,100,ASPH-G,MED,75,150,200,300,G
SGT,034-35-58.1200N,091-34-30.0000W,NOV-JAN/ALL/0800-2000,09/27,5002,150,CONC-G,MED,25,65,120,,F
SGT,034-35-58.1200N,091-34-30.0000W,FEB-OCT/MON-FRI/0800-1600,09/27,5002,150,CONC-G,MED,25,65,120,,F
TXK,033-27-13.4000N,093-59-27.7000W,ALL/ALL/0600-2200,13/31,5200,100,ASPH-G,MED,25,,,,G
TXK,033-27-13.4000N,093-59-27.7000W,ALL/ALL/0600-2200,04/22,6601,150,ASPH-G,HIGH,50,86,120,,G
P20,034-08-59.4000N,114-16-04.2000W,ALL/ALL/0800-1700,01/19,6250,100,ASPH-G,MED,30,50,,,P
P52,034-43-48.2000N,112-02-06.4900W,ALL/ALL/0800-1700,14/32,4250,75,ASPH-G,MED,4,,,,G
DMA,032-09-58.9100N,110-52-59.4100W,,12/30,13643,200,PEM,HIGH,,,,,
FFZ,033-27-39.0300N,111-43-41.9700W,ALL/ALL/ALL,04R/22L,5100,100,ASPH-G,MED,38,60,90,,G
FFZ,033-27-39.0300N,111-43-41.9700W,ALL/ALL/ALL,04L/22R,3799,75,ASPH-G,MED,12,,,,G
FLG,035-08-25.1400N,111-40-09.2700W,ALL/ALL/ALL,03/21,8800,150,ASPH-E,HIGH,30,95,140,,G
GEU,033-31-36.9000N,112-17-42.5000W,ALL/ALL/0630-1930,01/19,7150,100,ASPH-G,MED,40,60,,,G
88AZ,033-38-27.2700N,111-03-24.9000W,,17/35,3800,40,ASPH-CONC,,,,,,
IGM,035-15-34.1200N,113-56-16.9800W,ALL/SAT-SUN/0600-1400,03/21,6827,150,ASPH-G,MED,45,85,125,265,G
IGM,035-15-34.1200N,113-56-16.9800W,ALL/MON-FRI/0600-1600,03/21,6827,150,ASPH-G,MED,45,85,125,265,G
IGM,035-15-34.1200N,113-56-16.9800W,ALL/SAT-SUN/0600-1400,17/35,6725,75,ASPH-G,MED,22,60,,,G
IGM,035-15-34.1200N,113-56-16.9800W,ALL/MON-FRI/0600-1600,17/35,6725,75,ASPH-G,MED,22,60,,,G
HII,034-34-16.0500N,114-21-29.8000W,ALL/ALL/0800-1700,14/32,8000,100,ASPH-F,MED,100,,,,G
IFP,035-09-16.6100N,114-33-33.6000W,ALL/ALL/ALL,16/34,8501,150,ASPH-G,MED,75,200,400,,G
AVQ,032-24-34.4000N,111-13-06.2000W,ALL/ALL/0700-1730,03/21,3892,75,ASPH-G,MED,75,100,150,,G
AVQ,032-24-34.4000N,111-13-06.2000W,ALL/ALL/0700-1730,12/30,6901,100,ASPH-G,MED,75,100,300,,G
OLS,031-25-03.8000N,110-50-52.4000W,ALL/ALL/0700-1900,H1,97,97,CONC-G,,22,,,,
OLS,031-25-03.8000N,110-50-52.4000W,ALL/ALL/0700-1900,03/21,7200,100,ASPH-G,MED,21,,,,P
PGA,036-55-33.8500N,111-26-54.0600W,ALL/ALL/DALGT,07/25,2201,75,ASPH-G,,,12,,,F
PGA,036-55-33.8500N,111-26-54.0600W,ALL/ALL/DALGT,15/33,5950,150,ASPH-G,MED,65,90,190,,G
PAN,034-15-24.6100N,111-20-21.3200W,ALL/SAT-SUN/0700-1200,06/24,5504,75,ASPH-G,MED,40,50,100,,G
PAN,034-15-24.6100N,111-20-21.3200W,ALL/MON-FRI/0700-1600,06/24,5504,75,ASPH-G,MED,40,50,100,,G
PAN,034-15-24.6100N,111-20-21.3200W,ALL/SAT-SUN/0700-1200,H1,50,50,CONC-G,,,,,,
PAN,034-15-24.6100N,111-20-21.3200W,ALL/MON-FRI/0700-1600,H1,50,50,CONC-G,,,,,,
DVT,033-41-17.9000N,112-04-57.2000W,ALL/ALL/ALL,07L/25R,4500,75,ASPH-G,MED,70,117,,,G
DVT,033-41-17.9000N,112-04-57.2000W,ALL/ALL/ALL,07R/25L,8196,100,ASPH-G,MED,20,91,255,,G
GYR,033-25-23.8000N,112-22-31.3000W,ALL/ALL/ALL,H1,64,64,CONC,PERI,,,,,
GYR,033-25-23.8000N,112-22-31.3000W,ALL/ALL/ALL,03/21,8500,150,ASPH-G,MED,115,225,505,985,G
IWA,033-18-28.1700N,111-39-19.6500W,ALL/ALL/ALL,12R/30L,10401,150,CONC-G,MED,55,95,185,550,G
IWA,033-18-28.1700N,111-39-19.6500W,ALL/ALL/ALL,12L/30R,9300,150,CONC-G,HIGH,75,210,590,850,G
IWA,033-18-28.1700N,111-39-19.6500W,ALL/ALL/ALL,12C/30C,10201,150,ASPH-CONC-G,HIGH,55,95,185,550,G
PHX,033-26-03.4000N,112-00-41.7000W,ALL/ALL/ALL,08/26,11489,150,CONC-G,HIGH,30,200,455,965,G
PHX,033-26-03.4000N,112-00-41.7000W,ALL/ALL/ALL,07L/25R,10300,150,CONC-G,HIGH,30,235,435,940,G
PHX,033-26-03.4000N,112-00-41.7000W,ALL/ALL/ALL,07R/25L,7800,150,CONC-G,HIGH,30,200,400,1010,G
MZJ,032-30-35.4000N,111-19-31.2000W,ALL/ALL/0700-1530,12/30,6849,150,ASPH-P,MED,68,100,270,500,P
PRC,034-39-17.4000N,112-25-09.2000W,ALL/ALL/0600-2200,12/30,4408,75,ASPH-G,MED,12,,,,G
PRC,034-39-17.4000N,112-25-09.2000W,ALL/ALL/0600-2200,03R/21L,7619,150,ASPH-G,MED,63,80,100,,G
PRC,034-39-17.4000N,112-25-09.2000W,ALL/ALL/0600-2200,03L/21R,4846,60,ASPH-G,MED,12,,,,
RYN,032-08-31.9600N,111-10-28.4900W,ALL/M-F/0800-1700,15/33,4010,75,ASPH-F,MED,,,,,G
RYN,032-08-31.9600N,111-10-28.4900W,ALL/SAT/0800-1700,15/33,4010,75,ASPH-F,MED,,,,,G
RYN,032-08-31.9600N,111-10-28.4900W,ALL/M-F/0800-1700,06R/24L,5500,75,ASPH-G,MED,12,30,,,G
RYN,032-08-31.9600N,111-10-28.4900W,ALL/SAT/0800-1700,06R/24L,5500,75,ASPH-G,MED,12,30,,,G
RYN,032-08-31.9600N,111-10-28.4900W,ALL/M-F/0800-1700,06L/24R,4900,75,ASPH-G,MED,12,30,,,F
RYN,032-08-31.9600N,111-10-28.4900W,ALL/SAT/0800-1700,06L/24R,4900,75,ASPH-G,MED,12,30,,,F
SAD,032-51-12.0300N,109-38-06.2900W,"ALL/SUN/ON CALL",H1,72,72,CONC,MED,,,,,
SAD,032-51-12.0300N,109-38-06.2900W,ALL/MON-SAT/0800-1700,H1,72,72,CONC,MED,,,,,
SAD,032-51-12.0300N,109-38-06.2900W,"ALL/SUN/ON CALL",08/26,4802,60,ASPH-G,MED,23,,,,G
SAD,032-51-12.0300N,109-38-06.2900W,ALL/MON-SAT/0800-1700,08/26,4802,60,ASPH-G,MED,23,,,,G
SAD,032-51-12.0300N,109-38-06.2900W,"ALL/SUN/ON CALL",12/30,6007,100,ASPH-G,MED,33,,,,G
SAD,032-51-12.0300N,109-38-06.2900W,ALL/MON-SAT/0800-1700,12/30,6007,100,ASPH-G,MED,33,,,,G
P13,033-21-11.3000N,110-40-02.5000W,UNATNDD,09/27,6500,100,ASPH-F,MED,60,,,,F
SDL,033-37-22.4000N,111-54-37.9000W,ALL/ALL/ALL,03/21,8249,100,ASPH-G,MED,45,75,,,G
SEZ,034-50-54.9200N,111-47-18.4100W,OCT-APR/ALL/0700-1700,H1,50,50,CONC-G,FLD,,,,,
SEZ,034-50-54.9200N,111-47-18.4100W,MAY-SEP/ALL/0700-1800,H1,50,50,CONC-G,FLD,,,,,
SEZ,034-50-54.9200N,111-47-18.4100W,OCT-APR/ALL/0700-1700,03/21,5132,100,ASPH-G,MED,15,30,,,G
SEZ,034-50-54.9200N,111-47-18.4100W,MAY-SEP/ALL/0700-1800,03/21,5132,100,ASPH-G,MED,15,30,,,G
FHU,031-35-18.5000N,110-20-39.8000W,ALL/MON-FRI/1400-2230Z,H1,40,40,ASPH,PERI,,,,,
FHU,031-35-18.5000N,110-20-39.8000W,ALL/MON-FRI/1400-2230Z,12/30,5366,100,ASPH-CONC-G,MED,46,106,137,172,G
FHU,031-35-18.5000N,110-20-39.8000W,ALL/MON-FRI/1400-2230Z,08/26,12001,150,CONC-E,HIGH,75,200,450,700,G
FHU,031-35-18.5000N,110-20-39.8000W,ALL/MON-FRI/1400-2230Z,03/21,4285,75,ASPH-CONC-G,MED,,,,,G
JTC,034-07-45.9000N,109-18-39.1000W,ALL/ALL/0800-1600,03/21,8422,75,ASPH-G,MED,30,,,,G
JTC,034-07-45.9000N,109-18-39.1000W,ALL/ALL/0800-1600,11/29,4603,60,ASPH-G,MED,19,,,,P
TUS,032-06-57.8500N,110-56-27.6500W,ALL/ALL/ALL,11R/29L,8408,75,ASPH-G,MED,120,140,220,,G
TUS,032-06-57.8500N,110-56-27.6500W,ALL/ALL/ALL,11L/29R,10996,150,ASPH-G,HIGH,160,200,350,585,G
TUS,032-06-57.8500N,110-56-27.6500W,ALL/ALL/ALL,03/21,7000,150,ASPH-G,MED,105,137,230,500,G
E25,033-58-14.2700N,112-47-42.3200W,ALL/TUE-SAT/0700-1600,05/23,6101,75,ASPH-G,MED,30,60,,,G
INW,035-01-18.8700N,110-43-21.0600W,ALL/SAT-SUN/0800-1700,11/29,7100,150,ASPH-F,MED,60,70,110,,F
INW,035-01-18.8700N,110-43-21.0600W,ALL/MON-FRI/0700-1800,11/29,7100,150,ASPH-F,MED,60,70,110,,F
INW,035-01-18.8700N,110-43-21.0600W,ALL/SAT-SUN/0800-1700,04/22,7499,150,ASPH-G,MED,50,80,125,,F
INW,035-01-18.8700N,110-43-21.0600W,ALL/MON-FRI/0700-1800,04/22,7499,150,ASPH-G,MED,50,80,125,,F
NYL,032-39-23.6700N,114-36-21.5500W,ALL/ALL/,03L/21R,13300,200,CONC-G,HIGH,103,200,400,,G
NYL,032-39-23.6700N,114-36-21.5500W,ALL/ALL/,17/35,5710,150,ASPH-CONC-G,HIGH,72,171,255,,G
NYL,032-39-23.6700N,114-36-21.5500W,ALL/ALL/,08/26,6146,150,ASPH-G,HIGH,63,137,206,,G
NYL,032-39-23.6700N,114-36-21.5500W,ALL/ALL/,03R/21L,9240,150,ASPH-CONC-G,HIGH,162,200,400,,G
APV,034-34-31.2000N,117-11-10.3000W,ALL/ALL/0800-1700,18/36,6498,150,ASPH-F,MED,70,90,150,,F
APV,034-34-31.2000N,117-11-10.3000W,ALL/ALL/0800-1700,08/26,4099,60,ASPH-P,,40,60,100,,P
AUN,038-57-17.4000N,121-04-54.2000W,ALL/ALL/0800-1800,07/25,3700,75,ASPH-G,MED,30,,,,G
DAG,034-51-13.4000N,116-47-12.1000W,ALL/ALL/0630-1700,04/22,5123,100,ASPH-F,MED,30,105,190,,F
DAG,034-51-13.4000N,116-47-12.1000W,ALL/ALL/0630-1700,08/26,6402,150,ASPH-F,MED,30,170,320,,F
L35,034-15-49.6000N,116-51-21.7000W,ALL/ALL/0800-1700,08/26,5850,75,ASPH-G,MED,12,,,,G
BUR,034-12-02.5000N,118-21-31.2000W,ALL/ALL/ALL,08/26,5802,150,ASPH-CONC-E,HIGH,120,201,352,839,G
BUR,034-12-02.5000N,118-21-31.2000W,ALL/ALL/ALL,15/33,6886,150,ASPH-CONC-E,MED,120,201,352,839,G
C83,037-49-42.4000N,121-37-33.0000W,ALL/ALL/0700-1400,05/23,3000,75,ASPH-G,MED,29,,,,G
C83,037-49-42.4000N,121-37-33.0000W,ALL/ALL/0700-1400,12/30,4500,100,ASPH-G,MED,29,,,,G
ACV,040-58-40.1800N,124-06-30.4900W,"ALL/ALL /0400-2359",14/32,6046,150,ASPH-G,HIGH,60,155,280,,G
ACV,040-58-40.1800N,124-06-30.4900W,"ALL/ALL /0400-2359",01/19,4501,150,ASPH-G,MED,60,95,170,,F
CMA,034-12-49.5300N,119-05-39.6800W,ALL/ALL/0700-2300,08/26,6013,150,ASPH-CONC-G,MED,50,80,125,,G
MER,037-22-49.7400N,120-34-05.4700W,ALL/ALL/0900-1800,13/31,11802,150,ASPH-CONC-G,HIGH,155,200,415,720,G
STS,038-30-34.9000N,122-48-46.4000W,ALL/ALL/0600-2200,14/32,6000,150,ASPH-G,HIGH,120,184,300,,G
STS,038-30-34.9000N,122-48-46.4000W,ALL/ALL/0600-2200,02/20,5202,100,ASPH-G,MED,109,154,254,,G
CIC,039-47-43.4000N,121-51-30.3000W,ALL/ALL/0700-1900,13L/31R,6724,150,ASPH-G,HIGH,63,100,170,,G
CIC,039-47-43.4000N,121-51-30.3000W,ALL/ALL/0700-1900,H1,64,64,CONC-G,,35,,,,
CIC,039-47-43.4000N,121-51-30.3000W,ALL/ALL/0700-1900,13R/31L,3000,60,ASPH-F,,12,,,,F
CNO,033-58-29.2100N,117-38-11.3400W,ALL/ALL/ALL,03/21,4919,150,ASPH-G,MED,21,130,,50,G
