Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
SUA,027-10-54.1200N,080-13-16.6600W,ALL/ALL/0800-2300,12/30,5828,100,ASPH-G,MED,65,105,190,,G
SUA,027-10-54.1200N,080-13-16.6600W,ALL/ALL/0800-2300,07/25,4653,100,ASPH-F,MED,58,95,170,,G
SUA,027-10-54.1200N,080-13-16.6600W,ALL/ALL/0800-2300,16/34,5000,100,ASPH-E,,55,90,160,,G
AHN,033-56-55.1100N,083-19-33.2900W,ALL/ALL/0600-2100,09/27,6122,100,ASPH-E,HIGH,65,125,,,G
AHN,033-56-55.1100N,083-19-33.2900W,ALL/ALL/0600-2100,02/20,3995,100,ASPH-F,MED,40,45,,,P
FFC,033-21-27.8000N,084-34-21.1000W,NOVEMBER/26/0700-1200,13/31,5768,100,ASPH-G,MED,48,60,,,F
FFC,033-21-27.8000N,084-34-21.1000W,DECEMBER/25/CLSD,13/31,5768,100,ASPH-G,MED,48,60,,,F
FFC,033-21-27.8000N,084-34-21.1000W,ALL/ALL/0700-2000,13/31,5768,100,ASPH-G,MED,48,60,,,F
FFC,033-21-27.8000N,084-34-21.1000W,DECEMBER/24/0700-1200,13/31,5768,100,ASPH-G,MED,48,60,,,F
FFC,033-21-27.8000N,084-34-21.1000W,NOVEMBER/26/0700-1200,H1,40,40,ASPH-E,,,,,,
FFC,033-21-27.8000N,084-34-21.1000W,DECEMBER/25/CLSD,H1,40,40,ASPH-E,,,,,,
FFC,033-21-27.8000N,084-34-21.1000W,ALL/ALL/0700-2000,H1,40,40,ASPH-E,,,,,,
FFC,033-21-27.8000N,084-34-21.1000W,DECEMBER/24/0700-1200,H1,40,40,ASPH-E,,,,,,
HMP,033-23-23.6500N,084-19-51.7300W,ALL/MON-FRI/0800-1700,06/24,5509,100,ASPH-G,MED,30,45,,,G
AGS,033-22-11.8000N,081-57-52.2000W,ALL/ALL/ALL,08/26,6002,75,ASPH-E,MED,52,71,126,,G
AGS,033-22-11.8000N,081-57-52.2000W,ALL/ALL/ALL,17/35,8001,150,CONC-G,HIGH,155,160,450,975,G
WDR,033-58-57.6800N,083-40-01.9800W,ALL/SAT/0900-1700,13/31,5202,100,ASPH-G,HIGH,20,,,,G
WDR,033-58-57.6800N,083-40-01.9800W,ALL/M-F/0900-1800,13/31,5202,100,ASPH-G,HIGH,20,,,,G
WDR,033-58-57.6800N,083-40-01.9800W,ALL/SUN/1100-1700,13/31,5202,100,ASPH-G,HIGH,20,,,,G
WDR,033-58-57.6800N,083-40-01.9800W,ALL/SAT/0900-1700,05/23,3607,100,ASPH-G,MED,20,,,,G
WDR,033-58-57.6800N,083-40-01.9800W,ALL/M-F/0900-1800,05/23,3607,100,ASPH-G,MED,20,,,,G
WDR,033-58-57.6800N,083-40-01.9800W,ALL/SUN/1100-1700,05/23,3607,100,ASPH-G,MED,20,,,,G
CNI,034-18-43.9900N,084-25-19.7500W,ALL/ALL/0800-1800,05/23,5003,75,ASPH-G,MED,26,,,,G
RYY,034-00-47.4000N,084-35-49.3000W,ALL/ALL/0600-0000,09/27,6295,100,CONC-G,HIGH,,,,,G
48A,032-24-02.3700N,083-16-42.2600W,ALL/MON-SAT/0800-1200,05/23,3202,50,ASPH-F,,25,,,,G
48A,032-24-02.3700N,083-16-42.2600W,ALL/MON-SAT/0800-1200,11/29,4400,75,ASPH-G,MED,,,,,G
DNL,033-27-59.7000N,082-02-21.8000W,ALL/ALL/0700-DUSK,05/23,4002,100,ASPH-G,MED,30,,,,G
DNL,033-27-59.7000N,082-02-21.8000W,ALL/ALL/0700-DUSK,11/29,3733,100,ASPH-G,MED,30,,,,G
PDK,033-52-33.6100N,084-18-07.3100W,ALL/ALL/ALL,H1,56,56,CONC-G,PERI,,,,,
PDK,033-52-33.6100N,084-18-07.3100W,ALL/ALL/ALL,16/34,3968,150,ASPH-F,MED,20,,,,F
PDK,033-52-33.6100N,084-18-07.3100W,ALL/ALL/ALL,03R/21L,6001,100,CONC-G,HIGH,46,75,,,G
PDK,033-52-33.6100N,084-18-07.3100W,ALL/ALL/ALL,03L/21R,3746,150,ASPH-F,MED,20,,,,G
18A,034-20-25.3000N,083-07-50.9000W,UNATNDD,08/26,5000,75,ASPH-G,MED,15,,,,G
LZU,033-58-41.1300N,083-57-44.5100W,ALL/ALL/ALL,07/25,6001,100,ASPH-G,HIGH,93,120,,,G
AZE,031-53-06.6800N,082-38-52.4100W,ALL/MON-FRI/0800-1700,14/32,5012,75,ASPH-G,MED,30,,,,G
09J,031-04-28.1000N,081-25-40.0000W,ALL/ALL/0900-1600,18/36,3715,75,ASPH-G,MED,20,,,,G
JZP,034-27-12.5000N,084-27-26.0000W,ALL/ALL/0900-1800,16/34,5000,100,ASPH-F,MED,60,95,,,F
SAV,032-07-39.3000N,081-12-07.7000W,ALL/ALL/0600-2300,01/19,7002,150,CONC-G,HIGH,75,190,310,,G
SAV,032-07-39.3000N,081-12-07.7000W,ALL/ALL/0600-2300,10/28,9351,150,CONC-G,HIGH,75,190,310,,G
OPN,032-57-18.0100N,084-15-50.7100W,ALL/ALL/0800-1800,12/30,6350,100,ASPH-G,MED,20,50,,,G
VDI,032-11-33.8000N,082-22-16.2000W,ALL/ALL/0800-1800,14/32,5002,75,CONC-G,,30,48,85,,G
VDI,032-11-33.8000N,082-22-16.2000W,ALL/ALL/0800-1800,07/25,6002,100,CONC-F,HIGH,30,48,85,,F
CTJ,033-37-54.1100N,085-09-08.1500W,ALL/SUN/1300-1700,17/35,5503,100,ASPH-G,HIGH,43,56,83,,G
CTJ,033-37-54.1100N,085-09-08.1500W,ALL/MON-SAT/0800-1800,17/35,5503,100,ASPH-G,HIGH,43,56,83,,G
HNL,021-19-04.1400N,157-55-12.8200W,ALL/ALL/ALL,08W/26W,5090,300,WATER,,,,,,
HNL,021-19-04.1400N,157-55-12.8200W,ALL/ALL/ALL,08R/26L,12000,200,ASPH-E,HIGH,80,170,400,780,G
HNL,021-19-04.1400N,157-55-12.8200W,ALL/ALL/ALL,08L/26R,12312,150,ASPH-F,HIGH,100,200,400,780,F
HNL,021-19-04.1400N,157-55-12.8200W,ALL/ALL/ALL,04W/22W,3000,150,WATER,,,,,,
HNL,021-19-04.1400N,157-55-12.8200W,ALL/ALL/ALL,04R/22L,9002,150,ASPH-E,HIGH,100,200,400,850,F
