Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
AL30,UNATTND,AIRPORT,Y
AL24,ALL/MON-SAT/0830-1630,HELIPORT,Y
5R7,"ON CALL",AIRPORT,Y
5R1,UNATNDD,AIRPORT,Y-L
20AL,"ATTENDED DURG SKED TRNG",HELIPORT,
33AL,UNATNDD,HELIPORT,Y
AL15,UNATNDD,HELIPORT,Y
4A6,ALL/ALL/0800-1700,AIRPORT,Y-L
AL05,UNATNDD,AIRPORT,Y-L
71AL,UNATNDD,AIRPORT,Y
32AL,UNATNDD,HELIPORT,Y
EET,ALL/ALL/0700-1900,AIRPORT,Y-L
91AL,UNATNDD,HELIPORT,Y
AL39,ALL/ALL/ALL,HELIPORT,Y
SXS,UNATNDD,HELIPORT,
65AL,UNATNDD,HELIPORT,
AL55,UNATNDD,AIRPORT,Y
AL46,UNATNDD,"SEAPLANE BASE",Y
AL53,ALL/ALL/SR-SS,HELIPORT,Y
35AL,"ON CALL/ALL/ALL",HELIPORT,Y
21AL,"ATTENDED DURG SKED TRNG",HELIPORT,
62AL,UNATNDD,AIRPORT,Y
46AL,UNATNDD,"SEAPLANE BASE",
AL77,UNATNDD,AIRPORT,Y
AL89,UNATNDD,AIRPORT,Y
79J,"ALL/MON - FRI/0630-0000",AIRPORT,Y-L
79J,ALL/SAT-SUN/0730-1630,AIRPORT,Y-L
90AL,ALL/ALL/ALL,HELIPORT,Y-L
AL20,UNATNDD,HELIPORT,Y
47AL,ALL/ALL/ALL,HELIPORT,Y-L
AL48,UNATNDD,HELIPORT,
AL25,UNATNDD,AIRPORT,N
PLR,ALL/MON-SAT/0730-1700,AIRPORT,Y-L
PLR,ALL/SUN/UNTNDD,AIRPORT,Y-L
2R5,UNATNDD,AIRPORT,Y-L
7A6,UNATTENDED,AIRPORT,Y
22AL,"ATTENDED DURG SKED TRNG",HELIPORT,
AL03,UNATNDD,AIRPORT,Y
AL62,ALL/ALL/ALL,AIRPORT,Y-L
AL33,UNATNDD,AIRPORT,Y
AL65,UNATNDD,HELIPORT,Y-L
NFD,ALL/HOLS/CLSD,AIRPORT,
NFD,ALL/SAT-SUN/CLSD,AIRPORT,
NFD,ALL/MON-FRI/1330-2330Z++,AIRPORT,
23AL,"ATTENDED DURG SKED TRNG",HELIPORT,
07AL,"ATTENDED DURG SKED TRNG",HELIPORT,
ASN,ALL/MON-FRI/0800-1600,AIRPORT,Y-L
AL91,UNATNDD,HELIPORT,Y
AL36,ALL/ALL/ALL,HELIPORT,Y
ALX,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
24AL,"ATTENDED DURG SKED TRNG",HELIPORT,
3AL6,UNATNDD,AIRPORT,Y
4AL3,UNATNDD,AIRPORT,Y
1AL2,UNATNDD,AIRPORT,Y
TOI,ALL/ALL/0800-1700,AIRPORT,Y-L
AL16,UNATNDD,AIRPORT,
TCL,ALL/ALL/0500-2200,AIRPORT,Y-L
3AL3,UNATNDD,HELIPORT,Y
4AL9,ALL/ALL/ALL,AIRPORT,Y
41AL,UNATNDD,HELIPORT,Y
AL38,UNATNDD,HELIPORT,Y-L
75AL,UNATNDD,HELIPORT,Y
AL31,UNATNDD,HELIPORT,Y-L
AL52,ALL/ALL/ALL,HELIPORT,Y-L
A08,UNATNDD,AIRPORT,Y-L
AL90,UNATNDD,HELIPORT,Y-L
AL69,UNATNDD,AIRPORT,Y
37AL,UNATNDD,HELIPORT,Y-L
JFX,"ALL/MON - SAT/0800-1600",AIRPORT,Y-L
AL63,ALL/ALL/ALL,HELIPORT,Y
01AL,UNATNDD,AIRPORT,Y
EUF,ALL/ALL/0800-1700,AIRPORT,Y-L
AL13,UNATNDD,HELIPORT,Y-L
08A,UNATNDD,AIRPORT,Y-L
AL14,ALL/ALL/ALL,HELIPORT,Y-L
AL97,UNATNDD,AIRPORT,Y
AL71,UNATNDD,AIRPORT,Y-L
0AL9,UNATNDD,AIRPORT,
8AL9,ALL/ALL/ALL,HELIPORT,Y
36AA,ALL/ALL/ALL,HELIPORT,Y
AL98,UNATNDD,HELIPORT,Y
AL67,ALL/ALL/DAWN-DUSK,HELIPORT,Y-L
14AR,UNATNDD,HELIPORT,Y-L
M73,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
0AR6,ALL/ALL/ALL,HELIPORT,Y
AR62,ALL/ALL/ALL,HELIPORT,Y-L
6AR7,ALL/ALL/ALL,HELIPORT,Y
BYH,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
AR95,UNATNDD,HELIPORT,
12A,UNATNDD,AIRPORT,Y
AR93,UNATNDD,AIRPORT,
AZU,UNATNDD,AIRPORT,
AR07,UNATNDD,HELIPORT,
2AR5,UNATNDD,AIRPORT,Y
41AR,UNATNDD,AIRPORT,Y
AR76,UNATNDD,HELIPORT,
M74,UNATNDD,AIRPORT,Y
62AR,UNATTND,AIRPORT,Y
1AR3,UNATTND,HELIPORT,
6AR4,ALL/ALL/ALL,HELIPORT,
BVX,ALL/ALL/1730-0730,AIRPORT,Y-L
BVX,ALL/ALL/0730-1730,AIRPORT,Y-L
BPK,ALL/MON-FRI/0700-1700,AIRPORT,Y-L
5AR9,UNATNDD,HELIPORT,
42AR,UNATNDD,HELIPORT,
7M3,"ALL/MON-FRI/0900 - 1600",AIRPORT,Y-L
77AR,UNATNDD,AIRPORT,Y
VBT,OCT-MAR/ALL/0800-1700,AIRPORT,Y-L
VBT,APR-SEP/ALL/0700-1900,AIRPORT,Y-L
LIT,ALL/ALL/ALL,AIRPORT,Y-L
0M0,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
HKA,ALL/ALL/0730-1730,AIRPORT,Y-L
HRO,ALL/ALL/0700-1900,AIRPORT,Y-L
4M2,ALL/MON-FRI/0800-1700,AIRPORT,Y
AR70,UNATNDD,HELIPORT,
