Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
JAX,ALL/ALL/ALL,AIRPORT,Y-L
VQQ,ALL/MON-FRI/0700-2300,AIRPORT,Y-L
VQQ,ALL/SAT-SUN/0700-2100,AIRPORT,Y-L
CRG,ALL/MON-FRI/0600-2300,AIRPORT,Y-L
CRG,ALL/SAT-SUN/0700-2200,AIRPORT,Y-L
EYW,ALL/ALL/0700-2300,AIRPORT,Y-L
LCQ,ALL/ALL/0800-1800,AIRPORT,Y-L
LAL,ALL/ALL/ALL,AIRPORT,Y
MKY,ALL/ALL/0700-1900,AIRPORT,Y-L
MLB,ALL/ALL/ALL,AIRPORT,Y-L
MIA,ALL/ALL/ALL,AIRPORT,Y-L
2R4,ALL/ALL/0700-DUSK,AIRPORT,Y-L
APF,ALL/ALL/0600-2200,AIRPORT,Y-L
EVB,ALL/ALL/0700-2200,AIRPORT,Y-L
OCF,ALL/ALL/0600-2100,AIRPORT,Y-L
ISM,ALL/ALL/0700-2200,AIRPORT,Y-L
MCO,ALL/ALL/ALL,AIRPORT,Y-L
ORL,ALL/ALL/ALL,AIRPORT,Y-L
ECP,ALL/ALL/ALL,AIRPORT,Y-L
SRQ,ALL/ALL/ALL,AIRPORT,Y-L
SUA,ALL/ALL/0800-2300,AIRPORT,Y-L
TLH,ALL/ALL/ALL,AIRPORT,Y-L
X21,ALL/ALL/0800-2000,AIRPORT,Y-L
TIX,ALL/ALL/0700-2100,AIRPORT,Y-L
VNC,ALL/ALL/0700-1900,AIRPORT,Y-L
X60,ALL/ALL/0730-1730,AIRPORT,Y-L
AHN,ALL/ALL/0600-2100,AIRPORT,Y
FFC,DECEMBER/24/0700-1200,AIRPORT,Y-L
FFC,ALL/ALL/0700-2000,AIRPORT,Y-L
FFC,DECEMBER/25/CLSD,AIRPORT,Y-L
FFC,NOVEMBER/26/0700-1200,AIRPORT,Y-L
RYY,ALL/ALL/0600-0000,AIRPORT,Y-L
PDK,ALL/ALL/ALL,AIRPORT,Y-L
DNL,ALL/ALL/0700-DUSK,AIRPORT,Y-L
AGS,ALL/ALL/ALL,AIRPORT,Y
18A,UNATNDD,AIRPORT,Y-L
CNI,ALL/ALL/0800-1800,AIRPORT,Y-L
CTJ,ALL/MON-SAT/0800-1800,AIRPORT,Y-L
CTJ,ALL/SUN/1300-1700,AIRPORT,Y-L
48A,ALL/MON-SAT/0800-1200,AIRPORT,Y-L
HMP,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
AZE,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
JZP,ALL/ALL/0900-1800,AIRPORT,Y-L
09J,ALL/ALL/0900-1600,AIRPORT,Y-L
LZU,ALL/ALL/ALL,AIRPORT,Y-L
SAV,ALL/ALL/0600-2300,AIRPORT,Y-L
OPN,ALL/ALL/0800-1800,AIRPORT,Y-L
VDI,ALL/ALL/0800-1800,AIRPORT,Y-L
WDR,ALL/SUN/1100-1700,AIRPORT,Y-L
WDR,ALL/M-F/0900-1800,AIRPORT,Y-L
WDR,ALL/SAT/0900-1700,AIRPORT,Y-L
BOI,ALL/ALL/ALL,AIRPORT,Y-L
65S,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
65S,ALL/SAT/0800-1600,AIRPORT,Y-L
LLJ,ALL/MON-FRI/0700-1700,AIRPORT,Y-L
COE,ALL/ALL/0700-1700,AIRPORT,Y-L
GIC,UNATNDD,AIRPORT,Y-L
SUN,ALL/ALL/0700-2300,AIRPORT,Y-L
IDA,ALL/ALL/0530-2130,AIRPORT,Y-L
JER,ALL/ALL/0800-1700,AIRPORT,Y-L
LWS,ALL/ALL/0530-2100,AIRPORT,Y-L
MYL,OCT-APR/ALL/0900L-1600L,AIRPORT,Y-L
MYL,MAY-SEP/ALL/0800L-1800L,AIRPORT,Y-L
MAN,ALL/ALL/0800-1700,AIRPORT,Y-L
PIH,ALL/ALL/0600-2200,AIRPORT,Y-L
U10,ALL/ALL/DALGT,AIRPORT,Y-L
SMN,ALL/ALL/0800-1700,AIRPORT,Y-L
SZT,WINTER/ALL/0800-1700,AIRPORT,Y-L
SZT,SUMMER/ALL/0700-1700,AIRPORT,Y-L
TWF,ALL/ALL/0630-2000,AIRPORT,Y-L
CPS,ALL/ALL/ALL,AIRPORT,Y-L
UGN,ALL/ALL/ALL,AIRPORT,Y-L
DPA,ALL/ALL/ALL,AIRPORT,Y-L
MLI,ALL/ALL/ALL,AIRPORT,Y-L
PIA,ALL/ALL/ALL,AIRPORT,Y-L
RFD,ALL/ALL/ALL,AIRPORT,Y-L
SPI,ALL/ALL/0530-0000,AIRPORT,Y-L
BAK,ALL/ALL/0600-2000,AIRPORT,Y-L
EVV,ALL/ALL/ALL,AIRPORT,Y-L
GYY,ALL/ALL/ALL,AIRPORT,Y-L
HFY,ALL/MON-SAT/0700-1900,AIRPORT,Y-L
HFY,ALL/SUN/0800-1700,AIRPORT,Y-L
IND,ALL/ALL/ALL,AIRPORT,Y-L
LAF,ALL/ALL/0600-2200,AIRPORT,Y-L
RID,ALL/ALL/0800-1745,AIRPORT,Y-L
