Dep_Airport_ID,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
LGB,H3,300,35,ASPH-G,,,,,,G
LGB,H2,20,20,ASPH-G,,,,,,G
LGB,12/30,10000,200,ASPH-G,HIGH,30,200,300,,G
LGB,08R/26L,3918,100,ASPH-G,HIGH,30,75,,,G
LGB,08L/26R,6192,150,ASPH-E,MED,30,70,110,,G
SLI,04L/22R,5901,150,PEM,MED,,,,,
SLI,04R/22L,7999,200,ASPH-CONC,HIGH,,,,,
WHP,12/30,4120,75,ASPH-G,MED,12,,,,G
LAX,07L/25R,12923,150,CONC-G,HIGH,175,225,400,900,G
LAX,06R/24L,10885,150,CONC-G,HIGH,175,225,400,900,G
LAX,06L/24R,8926,150,ASPH-CONC-G,HIGH,175,225,400,900,G
LAX,07R/25L,11095,200,ASPH-CONC-G,HIGH,175,225,400,900,G
MER,13/31,11802,150,ASPH-CONC-G,HIGH,155,200,415,720,G
MCE,12/30,5914,150,ASPH-G,HIGH,30,100,155,,G
MOD,10L/28R,5904,150,ASPH-G,HIGH,60,200,400,,G
MOD,10R/28L,3464,100,ASPH-G,MED,30,,,,G
SIY,17/35,7490,150,ASPH-G,MED,60,180,270,,G
MRY,10L/28R,3503,60,ASPH-F,MED,12,,,,G
MRY,10R/28L,7175,150,ASPH-G,HIGH,100,160,300,,G
NUQ,14L/32R,9197,200,CONC,HIGH,,,,,G
NUQ,14R/32L,8121,200,ASPH,HIGH,,,,,G
APC,01R/19L,2510,75,ASPH-G,,13,,,,G
APC,01L/19R,5930,150,ASPH-G,MED,102,134,120,,G
APC,06/24,5008,150,CONC-F,MED,60,76,120,,G
EED,11/29,5005,100,ASPH-P,MED,16,32,,,F
EED,02/20,4235,100,ASPH-F,MED,16,32,,,F
OAK,10R/28L,6213,150,ASPH-G,HIGH,75,210,500,900,G
OAK,12/30,10520,150,ASPH-G,HIGH,75,210,500,900,G
OAK,15/33,3376,75,ASPH-G,MED,12,65,100,,G
OAK,10L/28R,5457,150,ASPH-G,HIGH,75,210,500,900,G
ONT,08R/26L,10200,150,CONC-G,HIGH,30,200,560,850,G
ONT,08L/26R,12197,150,CONC-G,HIGH,30,200,560,850,G
OXR,07/25,5953,100,ASPH-F,MED,91,126,174,117,F
PMD,04/22,12001,150,CONC-G,HIGH,,,,,G
PMD,07/25,12002,200,CONC-G,HIGH,,,,,G
PMD,072/252,6000,75,CONC-E,,,,,,
TRM,17/35,8500,150,ASPH-G,MED,75,200,325,850,F
TRM,12/30,4995,100,ASPH-G,MED,20,60,,,G
PSP,13L/31R,4952,75,ASPH-G,MED,12,60,,,G
PSP,13R/31L,10000,150,ASPH-G,HIGH,105,200,330,800,G
PRB,H1,100,100,ASPH-E,PERI,,,,,G
PRB,01/19,6008,150,ASPH-G,HIGH,60,106,150,,G
PRB,13/31,4701,100,ASPH-G,MED,30,50,90,,G
PVF,05/23,3914,76,ASPH-G,MED,26,,,,F
PVF,H1,50,50,CONC,,,,,,G
PTV,12/30,5960,150,ASPH-G,HIGH,30,70,110,,F
RBL,15/33,5431,100,ASPH-E,MED,30,65,,,G
RDD,16/34,7003,150,ASPH-G,HIGH,98,128,195,,G
RDD,12/30,5067,150,ASPH-G,MED,60,72,110,,G
O32,16/34,3300,60,ASPH-E,MED,12,,,,G
RIV,12/30,3061,100,ASPH-P,,,,,,
RIV,14/32,13302,200,CONC-G,HIGH,,,,,G
SMF,17L/35R,8605,150,CONC-G,HIGH,120,239,439,961,G
SMF,17R/35L,8598,150,CONC-G,HIGH,120,239,439,961,G
MHR,H1,30,30,ASPH-F,,,,,,
MHR,H2,100,100,ASPH-F,,,,,,
MHR,04L/22R,6081,150,ASPH-G,MED,90,105,190,,G
MHR,04R/22L,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
SAC,12/30,3837,100,ASPH-G,MED,30,43,67,,G
SAC,H1,60,60,ASPH-G,PERI,,,,,
SAC,02/20,5503,150,ASPH-G,MED,60,130,210,,G
MCC,16/34,10599,150,CONC-G,HIGH,155,300,500,,G
MCC,H1,57,57,CONC,,,,,,
MCC,H2,57,57,CONC,,,,,,
MCC,H3,57,57,ASPH,,,,,,
MCC,H4,57,57,CONC,,,,,,
SNS,08/26,6004,150,ASPH-G,MED,25,32,62,,G
SNS,H1,90,90,ASPH-CONC,FLD,,,,,
SNS,13/31,4825,150,ASPH-G,HIGH,65,100,170,,G
SBD,06/24,10000,200,CONC-E,HIGH,97,265,890,960,G
SAN,09/27,9401,200,ASPH-CONC-E,HIGH,100,150,250,720,G
SFO,10R/28L,11381,200,ASPH-G,HIGH,75,200,400,877,G
SFO,01L/19R,7650,200,ASPH-G,HIGH,75,200,400,877,G
