airport_numbers,near_by_airport1,near_by_airport2,near_by_airport3
SAN,KNZY,KMYF,KNKX
SAT,KRND,KSKF,KSSF
SAV,KSVN,KLHW,KHXD
SAW,KESC,KIMT,KISQ
SBA,KIZA,KLPC,KOXR
SBD,KREI,KRIR,KRIV
SBP,KSMX,KPRB,KVBG
SBS,KHDN,KCAG,33V
SC3,nan,nan,nan
SCK,KTCY,1O3,C83
SDL,KDVT,KPHX,KFFZ
SDP,nan,nan,nan
SDY,KXWA,S25,KGDV
SEZ,P52,KFLG,KPRC
SFF,KGEG,KSKA,KDEW
SFM,B19,KDAW,3B4
SFO,KHAF,KSQL,KOAK
SGF,3DW,M17,2H2
SGS,nan,nan,nan
SGT,M73,4M3,5M1
SGU,KAZC,67L,KCDC
SHR,KBYG,KGEY,U68
SHV,KDTN,KBAD,3F3
SIK,KCHQ,KCIR,KCGI
SIT,PAFE,PAPG,PAJN
SIY,O46,KLMT,KMFR
SJC,KRHV,KNUQ,KPAO
SJS,KEBD,KJKL,6L4
SJT,E30,77F,KSOA
SKX,KAXX,KLAM,KSAF
SLC,U42,KTVY,KHIF
SLE,S12,KMMV,KUAO
SLI,KFUL,KSNA,KTOA
SMF,KMCC,KSAC,O41
SMN,KDLN,KHRF,KRVF
SMX,KVBG,KLPC,KSBP
SNA,KSLI,KFUL,KLGB
SNP,nan,nan,nan
SNS,KOAR,KMRY,KCVH
SNY,KCNP,KIBM,KSTK
SOP,KHFF,5W4,KPOB
SPB,KVUO,KHIO,KPDX
SPF,49B,W43,KRCA
SPI,KAAA,KTAZ,KIJX
SPS,F14,KCWC,KFDR
SRQ,KVNC,KSPG,KMCF
SSF,KSKF,KSAT,KRND
STP,KSGS,KMSP,21D
STS,O69,O60,KDVO
SUA,06FA,F45,KFPR
SUE,KMNM,3D2,KOCQ
SUN,KGNG,KAOC,KJER
SVC,KDMN,KCFT,KTCS
SVH,14A,KIPJ,KHKY
SWI,KGYI,F00,KDUA
SXQ,PAEN,PAHO,PANC
SZT,65S,KCOE,KDEW
T31,KTKI,KADS,KDAL
T82,KERV,T92,5C1
TAL,nan,nan,nan
TCM,KPLU,KTIW,S50
TIW,KTCM,KGRF,S50
TIX,X21,KTTS,KCOI
TKX,M12,M85,KBYH
TLH,2J9,70J,KBGE
TME,KIWS,KSGR,KDWH
TMK,KMMV,KHIO,KAST
TOA,KHHR,KLAX,KLGB
TOL,KDUH,1G0,KUSE
TOP,KFOE,KLWC,KOWI
TRI,0A9,KVJI,KRVN
TRK,KRNO,KCXP,KRTS
TRL,KHQZ,F46,7F3
TRM,KUDD,KPSP,L08
