Dep_Airport_ID,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
INW,04/22,2,7499,150,ASPH-G,MED,50,80,125,,F
INW,11/29,2,7100,150,ASPH-F,MED,60,70,110,,F
NYL,03R/21L,4,9240,150,ASPH-CONC-G,HIGH,162,200,400,,G
NYL,08/26,4,6146,150,ASPH-G,HIGH,63,137,206,,G
NYL,17/35,4,5710,150,ASPH-CONC-G,HIGH,72,171,255,,G
NYL,03L/21R,4,13300,200,CONC-G,HIGH,103,200,400,,G
FYV,16/34,1,6005,100,ASPH-G,MED,90,150,175,,G
FSM,02/20,2,5001,150,ASPH-G,MED,55,70,120,,G
FSM,08/26,2,8017,150,ASPH-G,HIGH,75,175,295,,G
HOT,05/23,2,6595,150,ASPH-G,HIGH,75,125,210,400,G
HOT,13/31,2,4098,100,ASPH-G,MED,28,36,63,,G
JBR,05/23,2,6200,150,ASPH-G,MED,40,48,76,,P
JBR,13/31,2,4099,150,ASPH-G,MED,50,60,95,,F
LIT,04R/22L,3,8251,150,CONC-G,HIGH,75,200,350,,G
LIT,04L/22R,3,8273,150,CONC-G,HIGH,75,200,350,,G
LIT,18/36,3,6224,150,CONC-G,MED,75,100,135,,G
SGT,09/27,2,5002,150,CONC-G,MED,25,65,120,,F
SGT,18/36,2,6015,100,ASPH-G,MED,75,150,200,300,G
TXK,04/22,2,6601,150,ASPH-G,HIGH,50,86,120,,G
TXK,13/31,2,5200,100,ASPH-G,MED,25,,,,G
APV,08/26,2,4099,60,ASPH-P,,40,60,100,,P
APV,18/36,2,6498,150,ASPH-F,MED,70,90,150,,F
ACV,01/19,2,4501,150,ASPH-G,MED,60,95,170,,F
ACV,14/32,2,6046,150,ASPH-G,HIGH,60,155,280,,G
AUN,07/25,1,3700,75,ASPH-G,MED,30,,,,G
BFL,12R/30L,2,7700,100,ASPH-E,MED,18,,,,G
BFL,12L/30R,2,10849,150,ASPH-G,HIGH,96,155,260,654,G
L35,08/26,1,5850,75,ASPH-G,MED,12,,,,G
BUR,15/33,2,6886,150,ASPH-CONC-E,MED,120,201,352,839,G
BUR,08/26,2,5802,150,ASPH-CONC-E,HIGH,120,201,352,839,G
C83,12/30,2,4500,100,ASPH-G,MED,29,,,,G
C83,05/23,2,3000,75,ASPH-G,MED,29,,,,G
CMA,08/26,1,6013,150,ASPH-CONC-G,MED,50,80,125,,G
CRQ,H1,2,40,50,CONC-G,HIGH,,,,,G
CRQ,06/24,2,4897,150,ASPH-G,HIGH,60,80,110,,G
CIC,13R/31L,3,3000,60,ASPH-F,,12,,,,F
CIC,H1,3,64,64,CONC-G,,35,,,,
CIC,13L/31R,3,6724,150,ASPH-G,HIGH,63,100,170,,G
CNO,08L/26R,3,4858,150,ASPH-G,HIGH,12,,,,G
CNO,08R/26L,3,7000,150,ASPH-G,MED,75,150,215,,G
CNO,03/21,3,4919,150,ASPH-G,MED,21,130,,50,G
O22,11/29,2,2607,50,TURF-G,,,,,,
O22,17/35,2,4673,75,ASPH-G,MED,30,,,,F
CEC,12/30,2,5002,150,ASPH-F,HIGH,30,43,,,F
CEC,18/36,2,5000,150,ASPH-F,MED,30,43,,,F
DAG,08/26,2,6402,150,ASPH-F,MED,30,170,320,,F
DAG,04/22,2,5123,100,ASPH-F,MED,30,105,190,,F
EMT,01/19,1,3995,75,ASPH-G,MED,12,,,,G
FOT,11/29,1,4004,100,ASPH-G,MED,30,,,,F
FAT,11L/29R,2,9539,150,ASPH-G,HIGH,70,170,250,,G
FAT,11R/29L,2,8008,150,ASPH-G,MED,70,170,250,,G
FUL,06/24,2,3121,75,ASPH-G,MED,12,,,,G
FUL,H1,2,37,37,CONC,,,,,,
HAF,12/30,1,5000,150,ASPH-CONC-F,MED,30,200,360,,G
HMT,04/22,2,2014,25,ASPH-F,,,,,,F
HMT,05/23,2,4315,100,ASPH-G,MED,80,130,,,G
WJF,06/24,1,7201,150,ASPH-G,MED,50,68,117,,G
NLC,14L/32R,2,13502,200,CONC,HIGH,,,,,
NLC,14R/32L,2,13501,200,CONC,HIGH,,,,,
LHM,15/33,2,6001,100,ASPH-G,MED,30,60,,,G
LHM,H1,2,60,60,CONC,PERI,,,,,
LVK,07L/25R,3,5253,100,ASPH-E,HIGH,45,90,,,G
LVK,07R/25L,3,2699,75,ASPH-E,MED,12,,,,G
LVK,H1,3,24,22,ASPH-G,,,,,,
LGB,H5,7,20,20,ASPH-G,,,,,,G
LGB,H4,7,20,20,ASPH-G,,,,,,G
LGB,H3,7,300,35,ASPH-G,,,,,,G
LGB,H2,7,20,20,ASPH-G,,,,,,G
LGB,12/30,7,10000,200,ASPH-G,HIGH,30,200,300,,G
LGB,08R/26L,7,3918,100,ASPH-G,HIGH,30,75,,,G
LGB,08L/26R,7,6192,150,ASPH-E,MED,30,70,110,,G
SLI,04L/22R,2,5901,150,PEM,MED,,,,,
SLI,04R/22L,2,7999,200,ASPH-CONC,HIGH,,,,,
WHP,12/30,1,4120,75,ASPH-G,MED,12,,,,G
LAX,07L/25R,4,12923,150,CONC-G,HIGH,175,225,400,900,G
LAX,06R/24L,4,10885,150,CONC-G,HIGH,175,225,400,900,G
LAX,06L/24R,4,8926,150,ASPH-CONC-G,HIGH,175,225,400,900,G
LAX,07R/25L,4,11095,200,ASPH-CONC-G,HIGH,175,225,400,900,G
MER,13/31,1,11802,150,ASPH-CONC-G,HIGH,155,200,415,720,G
MCE,12/30,1,5914,150,ASPH-G,HIGH,30,100,155,,G
MOD,10L/28R,2,5904,150,ASPH-G,HIGH,60,200,400,,G
MOD,10R/28L,2,3464,100,ASPH-G,MED,30,,,,G
SIY,17/35,1,7490,150,ASPH-G,MED,60,180,270,,G
MRY,10L/28R,2,3503,60,ASPH-F,MED,12,,,,G
MRY,10R/28L,2,7175,150,ASPH-G,HIGH,100,160,300,,G
NUQ,14L/32R,2,9197,200,CONC,HIGH,,,,,G
NUQ,14R/32L,2,8121,200,ASPH,HIGH,,,,,G
APC,01R/19L,3,2510,75,ASPH-G,,13,,,,G
APC,01L/19R,3,5930,150,ASPH-G,MED,102,134,120,,G
APC,06/24,3,5008,150,CONC-F,MED,60,76,120,,G
EED,11/29,2,5005,100,ASPH-P,MED,16,32,,,F
EED,02/20,2,4235,100,ASPH-F,MED,16,32,,,F
OAK,10R/28L,4,6213,150,ASPH-G,HIGH,75,210,500,900,G
OAK,12/30,4,10520,150,ASPH-G,HIGH,75,210,500,900,G
OAK,15/33,4,3376,75,ASPH-G,MED,12,65,100,,G
OAK,10L/28R,4,5457,150,ASPH-G,HIGH,75,210,500,900,G
ONT,08R/26L,2,10200,150,CONC-G,HIGH,30,200,560,850,G
ONT,08L/26R,2,12197,150,CONC-G,HIGH,30,200,560,850,G
OXR,07/25,1,5953,100,ASPH-F,MED,91,126,174,117,F
PMD,04/22,3,12001,150,CONC-G,HIGH,,,,,G
PMD,07/25,3,12002,200,CONC-G,HIGH,,,,,G
PMD,072/252,3,6000,75,CONC-E,,,,,,
TRM,17/35,2,8500,150,ASPH-G,MED,75,200,325,850,F
TRM,12/30,2,4995,100,ASPH-G,MED,20,60,,,G
PSP,13L/31R,2,4952,75,ASPH-G,MED,12,60,,,G
PSP,13R/31L,2,10000,150,ASPH-G,HIGH,105,200,330,800,G
PRB,H1,3,100,100,ASPH-E,PERI,,,,,G
PRB,01/19,3,6008,150,ASPH-G,HIGH,60,106,150,,G
PRB,13/31,3,4701,100,ASPH-G,MED,30,50,90,,G
PVF,05/23,2,3914,76,ASPH-G,MED,26,,,,F
PVF,H1,2,50,50,CONC,,,,,,G
PTV,12/30,1,5960,150,ASPH-G,HIGH,30,70,110,,F
RBL,15/33,1,5431,100,ASPH-E,MED,30,65,,,G
RDD,16/34,2,7003,150,ASPH-G,HIGH,98,128,195,,G
RDD,12/30,2,5067,150,ASPH-G,MED,60,72,110,,G
O32,16/34,1,3300,60,ASPH-E,MED,12,,,,G
RIV,12/30,2,3061,100,ASPH-P,,,,,,
RIV,14/32,2,13302,200,CONC-G,HIGH,,,,,G
SMF,17L/35R,2,8605,150,CONC-G,HIGH,120,239,439,961,G
SMF,17R/35L,2,8598,150,CONC-G,HIGH,120,239,439,961,G
MHR,H1,4,30,30,ASPH-F,,,,,,
MHR,H2,4,100,100,ASPH-F,,,,,,
MHR,04L/22R,4,6081,150,ASPH-G,MED,90,105,190,,G
MHR,04R/22L,4,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
SAC,12/30,3,3837,100,ASPH-G,MED,30,43,67,,G
SAC,H1,3,60,60,ASPH-G,PERI,,,,,
SAC,02/20,3,5503,150,ASPH-G,MED,60,130,210,,G
MCC,16/34,5,10599,150,CONC-G,HIGH,155,300,500,,G
MCC,H1,5,57,57,CONC,,,,,,
MCC,H2,5,57,57,CONC,,,,,,
MCC,H3,5,57,57,ASPH,,,,,,
MCC,H4,5,57,57,CONC,,,,,,
SNS,08/26,3,6004,150,ASPH-G,MED,25,32,62,,G
SNS,H1,3,90,90,ASPH-CONC,FLD,,,,,
SNS,13/31,3,4825,150,ASPH-G,HIGH,65,100,170,,G
SBD,06/24,1,10000,200,CONC-E,HIGH,97,265,890,960,G
SAN,09/27,1,9401,200,ASPH-CONC-E,HIGH,100,150,250,720,G
SFO,10R/28L,4,11381,200,ASPH-G,HIGH,75,200,400,877,G
SFO,01L/19R,4,7650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,01R/19L,4,8650,200,ASPH-G,HIGH,75,200,400,877,G
SFO,10L/28R,4,11870,200,ASPH-G,HIGH,75,200,400,877,G
SJC,12L/30R,2,11000,150,CONC-G,HIGH,220,250,605,,G
SJC,12R/30L,2,11000,150,CONC-G,HIGH,220,250,605,875,G
SBP,07/25,2,2500,100,ASPH-G,,12,12,,,G
SBP,11/29,2,6101,150,ASPH-G,HIGH,112,147,,,G
SNA,02L/20R,3,5700,150,ASPH-G,HIGH,70,200,300,,G
SNA,02R/20L,3,2886,75,ASPH-G,MED,25,60,,,G
SNA,20X,3,0,0,,,,,,,
SBA,15R/33L,3,4184,100,ASPH-G,MED,48,63,100,,G
SBA,07/25,3,6052,150,ASPH-G,HIGH,110,160,245,,G
SBA,15L/33R,3,4180,75,ASPH-G,,35,41,63,,G
SMX,12/30,2,8004,150,ASPH-G,HIGH,75,181,400,,G
SMX,02/20,2,5199,75,ASPH-G,,70,90,150,,G
STS,02/20,2,5202,100,ASPH-G,MED,109,154,254,,G
STS,14/32,2,6000,150,ASPH-G,HIGH,120,184,300,,G
MIT,08/26,3,3680,60,ASPH-G,,125,,,,G
MIT,12/30,3,4501,100,ASPH-G,MED,22,,,,G
MIT,17/35,3,2972,100,CONC-G,,25,30,,,G
TVL,18/36,1,8541,100,ASPH-E,MED,70,125,210,,G
SCK,11L/29R,3,10249,150,ASPH-G,HIGH,40,150,360,650,G
SCK,11R/29L,3,4448,75,ASPH-G,,12,,,,G
SCK,H1,3,70,70,CONC-G,,45,55,,,
TOA,11L/29R,3,5001,150,ASPH-CONC-F,MED,30,50,90,,F
TOA,11R/29L,3,3000,75,ASPH-CONC-F,MED,28,,,,F
TOA,H1,3,110,110,ASPH-G,PERI,,,,,
TRK,02/20,2,4654,75,ASPH-G,MED,35,50,,,G
TRK,11/29,2,7001,100,ASPH-G,MED,50,80,,,G
UKI,15/33,1,4423,150,ASPH-E,MED,28,,,,G
VNY,16R/34L,2,8001,150,ASPH-G,HIGH,90,120,210,,G
VNY,16L/34R,2,4013,75,ASPH-G,MED,14,,,,F
WVI,09/27,2,3998,98,ASPH-F,,45,65,,,F
WVI,02/20,2,4502,149,ASPH-E,MED,81,96,167,,G
ALS,02/20,1,8521,100,ASPH-G,HIGH,52,70,,,F
ASE,00X,2,0,0,,,,,,,
ASE,15/33,2,8006,100,ASPH-G,MED,80,100,160,,G
1V6,17/35,2,1800,35,TURF-GRVL-P,,,,,,
1V6,11/29,2,5399,75,ASPH-G,MED,26,26,,,F
COS,13/31,3,8270,150,ASPH-G,MED,120,171,279,691,G
COS,17L/35R,3,13500,150,CONC-G,HIGH,120,250,550,1120,G
COS,17R/35L,3,11022,150,ASPH-G,HIGH,120,250,550,1120,G
CEZ,03/21,1,7205,100,ASPH-G,MED,40,56,,,G
BJC,12R/30L,3,7002,75,ASPH-G,MED,47,61,,,F
BJC,12L/30R,3,9000,100,ASPH-G,HIGH,65,105,150,,F
BJC,03/21,3,3600,75,ASPH-F,MED,40,45,65,,F
APA,17R/35L,4,7001,75,ASPH-G,MED,30,,,,G
APA,H1,4,50,50,CONC-G,PERI,,,,,
APA,10/28,4,4800,75,ASPH-G,MED,12,,,,G
APA,17L/35R,4,10001,100,ASPH-G,MED,56,75,,,G
DRO,03/21,1,9201,150,ASPH-G,HIGH,95,150,210,,G
EGE,07/25,2,9000,150,ASPH-E,HIGH,75,140,255,,G
EGE,25X,2,0,0,,,,,,,
FNL,15/33,2,8500,100,ASPH-G,HIGH,50,65,130,,G
FNL,06/24,2,2189,40,ASPH-G,,,,,,G
FMM,14/32,3,5731,75,ASPH-G,MED,30,,,,G
FMM,08/26,3,2468,100,TURF-F,,,,,,
FMM,17/35,3,5216,80,TURF-DIRT-F,,,,,,
GNB,09/27,1,5001,75,ASPH-F,LOW,15,15,,,P
GJT,11/29,2,10503,150,ASPH-E,HIGH,110,180,260,,F
GJT,04/22,2,5501,75,ASPH-G,MED,26,26,,,F
HDN,10/28,1,10000,150,ASPH-G,HIGH,75,170,260,,G
MVI,16/34,3,2300,30,DIRT-F,,,,,,P
MVI,10/28,3,2100,50,DIRT-P,,,,,,P
MVI,02/20,3,5902,60,ASPH-F,MED,12,,,,F
MTJ,17/35,2,10000,150,ASPH-G,HIGH,75,190,265,,G
MTJ,13/31,2,7510,100,ASPH-G,HIGH,65,90,150,,G
PUB,08L/26R,3,4690,75,ASPH-G,MED,20,,,,G
PUB,17/35,3,8310,150,ASPH-G,MED,93,110,170,,G
PUB,08R/26L,3,10498,150,ASPH-G,HIGH,75,170,250,,G
RIL,08/26,1,7000,100,ASPH-G,HIGH,90,200,250,,G
SBS,14/32,1,4452,100,ASPH-G,HIGH,50,60,,,F
BDR,11/29,2,4759,150,ASPH-F,HIGH,30,108,,,F
BDR,06/24,2,4677,100,ASPH-E,HIGH,57,80,,,G
GON,05/23,2,5000,150,ASPH-G,HIGH,90,113,200,,G
GON,15/33,2,4000,96,ASPH-G,HIGH,90,113,,,G
BDL,15/33,2,6847,150,ASPH-E,HIGH,200,200,350,,G
BDL,06/24,2,9510,200,ASPH-E,HIGH,200,200,350,710,G
IAD,01R/19L,4,11500,150,CONC-G,HIGH,200,250,450,875,G
IAD,01C/19C,4,11500,150,CONC-E,HIGH,200,250,450,875,G
IAD,12/30,4,10501,150,CONC-G,HIGH,200,250,450,875,G
IAD,01L/19R,4,9400,150,CONC-E,HIGH,200,250,450,875,G
HEF,16L/34R,2,6200,100,ASPH-G,HIGH,50,140,,,G
HEF,16R/34L,2,3715,75,ASPH-E,MED,12,,,,G
BOW,09L/27R,3,5000,150,ASPH-G,MED,,,,,G
BOW,09R/27L,3,4400,150,ASPH-CONC-P,,,,,,G
BOW,05/23,3,5000,100,ASPH-P,MED,35,60,110,,G
BCT,05/23,1,6276,150,ASPH-G,MED,66,95,,,F
BKV,09/27,2,7001,150,CONC-G,MED,90,130,230,,G
BKV,03/21,2,5014,150,CONC-G,MED,50,75,135,,G
CLW,16/34,1,4108,75,ASPH-F,MED,,,,,F
CEW,17/35,1,8006,150,ASPH-F,HIGH,60,120,170,,G
FLL,10L/28R,2,9000,150,ASPH-CONC-E,HIGH,100,200,468,800,G
FLL,10R/28L,2,8000,150,CONC-E,HIGH,120,247,461,987,G
FXE,13/31,2,4000,100,ASPH-G,MED,30,60,,,G
FXE,09/27,2,6002,100,ASPH-G,HIGH,56,81,,,G
RSW,06/24,1,12000,150,ASPH-F,HIGH,120,250,538,1045,G
FPR,10R/28L,3,6492,150,ASPH-F,MED,50,110,230,,G
FPR,14/32,3,4755,100,ASPH-E,MED,15,,,,G
FPR,10L/28R,3,4000,75,ASPH-G,MED,15,,,,G
JAX,14/32,2,7701,150,CONC-G,HIGH,120,250,480,1000,G
JAX,08/26,2,10000,150,CONC-G,HIGH,120,250,485,1005,F
VQQ,09R/27L,6,8003,200,ASPH-CONC-G,HIGH,,,,,F
VQQ,09L/27R,6,4439,200,ASPH-CONC-G,,,,,,G
VQQ,H1,6,70,70,CONC-G,,,,,,G
VQQ,H2,6,70,70,CONC-G,,,,,,G
VQQ,18L/36R,6,12503,200,ASPH-CONC-G,HIGH,,,,,G
VQQ,18R/36L,6,8002,200,ASPH-CONC-P,,,,,,F
CRG,14/32,2,4008,100,ASPH-E,HIGH,30,,,,F
CRG,05/23,2,4004,100,ASPH-F,MED,30,,,,F
EYW,09/27,1,5076,100,ASPH-E,MED,75,125,195,,F
LCQ,10/28,2,8003,150,ASPH-E,MED,75,105,250,,G
LCQ,05/23,2,4000,75,ASPH-E,MED,,,,,G
LAL,05/23,3,5000,150,ASPH-F,HIGH,94,150,,,G
LAL,08/26,3,2208,60,TURF-F,,,,,,G
LAL,10/28,3,8500,150,ASPH-E,HIGH,50,250,550,1120,G
MKY,17/35,1,5000,100,ASPH-G,MED,75,108,,,F
MLB,09L/27R,3,6000,150,ASPH-E,MED,60,60,,,G
MLB,05/23,3,3001,75,ASPH-E,MED,26,,,,G
MLB,09R/27L,3,10181,150,ASPH-E,HIGH,100,165,300,,G
MIA,09/27,4,13016,150,ASPH-G,HIGH,130,210,420,850,G
MIA,08L/26R,4,8600,150,ASPH-G,HIGH,130,210,420,850,G
MIA,08R/26L,4,10506,200,ASPH-G,HIGH,130,210,420,850,G
MIA,12/30,4,9360,150,ASPH-G,HIGH,130,210,420,850,G
2R4,18/36,1,3701,75,ASPH-G,MED,22,,,,F
APF,NE/SW,3,1850,100,TURF-G,,,,,,G
APF,14/32,3,5001,100,ASPH-G,MED,,75,,,F
APF,05/23,3,6600,150,ASPH-F,MED,,75,,,G
EVB,02/20,3,4000,100,ASPH-P,,55,,,,G
EVB,07/25,3,5000,75,ASPH-G,MED,55,,,,F
EVB,11/29,3,4319,75,ASPH-G,MED,55,,,,F
OCF,18/36,2,7467,150,ASPH-G,HIGH,111,181,328,,F
OCF,08/26,2,3009,50,ASPH-G,,30,,,,F
ISM,15/33,2,6001,100,ASPH-G,MED,114,189,300,,G
ISM,06/24,2,5001,100,ASPH-G,MED,89,140,,,F
MCO,17L/35R,4,9001,150,CONC-G,HIGH,75,210,420,900,G
MCO,17R/35L,4,10000,150,CONC-G,HIGH,75,210,400,,G
MCO,18L/36R,4,12005,200,ASPH-CONC-G,HIGH,165,200,400,,G
MCO,18R/36L,4,12004,200,ASPH-CONC-G,HIGH,100,200,400,,G
ORL,13/31,2,4625,100,ASPH-F,HIGH,35,60,,,F
ORL,07/25,2,6004,150,ASPH-F,HIGH,45,100,115,,G
ECP,16/34,1,10000,150,CONC-E,HIGH,100,155,400,750,G
SRQ,04/22,2,5006,150,ASPH-G,HIGH,120,219,404,,F
SRQ,14/32,2,9500,150,ASPH-F,HIGH,118,196,358,,F
SUA,16/34,3,5000,100,ASPH-E,,55,90,160,,G
SUA,07/25,3,4653,100,ASPH-F,MED,58,95,170,,G
SUA,12/30,3,5828,100,ASPH-G,MED,65,105,190,,G
TLH,09/27,2,8000,150,ASPH-G,HIGH,115,170,330,,G
TLH,18/36,2,7000,150,ASPH-P,HIGH,115,170,330,,F
X21,04/22,2,1805,100,TURF-G,,,,,,G
X21,15/33,2,2961,70,ASPH-G,MED,12,,,,G
TIX,18/36,2,7319,150,ASPH-F,HIGH,80,110,190,,F
TIX,09/27,2,5000,100,ASPH-E,MED,50,80,,,F
VNC,05/23,2,5000,150,ASPH-G,MED,75,108,,,G
VNC,13/31,2,5640,150,ASPH-G,MED,75,108,,,G
X60,05/23,3,6669,100,CONC-G,HIGH,72,95,160,,F
X60,18/36,3,2051,60,TURF-F,,,,,,F
X60,14/32,3,4979,60,ASPH-G,MED,38,,,,F
AHN,02/20,2,3995,100,ASPH-F,MED,40,45,,,P
AHN,09/27,2,6122,100,ASPH-E,HIGH,65,125,,,G
FFC,H1,2,40,40,ASPH-E,,,,,,
FFC,13/31,2,5768,100,ASPH-G,MED,48,60,,,F
RYY,09/27,1,6295,100,CONC-G,HIGH,,,,,G
PDK,03L/21R,4,3746,150,ASPH-F,MED,20,,,,G
PDK,03R/21L,4,6001,100,CONC-G,HIGH,46,75,,,G
PDK,16/34,4,3968,150,ASPH-F,MED,20,,,,F
PDK,H1,4,56,56,CONC-G,PERI,,,,,
DNL,11/29,2,3733,100,ASPH-G,MED,30,,,,G
DNL,05/23,2,4002,100,ASPH-G,MED,30,,,,G
AGS,17/35,2,8001,150,CONC-G,HIGH,155,160,450,975,G
AGS,08/26,2,6002,75,ASPH-E,MED,52,71,126,,G
18A,08/26,1,5000,75,ASPH-G,MED,15,,,,G
CNI,05/23,1,5003,75,ASPH-G,MED,26,,,,G
CTJ,17/35,1,5503,100,ASPH-G,HIGH,43,56,83,,G
48A,11/29,2,4400,75,ASPH-G,MED,,,,,G
48A,05/23,2,3202,50,ASPH-F,,25,,,,G
HMP,06/24,1,5509,100,ASPH-G,MED,30,45,,,G
AZE,14/32,1,5012,75,ASPH-G,MED,30,,,,G
JZP,16/34,1,5000,100,ASPH-F,MED,60,95,,,F
09J,18/36,1,3715,75,ASPH-G,MED,20,,,,G
LZU,07/25,1,6001,100,ASPH-G,HIGH,93,120,,,G
SAV,10/28,2,9351,150,CONC-G,HIGH,75,190,310,,G
SAV,01/19,2,7002,150,CONC-G,HIGH,75,190,310,,G
OPN,12/30,1,6350,100,ASPH-G,MED,20,50,,,G
VDI,07/25,2,6002,100,CONC-F,HIGH,30,48,85,,F
VDI,14/32,2,5002,75,CONC-G,,30,48,85,,G
WDR,05/23,2,3607,100,ASPH-G,MED,20,,,,G
WDR,13/31,2,5202,100,ASPH-G,HIGH,20,,,,G
BOI,10L/28R,2,10000,150,ASPH-G,HIGH,100,210,446,947,G
BOI,10R/28L,2,9763,150,ASPH-G,HIGH,100,210,430,994,G
65S,02/20,1,4002,75,ASPH-G,MED,25,,,,G
LLJ,17/35,1,4601,60,ASPH-E,MED,30,,,,G
COE,02/20,2,5400,75,ASPH-G,MED,50,83,150,,G
COE,06/24,2,7400,100,ASPH-G,HIGH,57,95,165,,G
GIC,08/26,1,5101,75,ASPH-E,MED,75,95,145,,G
SUN,13/31,1,7550,100,ASPH-G,HIGH,65,95,150,,G
IDA,03/21,2,9002,150,ASPH-G,HIGH,140,175,270,,G
IDA,17/35,2,3964,75,ASPH-G,MED,43,58,,,G
JER,09/27,1,5002,75,ASPH-E,MED,20,,,,G
LWS,12/30,2,5003,75,ASPH-E,MED,118,196,,,G
LWS,08/26,2,6511,150,ASPH-E,HIGH,150,180,400,,G
MYL,16/34,1,6101,75,ASPH-G,MED,86,141,261,,G
MAN,11/29,1,5000,75,ASPH-G,MED,26,50,60,,F
PIH,03/21,2,9059,150,ASPH-G,HIGH,100,160,265,,G
PIH,17/35,2,7150,100,ASPH-G,MED,74,110,199,,F
U10,04/22,2,3558,60,ASPH-G,MED,12,,,,G
U10,17/35,2,2375,30,GRVL-DIRT-G,,,,,,F
