Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
SGT,034-35-58.1200N,091-34-30.0000W,AIRPORT,Y,09/27,2,5002,150,CONC-G,MED,25,65,120,,F
SGT,034-35-58.1200N,091-34-30.0000W,AIRPORT,Y,18/36,2,6015,100,ASPH-G,MED,75,150,200,300,G
TXK,033-27-13.4000N,093-59-27.7000W,AIRPORT,Y-L,04/22,2,6601,150,ASPH-G,HIGH,50,86,120,,G
TXK,033-27-13.4000N,093-59-27.7000W,AIRPORT,Y-L,13/31,2,5200,100,ASPH-G,MED,25,,,,G
APV,034-34-31.2000N,117-11-10.3000W,AIRPORT,Y-L,08/26,2,4099,60,ASPH-P,,40,60,100,,P
APV,034-34-31.2000N,117-11-10.3000W,AIRPORT,Y-L,18/36,2,6498,150,ASPH-F,MED,70,90,150,,F
ACV,040-58-40.1800N,124-06-30.4900W,AIRPORT,Y-L,01/19,2,4501,150,ASPH-G,MED,60,95,170,,F
ACV,040-58-40.1800N,124-06-30.4900W,AIRPORT,Y-L,14/32,2,6046,150,ASPH-G,HIGH,60,155,280,,G
AUN,038-57-17.4000N,121-04-54.2000W,AIRPORT,Y-L,07/25,1,3700,75,ASPH-G,MED,30,,,,G
BFL,035-26-01.9000N,119-03-27.6000W,AIRPORT,Y-L,12R/30L,2,7700,100,ASPH-E,MED,18,,,,G
BFL,035-26-01.9000N,119-03-27.6000W,AIRPORT,Y-L,12L/30R,2,10849,150,ASPH-G,HIGH,96,155,260,654,G
L35,034-15-49.6000N,116-51-21.7000W,AIRPORT,Y-L,08/26,1,5850,75,ASPH-G,MED,12,,,,G
BUR,034-12-02.5000N,118-21-31.2000W,AIRPORT,Y-L,15/33,2,6886,150,ASPH-CONC-E,MED,120,201,352,839,G
BUR,034-12-02.5000N,118-21-31.2000W,AIRPORT,Y-L,08/26,2,5802,150,ASPH-CONC-E,HIGH,120,201,352,839,G
C83,037-49-42.4000N,121-37-33.0000W,AIRPORT,,12/30,2,4500,100,ASPH-G,MED,29,,,,G
C83,037-49-42.4000N,121-37-33.0000W,AIRPORT,,05/23,2,3000,75,ASPH-G,MED,29,,,,G
CMA,034-12-49.5300N,119-05-39.6800W,AIRPORT,Y-L,08/26,1,6013,150,ASPH-CONC-G,MED,50,80,125,,G
CRQ,033-07-41.7000N,117-16-48.3000W,AIRPORT,N,06/24,2,4897,150,ASPH-G,HIGH,60,80,110,,G
CIC,039-47-43.4000N,121-51-30.3000W,AIRPORT,Y-L,13R/31L,3,3000,60,ASPH-F,,12,,,,F
CIC,039-47-43.4000N,121-51-30.3000W,AIRPORT,Y-L,H1,3,64,64,CONC-G,,35,,,,
