Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
LFT,030-12-18.1000N,091-59-15.9000W,AIRPORT,Y-L,11/29,3,5400,148,ASPH-G,MED,85,110,175,,G
LFT,030-12-18.1000N,091-59-15.9000W,AIRPORT,Y-L,04R/22L,3,8000,150,ASPH-G,HIGH,140,170,290,,G
LFT,030-12-18.1000N,091-59-15.9000W,AIRPORT,Y-L,04L/22R,3,4099,75,ASPH-F,MED,25,32,,,F
MLU,032-30-38.0000N,092-02-10.0800W,AIRPORT,Y-L,14/32,2,6301,150,ASPH-G,MED,75,170,290,,G
MLU,032-30-38.0000N,092-02-10.0800W,AIRPORT,Y-L,04/22,2,7504,150,ASPH-G,HIGH,75,170,290,,G
NEW,030-02-32.7000N,090-01-41.7000W,AIRPORT,Y-L,18L/36R,3,3697,75,ASPH-G,MED,35,55,80,,G
NEW,030-02-32.7000N,090-01-41.7000W,AIRPORT,Y-L,18R/36L,3,6879,150,ASPH-G,MED,60,175,200,350,G
NEW,030-02-32.7000N,090-01-41.7000W,AIRPORT,Y-L,09/27,3,3114,75,ASPH-F,MED,50,80,100,,G
SHV,032-26-47.4600N,093-49-33.7400W,AIRPORT,Y-L,14/32,2,8348,200,ASPH-E,HIGH,75,190,400,,G
SHV,032-26-47.4600N,093-49-33.7400W,AIRPORT,Y-L,06/24,2,7003,150,ASPH-E,MED,75,158,280,,G
TVR,032-21-05.8000N,091-01-39.6800W,AIRPORT,Y-L,18/36,1,5002,100,ASPH-G,MED,60,75,,,G
BGR,044-48-26.8000N,068-49-41.3000W,AIRPORT,Y-L,15/33,2,11440,200,ASPH-G,HIGH,100,210,400,,G
RKD,044-03-36.5100N,069-05-58.8100W,AIRPORT,Y-L,03/21,2,4000,100,ASPH-G,MED,65,80,,,G
RKD,044-03-36.5100N,069-05-58.8100W,AIRPORT,Y-L,13/31,2,5412,100,ASPH-E,HIGH,65,80,,,G
SFM,043-23-37.7000N,070-42-28.8000W,AIRPORT,Y-L,07/25,2,6389,100,ASPH-G,HIGH,65,100,,,G
BWI,039-10-32.6200N,076-40-08.3700W,AIRPORT,Y-L,10/28,3,10503,150,ASPH-G,HIGH,80,220,1020,1340,G
BWI,039-10-32.6200N,076-40-08.3700W,AIRPORT,Y-L,15L/33R,3,5000,100,ASPH-F,HIGH,30,45,,,G
BWI,039-10-32.6200N,076-40-08.3700W,AIRPORT,Y-L,15R/33L,3,9501,150,ASPH-G,HIGH,80,220,675,890,G
FDK,039-25-01.2800N,077-22-29.0400W,AIRPORT,Y-L,05/23,2,5819,100,ASPH-G,HIGH,60,,,,G
AQW,042-41-46.5100N,073-10-13.9900W,AIRPORT,Y-L,11/29,1,4300,100,ASPH-E,MED,25,,,,G
OWD,042-11-25.9000N,071-10-22.6000W,AIRPORT,Y-L,10/28,2,3995,75,ASPH-G,,58,69,,,G
OWD,042-11-25.9000N,071-10-22.6000W,AIRPORT,Y-L,17/35,2,4007,100,ASPH-G,MED,58,69,,,G
GLR,045-00-46.9000N,084-42-12.4000W,AIRPORT,Y-L,18/36,2,4200,75,ASPH-G,MED,12,,,,F
OZW,042-37-45.9400N,083-58-55.9000W,AIRPORT,Y-L,13/31,1,5002,100,CONC-G,HIGH,100,,,,F
LAN,042-46-43.1000N,084-35-10.3000W,AIRPORT,Y-L,10R/28L,3,8506,150,ASPH-G,HIGH,100,175,300,,G
LAN,042-46-43.1000N,084-35-10.3000W,AIRPORT,Y-L,06/24,3,5003,120,ASPH-F,MED,45,65,100,,G
LAN,042-46-43.1000N,084-35-10.3000W,AIRPORT,Y-L,10L/28R,3,3601,75,ASPH-F,,12,,,,F
SAW,046-20-56.9700N,087-23-46.9400W,AIRPORT,Y-L,01/19,1,9072,150,ASPH-G,HIGH,114,181,317,741,F
OSC,044-27-05.5000N,083-23-39.0000W,AIRPORT,Y-L,07/25,1,11800,200,ASPH-G,HIGH,155,330,550,,G
PLN,045-34-15.3000N,084-47-48.2000W,AIRPORT,Y-L,05/23,2,5401,150,ASPH-G,MED,76,115,215,,F
PLN,045-34-15.3000N,084-47-48.2000W,AIRPORT,Y-L,14/32,2,6513,150,ASPH-G,HIGH,76,115,215,,F
LWA,042-21-04.7800N,086-15-20.6600W,AIRPORT,Y-L,05/23,2,4800,75,ASPH-G,MED,12,,,,G
TVC,044-44-29.6800N,085-34-54.7300W,AIRPORT,Y-L,10/28,2,7016,150,ASPH-F,HIGH,120,230,440,,G
TVC,044-44-29.6800N,085-34-54.7300W,AIRPORT,Y-L,18/36,2,5378,150,ASPH-F,MED,70,110,190,,G
AIT,046-32-54.4600N,093-40-35.8800W,AIRPORT,Y-L,16/34,2,4000,75,ASPH-F,MED,12,,,,G
AUM,043-39-45.5000N,092-55-58.5000W,AIRPORT,Y-L,17/35,1,5800,100,CONC-G,HIGH,100,135,,,G
BJI,047-30-38.6000N,094-56-05.0000W,AIRPORT,Y-L,13/31,2,7004,150,ASPH-E,HIGH,75,200,,,G
BJI,047-30-38.6000N,094-56-05.0000W,AIRPORT,Y-L,07/25,2,5700,150,ASPH-E,MED,75,200,,,G
BRD,046-24-15.2000N,094-08-01.7000W,AIRPORT,Y-L,05/23,3,6512,150,CONC-G,HIGH,75,125,220,,G
BRD,046-24-15.2000N,094-08-01.7000W,AIRPORT,Y-L,16/34,3,7100,150,CONC-E,HIGH,75,125,220,,G
COQ,046-42-04.0000N,092-30-12.8000W,AIRPORT,Y-L,18/36,2,4002,75,ASPH-F,MED,8,12,,,G
DLH,046-50-31.4500N,092-11-35.6500W,AIRPORT,Y,03/21,2,5719,150,ASPH-G,MED,52,100,361,,G
DLH,046-50-31.4500N,092-11-35.6500W,AIRPORT,Y,09/27,2,10591,150,CONC-F,HIGH,94,180,650,,G
ELO,047-49-26.4500N,091-49-45.5500W,AIRPORT,Y-L,12/30,1,5596,100,ASPH-G,MED,99,159,,,G
GPZ,047-12-33.4200N,093-30-35.8000W,AIRPORT,Y-L,16/34,2,5756,100,ASPH-G,HIGH,23,38,78,,G
GPZ,047-12-33.4200N,093-30-35.8000W,AIRPORT,Y-L,05/23,2,3000,60,ASPH-G,MED,125,,,,G
HIB,047-23-11.6700N,092-50-20.3200W,AIRPORT,Y-L,13/31,2,6758,150,ASPH-E,HIGH,60,100,160,,G
HIB,047-23-11.6700N,092-50-20.3200W,AIRPORT,Y-L,04/22,2,3075,75,ASPH-E,,35,45,,,G
INL,048-33-56.1200N,093-24-07.8500W,AIRPORT,Y,04/22,2,2999,75,ASPH-F,,12,,,,F
INL,048-33-56.1200N,093-24-07.8500W,AIRPORT,Y,13/31,2,7400,150,ASPH-G,HIGH,100,125,190,,G
MKT,044-13-22.0000N,093-55-09.5000W,AIRPORT,Y-L,04/22,2,4000,75,ASPH-G,MED,18,25,,,G
MKT,044-13-22.0000N,093-55-09.5000W,AIRPORT,Y-L,15/33,2,6600,100,CONC-G,HIGH,60,120,155,237,G
MSP,044-52-55.1000N,093-13-18.4000W,AIRPORT,Y-L,12L/30R,4,8200,150,CONC-F,HIGH,100,200,400,850,G
MSP,044-52-55.1000N,093-13-18.4000W,AIRPORT,Y-L,12R/30L,4,10000,200,CONC-G,HIGH,100,200,400,850,G
MSP,044-52-55.1000N,093-13-18.4000W,AIRPORT,Y-L,17/35,4,8000,150,CONC-G,HIGH,100,200,400,850,G
MSP,044-52-55.1000N,093-13-18.4000W,AIRPORT,Y-L,04/22,4,11006,150,CONC-G,HIGH,100,200,400,850,G
ANE,045-08-41.6000N,093-12-36.7000W,AIRPORT,Y-L,18/36,2,4855,100,ASPH-G,MED,23,60,,,G
ANE,045-08-41.6000N,093-12-36.7000W,AIRPORT,Y-L,09/27,2,5000,100,ASPH-G,HIGH,23,60,,,G
FCM,044-49-39.0300N,093-27-30.8600W,AIRPORT,Y-L,10L/28R,3,3901,75,ASPH-F,MED,12,,,,G
FCM,044-49-39.0300N,093-27-30.8600W,AIRPORT,Y-L,10R/28L,3,5001,100,ASPH-G,HIGH,30,60,,,G
FCM,044-49-39.0300N,093-27-30.8600W,AIRPORT,Y-L,18/36,3,2690,75,ASPH-G,MED,12,,,,G
RST,043-54-29.8000N,092-30-00.1000W,AIRPORT,Y-L,02/20,2,7301,150,CONC-G,MED,100,175,300,,G
RST,043-54-29.8000N,092-30-00.1000W,AIRPORT,Y-L,13/31,2,9034,150,CONC-G,HIGH,100,175,300,,G
STP,044-56-04.6400N,093-03-37.2300W,AIRPORT,Y-L,09/27,3,3642,100,ASPH-G,MED,12,,,,G
STP,044-56-04.6400N,093-03-37.2300W,AIRPORT,Y-L,13/31,3,4004,150,ASPH-G,HIGH,97,135,228,,G
STP,044-56-04.6400N,093-03-37.2300W,AIRPORT,Y-L,14/32,3,6491,150,ASPH-G,HIGH,83,111,197,,G
SGS,044-51-25.7000N,093-01-58.3000W,AIRPORT,Y-L,16/34,1,4002,100,ASPH-G,MED,30,57,,,G
RRT,048-56-29.3000N,095-20-54.5000W,AIRPORT,Y-L,13/31,2,5400,100,ASPH-G,HIGH,30,40,,,G
GTR,033-26-53.8000N,088-35-29.0000W,AIRPORT,Y-L,18/36,1,8003,150,ASPH-G,HIGH,120,239,385,669,G
JAN,032-18-40.2000N,090-04-33.2000W,AIRPORT,Y-L,16L/34R,2,8500,150,ASPH-G,HIGH,75,200,390,850,G
JAN,032-18-40.2000N,090-04-33.2000W,AIRPORT,Y-L,16R/34L,2,8500,150,ASPH-E,HIGH,130,140,250,720,G
MEI,032-19-57.4000N,088-45-06.7000W,AIRPORT,Y-L,04/22,2,4599,150,ASPH-P,MED,78,118,211,,F
MEI,032-19-57.4000N,088-45-06.7000W,AIRPORT,Y-L,01/19,2,10003,150,ASPH-CONC-G,HIGH,120,250,550,,F
HEZ,031-36-49.1800N,091-17-50.4100W,AIRPORT,Y-L,18/36,2,5000,150,ASPH-P,MED,83,113,65,,P
HEZ,031-36-49.1800N,091-17-50.4100W,AIRPORT,Y-L,13/31,2,6500,150,ASPH-P,HIGH,50,78,172,,F
UOX,034-23-03.6000N,089-32-12.5000W,AIRPORT,Y-L,09/27,1,5600,100,ASPH-F,MED,38,55,90,,F
VKS,032-14-20.9000N,090-55-41.5000W,AIRPORT,Y-L,01/19,1,5001,100,ASPH-F,MED,30,50,90,,F
M17,037-35-45.9800N,093-20-51.7100W,AIRPORT,Y-L,18/36,1,4000,75,ASPH-E,MED,12,,,,G
BBG,036-31-55.5000N,093-12-01.9600W,AIRPORT,Y,14/32,1,7140,150,CONC-G,HIGH,75,200,350,700,G
CGI,037-13-31.1000N,089-34-14.7000W,AIRPORT,Y-L,10/28,2,6500,150,CONC-G,HIGH,93,125,215,,G
CGI,037-13-31.1000N,089-34-14.7000W,AIRPORT,Y-L,02/20,2,3997,100,ASPH-CONC-F,MED,45,60,100,,G
AIZ,038-05-45.7000N,092-32-58.1000W,AIRPORT,Y-L,04/22,1,6497,100,ASPH-G,MED,55,70,215,,F
MKC,039-07-22.6000N,094-35-34.2000W,AIRPORT,Y-L,01/19,2,6827,150,CONC-E,HIGH,86,171,342,,G
MKC,039-07-22.6000N,094-35-34.2000W,AIRPORT,Y-L,03/21,2,5050,100,ASPH-E,HIGH,48,73,136,,G
TKX,036-13-33.1000N,090-02-11.9100W,AIRPORT,Y-L,18/36,2,3012,75,ASPH-G,MED,10,,,,G
TKX,036-13-33.1000N,090-02-11.9100W,AIRPORT,Y-L,02/20,2,5000,75,CONC-G,MED,30,42,,,G
IRK,040-05-36.5000N,092-32-41.7000W,AIRPORT,Y-L,18/36,2,6005,100,CONC-F,HIGH,30,48,85,,F
MBY,039-27-47.4100N,092-25-33.2000W,AIRPORT,Y-L,05/23,2,3350,60,CONC-E,MED,4,,,,G
MBY,039-27-47.4100N,092-25-33.2000W,AIRPORT,Y-L,13/31,2,5000,75,CONC-E,MED,30,38,,,G
VIH,038-07-38.7500N,091-46-10.2500W,AIRPORT,Y-L,13/31,2,5501,100,ASPH-F,MED,48,62,92,,F
VIH,038-07-38.7500N,091-46-10.2500W,AIRPORT,Y-L,04/22,2,5500,100,ASPH-E,MED,75,85,130,,G
SIK,036-53-56.0000N,089-33-42.3000W,AIRPORT,Y-L,03/21,1,5502,100,ASPH-G,MED,30,38,,,P
SGF,037-14-44.4000N,093-23-19.1000W,AIRPORT,Y-L,02/20,2,7003,150,CONC-G,HIGH,135,170,300,,G
SGF,037-14-44.4000N,093-23-19.1000W,AIRPORT,Y-L,14/32,2,8000,150,CONC-E,HIGH,135,170,300,,G
BHK,046-20-47.8000N,104-15-29.2000W,AIRPORT,Y-L,13/31,1,5904,75,ASPH-E,MED,20,26,,,G
6S0,045-48-23.3200N,109-58-41.7200W,AIRPORT,Y-L,06/24,2,5285,75,ASPH-G,MED,12,,,,G
BIL,045-48-28.2600N,108-32-36.7600W,AIRPORT,Y-L,10R/28L,3,3800,75,ASPH-G,MED,12,,,,F
BIL,045-48-28.2600N,108-32-36.7600W,AIRPORT,Y-L,10L/28R,3,10518,150,ASPH-G,HIGH,120,214,365,,G
BIL,045-48-28.2600N,108-32-36.7600W,AIRPORT,Y-L,07/25,3,5501,75,ASPH-G,MED,12,,,,G
BZN,045-46-38.0500N,111-09-00.9400W,AIRPORT,Y-L,11/29,4,5050,75,ASPH-G,MED,12,,,,G
BZN,045-46-38.0500N,111-09-00.9400W,AIRPORT,Y-L,12/30,4,8994,150,ASPH-G,HIGH,120,250,550,1120,G
BZN,045-46-38.0500N,111-09-00.9400W,AIRPORT,Y-L,03/21,4,2650,75,ASPH-G,,12,,,,G
BTM,045-57-17.3000N,112-29-50.9000W,AIRPORT,Y-L,12/30,2,5100,75,ASPH-G,MED,12,,,,G
BTM,045-57-17.3000N,112-29-50.9000W,AIRPORT,Y-L,15/33,2,9000,150,ASPH-G,MED,60,125,175,,G
LTY,048-30-38.6000N,110-59-27.1100W,AIRPORT,Y-L,07/25,2,4607,75,ASPH-E,MED,12,,,,G
6S3,045-37-49.8900N,109-14-21.1700W,AIRPORT,Y,10/28,1,3800,75,ASPH-E,MED,12,,,,G
CTB,048-36-30.0800N,112-22-34.1400W,AIRPORT,Y-L,14/32,2,5300,75,ASPH-E,MED,27,37,,,G
CTB,048-36-30.0800N,112-22-34.1400W,AIRPORT,Y-L,05/23,2,5300,75,ASPH-E,MED,27,37,,,G
38S,046-23-16.2000N,112-45-53.8000W,AIRPORT,Y-L,13/31,1,5800,75,ASPH-E,MED,50,75,,,G
DLN,045-15-19.3000N,112-33-09.0000W,AIRPORT,Y-L,17/35,2,6501,75,ASPH-E,MED,58,75,129,,G
DLN,045-15-19.3000N,112-33-09.0000W,AIRPORT,Y-L,04/22,2,3600,60,ASPH-E,MED,12,,,,G
GTF,047-28-56.2800N,111-22-13.0100W,AIRPORT,Y,17/35,2,6030,150,ASPH-G,MED,87,140,245,245,G
GTF,047-28-56.2800N,111-22-13.0100W,AIRPORT,Y,03/21,2,10502,150,ASPH-G,HIGH,116,225,424,915,G
HRF,046-15-25.8000N,114-07-25.8400W,AIRPORT,Y-L,17/35,1,5200,75,ASPH-E,MED,40,53,,,G
HLN,046-36-24.2000N,111-58-59.8000W,AIRPORT,Y-L,05/23,4,4644,75,ASPH-F,MED,21,30,,,G
GPI,048-18-37.8000N,114-15-21.6000W,AIRPORT,Y-L,02/20,2,9007,150,ASPH-G,HIGH,115,198,321,,G
GPI,048-18-37.8000N,114-15-21.6000W,AIRPORT,Y-L,12/30,2,3510,75,ASPH-G,MED,25,40,,,G
LWT,047-02-57.3000N,109-28-00.1000W,AIRPORT,Y-L,03/21,3,5600,101,ASPH-P,,12,80,120,,P
LWT,047-02-57.3000N,109-28-00.1000W,AIRPORT,Y-L,08/26,3,6100,100,ASPH-G,MED,40,55,95,,G
LWT,047-02-57.3000N,109-28-00.1000W,AIRPORT,Y-L,13/31,3,4102,62,ASPH-G,MED,12,,,,G
MLS,046-25-36.7900N,105-53-17.6100W,AIRPORT,Y-L,04/22,2,5764,75,ASPH-E,MED,24,24,,,G
MLS,046-25-36.7900N,105-53-17.6100W,AIRPORT,Y-L,13/31,2,5624,100,ASPH-G,MED,38,55,85,,G
MSO,046-54-58.7000N,114-05-26.0000W,AIRPORT,Y-L,08/26,2,4612,75,ASPH-F,MED,30,50,,,G
MSO,046-54-58.7000N,114-05-26.0000W,AIRPORT,Y-L,12/30,2,9501,150,ASPH-G,HIGH,145,170,255,,G
8S1,047-41-43.6000N,114-11-07.0000W,AIRPORT,Y-L,18/36,2,4194,75,ASPH-G,MED,17,,,,G
SDY,047-42-24.7000N,104-11-33.2000W,AIRPORT,Y-L,01/19,2,5705,100,ASPH-G,MED,46,61,109,,G
SDY,047-42-24.7000N,104-11-33.2000W,AIRPORT,Y-L,11/29,2,4024,100,ASPH-G,MED,12,18,,,G
32S,046-31-30.4000N,114-03-10.1000W,AIRPORT,Y-L,12/30,1,3809,75,ASPH-G,MED,12,,,,G
RVF,045-32-07.5000N,112-18-08.2000W,AIRPORT,Y-L,17/35,2,6000,60,ASPH-G,MED,60,78,99,,G
WYS,044-41-18.2000N,111-07-03.5000W,AIRPORT,Y-L,01/19,1,8400,150,ASPH-G,HIGH,90,150,280,,G
FET,041-26-59.8000N,096-31-16.3000W,AIRPORT,Y-L,14/32,1,6353,100,CONC-G,MED,28,48,,,G
EAR,040-43-37.3500N,099-00-24.3700W,AIRPORT,Y-L,13/31,2,4498,75,CONC-E,MED,30,38,,,G
EAR,040-43-37.3500N,099-00-24.3700W,AIRPORT,Y-L,18/36,2,7094,100,CONC-E,HIGH,46,62,,,G
LNK,040-51-03.2100N,096-45-32.8400W,AIRPORT,Y-L,18/36,3,12901,200,ASPH-CONC-F,HIGH,100,200,400,,G
LNK,040-51-03.2100N,096-45-32.8400W,AIRPORT,Y-L,17/35,3,5801,100,ASPH-G,MED,45,59,,,G
LNK,040-51-03.2100N,096-45-32.8400W,AIRPORT,Y-L,14/32,3,8649,150,ASPH-F,MED,80,170,280,,G
LBF,041-07-34.3700N,100-41-01.1500W,AIRPORT,Y-L,12/30,2,8001,150,CONC-E,HIGH,75,110,190,,G
LBF,041-07-34.3700N,100-41-01.1500W,AIRPORT,Y-L,17/35,2,4436,100,CONC-E,MED,28,48,86,,G
OMA,041-18-11.4000N,095-53-38.6000W,AIRPORT,Y-L,14L/32R,3,8500,150,CONC-E,HIGH,100,209,345,,G
OMA,041-18-11.4000N,095-53-38.6000W,AIRPORT,Y-L,14R/32L,3,9502,150,CONC-E,HIGH,100,184,346,,G
OMA,041-18-11.4000N,095-53-38.6000W,AIRPORT,Y-L,18/36,3,8154,150,CONC-E,HIGH,150,175,260,,G
BFF,041-52-26.5000N,103-35-44.3000W,AIRPORT,Y-L,05/23,2,8002,150,ASPH-G,MED,98,158,285,,G
BFF,041-52-26.5000N,103-35-44.3000W,AIRPORT,Y-L,12/30,2,8279,150,ASPH-G,HIGH,109,178,321,,G
SNY,041-05-59.1400N,102-59-05.9800W,AIRPORT,Y,13/31,2,6600,100,CONC-G,HIGH,32,52,96,,G
BAM,040-35-56.6000N,116-52-27.6000W,AIRPORT,Y-L,04/22,4,7300,150,ASPH-G,MED,30,125,,,F
BAM,040-35-56.6000N,116-52-27.6000W,AIRPORT,Y-L,13/31,4,7299,100,ASPH-F,MED,30,104,,,P
BVU,035-56-50.3100N,114-51-39.9000W,AIRPORT,Y-L,15/33,2,3852,75,ASPH-G,MED,12,,,,G
BVU,035-56-50.3100N,114-51-39.9000W,AIRPORT,Y-L,09/27,2,5103,75,ASPH-G,MED,12,,,,G
CXP,039-11-32.3000N,119-43-57.2500W,AIRPORT,Y-L,09/27,1,6101,75,ASPH-E,MED,30,60,,,G
EKO,040-49-30.0000N,115-47-28.8000W,AIRPORT,Y-L,12/30,2,3015,60,ASPH-G,,12,,,,G
EKO,040-49-30.0000N,115-47-28.8000W,AIRPORT,Y-L,06/24,2,7454,150,ASPH-G,MED,78,105,170,,G
ELY,039-17-58.8800N,114-50-30.7600W,AIRPORT,Y-L,12/30,2,4825,60,ASPH-G,MED,15,,,,G
ELY,039-17-58.8800N,114-50-30.7600W,AIRPORT,Y-L,18/36,2,6017,150,ASPH-E,HIGH,70,85,130,,G
VGT,036-12-38.5300N,115-11-40.0000W,AIRPORT,Y-L,12L/30R,3,4199,75,ASPH-G,MED,30,,,,G
VGT,036-12-38.5300N,115-11-40.0000W,AIRPORT,Y-L,07/25,3,5005,75,ASPH-G,MED,30,,,,G
VGT,036-12-38.5300N,115-11-40.0000W,AIRPORT,Y-L,12R/30L,3,5000,75,ASPH-G,MED,30,,,,G
HND,035-58-22.2800N,115-08-03.7800W,AIRPORT,Y-L,17R/35L,2,6501,100,ASPH-E,MED,30,60,,,G
HND,035-58-22.2800N,115-08-03.7800W,AIRPORT,Y-L,17L/35R,2,5001,75,ASPH-E,MED,30,30,,,G
LAS,036-04-48.1600N,115-09-08.0400W,AIRPORT,Y-L,08L/26R,4,14515,150,CONC-G,HIGH,100,250,504,1014,G
LAS,036-04-48.1600N,115-09-08.0400W,AIRPORT,Y-L,01R/19L,4,9771,150,CONC-G,MED,120,250,550,1120,G
LAS,036-04-48.1600N,115-09-08.0400W,AIRPORT,Y-L,01L/19R,4,8988,150,CONC-G,HIGH,120,250,550,1120,G
LAS,036-04-48.1600N,115-09-08.0400W,AIRPORT,Y-L,08R/26L,4,10526,150,CONC-E,HIGH,120,250,633,1120,G
LOL,040-03-59.2800N,118-33-54.3100W,AIRPORT,Y,02/20,2,5529,75,ASPH-G,MED,30,,,,G
LOL,040-03-59.2800N,118-33-54.3100W,AIRPORT,Y,08/26,2,4931,75,ASPH-G,,17,,,,G
MEV,039-00-01.8000N,119-45-04.0000W,AIRPORT,Y-L,12/30,3,5299,75,ASPH-G,,50,75,,,G
MEV,039-00-01.8000N,119-45-04.0000W,AIRPORT,Y-L,16/34,3,7399,100,ASPH-E,HIGH,50,75,,,G
RNO,039-29-56.8000N,119-46-05.2000W,AIRPORT,Y-L,17L/35R,3,9000,150,CONC-G,HIGH,75,209,407,850,G
RNO,039-29-56.8000N,119-46-05.2000W,AIRPORT,Y-L,08/26,3,6102,150,CONC-G,MED,60,170,260,,G
RNO,039-29-56.8000N,119-46-05.2000W,AIRPORT,Y-L,17R/35L,3,11001,150,CONC-G,HIGH,75,185,350,850,G
EEN,042-53-54.2000N,072-16-14.8000W,AIRPORT,Y-L,14/32,2,4001,75,ASPH-E,MED,25,,,,G
ACY,039-27-27.3000N,074-34-37.8000W,AIRPORT,Y-L,13/31,3,10000,150,ASPH-G,HIGH,85,120,350,,G
ACY,039-27-27.3000N,074-34-37.8000W,AIRPORT,Y-L,04/22,3,6144,150,ASPH-CONC-G,HIGH,75,175,400,900,G
MMU,040-47-57.6200N,074-24-53.6000W,AIRPORT,Y-L,13/31,2,3997,150,ASPH-G,MED,30,,,,G
MMU,040-47-57.6200N,074-24-53.6000W,AIRPORT,Y-L,05/23,2,5998,150,ASPH-G,HIGH,30,80,,,G
WWD,039-00-30.1300N,074-54-30.6300W,AIRPORT,Y-L,01/19,2,5252,150,ASPH-G,HIGH,45,75,120,,G
WWD,039-00-30.1300N,074-54-30.6300W,AIRPORT,Y-L,10/28,2,5000,150,ASPH-G,MED,45,75,120,,G
ALM,032-50-21.9000N,105-59-28.1000W,AIRPORT,Y-L,04/22,2,9207,150,ASPH-G,MED,54,74,120,,G
AEG,035-08-41.6700N,106-47-42.6300W,AIRPORT,Y-L,04/22,2,7398,100,ASPH-G,MED,30,,,,G
AEG,035-08-41.6700N,106-47-42.6300W,AIRPORT,Y-L,17/35,2,5983,100,ASPH-G,MED,30,,,,G
ABQ,035-02-20.1500N,106-36-29.7400W,AIRPORT,Y-L,03/21,3,10000,150,CONC-G,HIGH,100,210,360,720,G
ABQ,035-02-20.1500N,106-36-29.7400W,AIRPORT,Y-L,08/26,3,13793,150,CONC-G,HIGH,100,210,360,720,G
ABQ,035-02-20.1500N,106-36-29.7400W,AIRPORT,Y-L,12/30,3,6000,150,CONC-G,MED,65,120,155,,G
BRG,034-38-45.1000N,106-50-10.8200W,AIRPORT,Y-L,03/21,2,6601,60,ASPH-E,MED,12,,,,G
CVN,034-25-35.7200N,103-04-39.2900W,AIRPORT,Y-L,04/22,3,7200,150,ASPH-G,MED,45,57,,,G
CVN,034-25-35.7200N,103-04-39.2900W,AIRPORT,Y-L,12/30,3,5697,100,ASPH-G,MED,42,50,,,G
DMN,032-15-44.6000N,107-43-08.4000W,AIRPORT,Y-L,08/26,2,8018,75,ASPH-G,MED,20,,,,G
DMN,032-15-44.6000N,107-43-08.4000W,AIRPORT,Y-L,04/22,2,5675,60,ASPH-G,MED,12,,,,G
FMN,036-44-28.5000N,108-13-47.7900W,AIRPORT,Y-L,07/25,2,6704,100,ASPH-G,MED,50,90,,,G
FMN,036-44-28.5000N,108-13-47.7900W,AIRPORT,Y-L,05/23,2,6501,150,ASPH-E,MED,47,66,,,G
LVS,035-39-15.2000N,105-08-32.6000W,AIRPORT,Y-L,14/32,2,8199,75,ASPH-G,MED,20,,,,G
LVS,035-39-15.2000N,105-08-32.6000W,AIRPORT,Y-L,02/20,2,5006,75,ASPH-G,MED,20,,,,G
ROW,033-17-59.5300N,104-31-45.8300W,AIRPORT,Y-L,17/35,2,9999,100,ASPH-G,MED,77,104,165,,G
ROW,033-17-59.5300N,104-31-45.8300W,AIRPORT,Y-L,03/21,2,13001,150,CONC-E,MED,100,200,400,,G
SAF,035-37-01.6000N,106-05-21.9000W,AIRPORT,Y-L,02/20,3,8366,150,ASPH-F,MED,116,164,269,,G
SAF,035-37-01.6000N,106-05-21.9000W,AIRPORT,Y-L,10/28,3,6301,75,ASPH-G,,12,,,,G
SAF,035-37-01.6000N,106-05-21.9000W,AIRPORT,Y-L,15/33,3,6316,100,ASPH-E,MED,28,43,,,G
SVC,032-38-11.5700N,108-09-22.9900W,AIRPORT,Y-L,08/26,4,6803,100,ASPH-G,MED,75,100,,,G
SKX,036-27-06.1000N,105-40-23.1000W,AIRPORT,Y-L,04/22,2,5504,75,ASPH-G,MED,24,,,,G
SKX,036-27-06.1000N,105-40-23.1000W,AIRPORT,Y-L,13/31,2,8600,100,CONC-G,MED,60,,,,G
ITH,042-29-28.9000N,076-27-31.4000W,AIRPORT,Y-L,14/32,2,6977,150,ASPH-G,HIGH,100,192,574,1044,G
PEO,042-38-13.5000N,077-03-10.3000W,AIRPORT,Y,01/19,2,5499,100,ASPH-G,MED,82,112,195,,G
PEO,042-38-13.5000N,077-03-10.3000W,AIRPORT,Y,10/28,2,3561,50,ASPH-G,LOW,12,,,,G
POU,041-37-35.7100N,073-53-03.0800W,AIRPORT,Y-L,06/24,3,5001,100,ASPH-E,HIGH,50,60,110,,G
POU,041-37-35.7100N,073-53-03.0800W,AIRPORT,Y-L,15/33,3,2743,100,ASPH-CONC-G,MED,35,45,80,,G
AVL,035-26-10.0100N,082-32-31.3700W,AIRPORT,Y-L,17/35,1,8002,150,ASPH-E,HIGH,120,219,404,837,G
GSO,036-06-04.7800N,079-56-28.0400W,AIRPORT,Y-L,14/32,3,6380,150,ASPH-F,HIGH,120,218,352,,G
GSO,036-06-04.7800N,079-56-28.0400W,AIRPORT,Y-L,05L/23R,3,9000,150,ASPH-F,HIGH,120,250,550,1120,G
GSO,036-06-04.7800N,079-56-28.0400W,AIRPORT,Y-L,05R/23L,3,10001,150,ASPH-G,HIGH,120,250,550,1051,G
MQI,035-55-08.3400N,075-41-43.9300W,AIRPORT,Y-L,17/35,2,3303,75,ASPH-G,MED,20,,,,G
