Loc Id,Facility Type,Wind Indicator,Runway Id,Length,Width,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,Schedule,Schedule,,
FBK,AIRPORT,Y,H7,50,50,ASPH-CONC-G,,,,,,,ALL/MON-FRI/1700-0800++,ALL,MON-FRI,1700-0800++
MLY,AIRPORT,Y-L,18/36,3400,60,GRAVEL-G,MED,,,,,,UNATNDD,UNATNDD,,
MCG,AIRPORT,Y-L,16/34,5936,100,ASPH-G,MED,32,80,120,,G,MAY-SEPT/MON-WED/0700-1730,MAY-SEPT,MON-WED,0700-1730
MCG,AIRPORT,Y-L,16/34,5936,100,ASPH-G,MED,32,80,120,,G,OCT-APR/MON-FRI/0800 - 1630,OCT-APR,MON-FRI,0800 - 1630
MCG,AIRPORT,Y-L,16/34,5936,100,ASPH-G,MED,32,80,120,,G,MAY-SEPT/THURS/0700-1500,MAY-SEPT,THURS,0700-1500
MCG,AIRPORT,Y-L,05/23,2000,60,GRAVEL-G,MED,,,,,,MAY-SEPT/MON-WED/0700-1730,MAY-SEPT,MON-WED,0700-1730
MCG,AIRPORT,Y-L,05/23,2000,60,GRAVEL-G,MED,,,,,,OCT-APR/MON-FRI/0800 - 1630,OCT-APR,MON-FRI,0800 - 1630
MCG,AIRPORT,Y-L,05/23,2000,60,GRAVEL-G,MED,,,,,,MAY-SEPT/THURS/0700-1500,MAY-SEPT,THURS,0700-1500
CDV,AIRPORT,Y-L,09/27,7500,150,ASPH-G,HIGH,90,153,280,,G,ALL/MON-FRI/0600-1630,ALL,MON-FRI,0600-1630
CDV,AIRPORT,Y-L,09/27,7500,150,ASPH-G,HIGH,90,153,280,,G,ALL/SAT-SUN/0600-1630,ALL,SAT-SUN,0600-1630
CDV,AIRPORT,Y-L,16/34,1934,30,GRVL-F,,,,,,P,ALL/MON-FRI/0600-1630,ALL,MON-FRI,0600-1630
CDV,AIRPORT,Y-L,16/34,1934,30,GRVL-F,,,,,,P,ALL/SAT-SUN/0600-1630,ALL,SAT-SUN,0600-1630
MRI,AIRPORT,Y-L,05/23,2000,60,ASPH-GRVL-G,,,,,,G,ALL/MON-FRI/0730-1700,ALL,MON-FRI,0730-1700
MRI,AIRPORT,Y-L,07/25,4000,100,ASPH-G,MED,50,80,,,G,ALL/MON-FRI/0730-1700,ALL,MON-FRI,0730-1700
MRI,AIRPORT,Y-L,16/34,2640,75,ASPH-F,MED,20,,,,F,ALL/MON-FRI/0730-1700,ALL,MON-FRI,0730-1700
ENN,AIRPORT,Y-L,04L/22R,4600,100,ASPH-G,MED,160,,,,G,UNATTND,UNATTND,,
