Dep_Airport_ID,Schedules,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
LGB,ALL/ALL/ALL,08L/26R,7,6192,150,ASPH-E,MED,30,70,110,,G
WHP,ALL/ALL/ALL,12/30,1,4120,75,ASPH-G,MED,12,,,,G
LAX,ALL/ALL/ALL,07L/25R,4,12923,150,CONC-G,HIGH,175,225,400,900,G
LAX,ALL/ALL/ALL,06R/24L,4,10885,150,CONC-G,HIGH,175,225,400,900,G
LAX,ALL/ALL/ALL,06L/24R,4,8926,150,ASPH-CONC-G,HIGH,175,225,400,900,G
LAX,ALL/ALL/ALL,07R/25L,4,11095,200,ASPH-CONC-G,HIGH,175,225,400,900,G
MER,ALL/ALL/0900-1800,13/31,1,11802,150,ASPH-CONC-G,HIGH,155,200,415,720,G
MCE,ALL/ALL/0600-1800,12/30,1,5914,150,ASPH-G,HIGH,30,100,155,,G
MOD,"ALL/MON-FRI/0800 -1630",10L/28R,2,5904,150,ASPH-G,HIGH,60,200,400,,G
MOD,"ALL/MON-FRI/0800 -1630",10R/28L,2,3464,100,ASPH-G,MED,30,,,,G
SIY,ALL/ALL/0800-1700,17/35,1,7490,150,ASPH-G,MED,60,180,270,,G
MRY,ALL/ALL/ALL,10L/28R,2,3503,60,ASPH-F,MED,12,,,,G
MRY,ALL/ALL/ALL,10R/28L,2,7175,150,ASPH-G,HIGH,100,160,300,,G
APC,ALL/ALL/0700-2000,01R/19L,3,2510,75,ASPH-G,,13,,,,G
APC,ALL/ALL/0700-2000,01L/19R,3,5930,150,ASPH-G,MED,102,134,120,,G
APC,ALL/ALL/0700-2000,06/24,3,5008,150,CONC-F,MED,60,76,120,,G
EED,UNATNDD,11/29,2,5005,100,ASPH-P,MED,16,32,,,F
EED,UNATNDD,02/20,2,4235,100,ASPH-F,MED,16,32,,,F
OAK,ALL/ALL/ALL,10R/28L,4,6213,150,ASPH-G,HIGH,75,210,500,900,G
OAK,ALL/ALL/ALL,12/30,4,10520,150,ASPH-G,HIGH,75,210,500,900,G
OAK,ALL/ALL/ALL,15/33,4,3376,75,ASPH-G,MED,12,65,100,,G
OAK,ALL/ALL/ALL,10L/28R,4,5457,150,ASPH-G,HIGH,75,210,500,900,G
ONT,ALL/ALL/ALL,08R/26L,2,10200,150,CONC-G,HIGH,30,200,560,850,G
ONT,ALL/ALL/ALL,08L/26R,2,12197,150,CONC-G,HIGH,30,200,560,850,G
OXR,ALL/ALL/0500-0030,07/25,1,5953,100,ASPH-F,MED,91,126,174,117,F
TRM,ALL/ALL/0700-1800,17/35,2,8500,150,ASPH-G,MED,75,200,325,850,F
TRM,ALL/ALL/0700-1800,12/30,2,4995,100,ASPH-G,MED,20,60,,,G
PSP,ALL/ALL/ALL,13L/31R,2,4952,75,ASPH-G,MED,12,60,,,G
PSP,ALL/ALL/ALL,13R/31L,2,10000,150,ASPH-G,HIGH,105,200,330,800,G
PRB,ALL/ALL/0700-1800,01/19,3,6008,150,ASPH-G,HIGH,60,106,150,,G
PRB,ALL/ALL/0700-1800,13/31,3,4701,100,ASPH-G,MED,30,50,90,,G
PVF,ALL/ALL/0800-1700,05/23,2,3914,76,ASPH-G,MED,26,,,,F
PTV,MAY-OCT/ALL/0700-1900,12/30,1,5960,150,ASPH-G,HIGH,30,70,110,,F
PTV,NOV-APR/ALL/0800-1700,12/30,1,5960,150,ASPH-G,HIGH,30,70,110,,F
RBL,ALL/ALL/0700-DUSK,15/33,1,5431,100,ASPH-E,MED,30,65,,,G
RDD,ALL/ALL/ALL,16/34,2,7003,150,ASPH-G,HIGH,98,128,195,,G
RDD,ALL/ALL/ALL,12/30,2,5067,150,ASPH-G,MED,60,72,110,,G
