,Loc Id,ARP Latitude,ARP Longitude
172,GJT,039-07-20.7000N,108-31-36.3000W
173,MVI,037-31-43.4100N,106-02-45.2300W
174,MTJ,038-30-35.3000N,107-53-39.3000W
175,FNL,040-27-06.5400N,105-00-40.7700W
176,PUB,038-17-23.8100N,104-29-52.9000W
177,RIL,039-31-35.7800N,107-43-40.7500W
178,BJC,039-54-31.7000N,105-07-01.9000W
179,ALS,037-26-06.4500N,105-52-04.3500W
180,SBS,040-30-58.5400N,106-51-58.6900W
181,HDN,040-28-52.3000N,107-13-03.6000W
182,BDL,041-56-20.5200N,072-41-03.5400W
183,BDR,041-09-48.5300N,073-07-34.2300W
184,GON,041-19-48.2000N,072-02-42.5000W
185,HEF,038-43-15.6800N,077-30-54.3600W
186,IAD,038-56-50.8000N,077-27-35.8000W
187,X21,028-37-21.1900N,080-50-07.4700W
188,BOW,027-56-36.1000N,081-47-00.3000W
189,CEW,030-46-43.7900N,086-31-19.6100W
190,BCT,026-22-42.5500N,080-06-27.7100W
191,BKV,028-28-25.0000N,082-27-19.5000W
192,VQQ,030-13-07.6000N,081-52-37.8000W
193,CLW,027-58-37.9700N,082-45-32.6000W
194,ORL,028-32-43.6600N,081-19-58.5500W
195,FXE,026-11-50.2100N,080-10-14.5400W
196,FLL,026-04-18.0000N,080-08-58.9000W
197,CRG,030-20-10.8000N,081-30-52.0000W
198,JAX,030-29-38.5600N,081-41-16.2500W
199,EYW,024-33-22.0300N,081-45-35.8400W
200,ISM,028-17-23.3000N,081-26-13.4900W
201,LCQ,030-10-55.4000N,082-34-36.7000W
202,LAL,027-59-15.5000N,082-01-08.4000W
203,MKY,025-59-42.1000N,081-40-21.1000W
204,MLB,028-06-09.9000N,080-38-42.9000W
205,MIA,025-47-43.3000N,080-17-24.4200W
206,APF,026-09-08.7900N,081-46-32.3000W
207,EVB,029-03-20.5000N,080-56-56.1000W
208,ECP,030-21-29.6700N,085-47-44.1700W
209,OCF,029-10-18.7600N,082-13-26.8100W
210,MCO,028-25-45.8000N,081-18-32.4000W
211,2R4,030-38-15.4300N,086-59-37.1500W
212,SRQ,027-23-43.6000N,082-33-15.8000W
213,RSW,026-32-10.1900N,081-45-18.5600W
214,TIX,028-30-53.3000N,080-47-57.2000W
215,TLH,030-23-48.3200N,084-21-03.1300W
216,FPR,027-29-50.9000N,080-22-21.5000W
217,VNC,027-04-16.5600N,082-26-24.1200W
218,X60,029-21-16.5800N,082-28-14.0300W
219,SUA,027-10-54.1200N,080-13-16.6600W
220,AHN,033-56-55.1100N,083-19-33.2900W
221,FFC,033-21-27.8000N,084-34-21.1000W
222,HMP,033-23-23.6500N,084-19-51.7300W
223,AGS,033-22-11.8000N,081-57-52.2000W
224,WDR,033-58-57.6800N,083-40-01.9800W
225,CNI,034-18-43.9900N,084-25-19.7500W
226,RYY,034-00-47.4000N,084-35-49.3000W
227,48A,032-24-02.3700N,083-16-42.2600W
228,DNL,033-27-59.7000N,082-02-21.8000W
229,PDK,033-52-33.6100N,084-18-07.3100W
230,18A,034-20-25.3000N,083-07-50.9000W
231,LZU,033-58-41.1300N,083-57-44.5100W
232,AZE,031-53-06.6800N,082-38-52.4100W
233,09J,031-04-28.1000N,081-25-40.0000W
234,JZP,034-27-12.5000N,084-27-26.0000W
235,SAV,032-07-39.3000N,081-12-07.7000W
236,OPN,032-57-18.0100N,084-15-50.7100W
237,VDI,032-11-33.8000N,082-22-16.2000W
238,CTJ,033-37-54.1100N,085-09-08.1500W
239,HNL,021-19-04.1400N,157-55-12.8200W
240,ITO,019-43-12.9500N,155-02-54.4900W
241,OGG,020-53-55.1300N,156-25-49.6500W
242,DBQ,042-24-07.2000N,090-42-34.1000W
243,BOI,043-33-51.7000N,116-13-22.3000W
244,65S,048-43-33.5000N,116-17-42.6000W
245,LLJ,044-31-24.9800N,114-13-04.5800W
246,COE,047-46-27.5000N,116-49-10.5000W
247,SUN,043-30-13.6100N,114-17-44.0100W
248,GIC,045-56-33.6000N,116-07-22.9000W
249,IDA,043-30-49.2200N,112-04-14.9500W
