Loc Id,Facility Type,Runway Id,Length,Width,Surface Type Condition,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Schedule
MLS,AIRPORT,NE/SW,5200,100,WATER,0.0,0.0,0.0,0.0,ALL/ALL/ALL
GPI,AIRPORT,12/30,4001,100,ASPH-F,23.0,42.0,0.0,0.0,ALL/MON-FRI/0700-1600
GTF,AIRPORT,13/31,2765,154,TURF-G,0.0,0.0,0.0,0.0,UNATNDD
HLN,AIRPORT,H1,75,75,CONC,0.0,0.0,0.0,0.0,ALL/ALL/DAWN-DUSK
LWT,AIRPORT,H1,50,50,CONC-G,0.0,0.0,0.0,0.0,UNATTND
LTY,AIRPORT,18/36,3000,100,TURF,0.0,0.0,0.0,0.0,UNATNDD
MSO,AIRPORT,14W/32W,5000,200,WATER,0.0,0.0,0.0,0.0,UNATNDD
8S1,AIRPORT,13/31,5400,100,ASPH-G,30.0,40.0,0.0,0.0,UNATT
HRF,AIRPORT,08W/26W,5000,500,WATER,0.0,0.0,0.0,0.0,UNATNDD
7S0,AIRPORT,09/27,2250,60,TURF,0.0,0.0,0.0,0.0,ALL/ALL/ON CALL
RVF,AIRPORT,12W/30W,5047,250,WATER,0.0,0.0,0.0,0.0,UNATNDD
SDY,AIRPORT,N/S,3200,150,TURF,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-2000
8S0,AIRPORT,04/22,7630,150,PEM,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
32S,AIRPORT,18/36,1200,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
6S3,AIRPORT,02/20,2300,50,TURF,0.0,0.0,0.0,0.0,MAY-OCT/SUN/1000-1630
WYS,AIRPORT,18/36,2100,120,TURF,0.0,0.0,0.0,0.0,UNATNDD
AVL,AIRPORT,13/31,7000,150,ASPH-G,60.0,200.0,300.0,0.0,UNATNDD
EQY,AIRPORT,01L/19R,8003,200,CONC,0.0,0.0,0.0,0.0,UNATNDD
JQF,AIRPORT,14/32,3000,75,ASPH-G,21.0,0.0,0.0,0.0,UNATNDD
MQI,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
14A,AIRPORT,H1,20,20,WOOD,0.0,0.0,0.0,0.0,ALL/ALL/ALL
SOP,AIRPORT,07/25,2600,100,TURF,0.0,0.0,0.0,0.0,UNATNDD
GSO,AIRPORT,15/33,2400,80,TURF-F,0.0,0.0,0.0,0.0,UNATNDD
SVH,AIRPORT,18/36,2648,47,ASPH-E,0.0,0.0,0.0,0.0,ALL/MON-FRI/DALGT
BIS,AIRPORT,H1,30,30,CONC,0.0,0.0,0.0,0.0,ALL/ALL/0800-DUSK
DIK,AIRPORT,16/34,2000,75,TURF,0.0,0.0,0.0,0.0,UNATNDD
FAR,AIRPORT,12/30,1661,40,TURF,0.0,0.0,0.0,0.0,UNATNDD
JMS,AIRPORT,E/W,2250,45,TURF,0.0,0.0,0.0,0.0,UNATNDD
S25,AIRPORT,09/27,1900,50,ASPH-TURF,0.0,0.0,0.0,0.0,ALL/SUN/1300-1600
XWA,AIRPORT,10/28,3000,60,TURF,0.0,0.0,0.0,0.0,UNATNDD
OMA,AIRPORT,17/35,2600,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
FET,AIRPORT,18/36,3000,100,TURF,0.0,0.0,0.0,0.0,UNATNDD
EAR,AIRPORT,17/35,6501,75,ASPH-E,58.0,75.0,129.0,0.0,UNATNDD
LNK,AIRPORT,H1,75,75,CONC,0.0,0.0,0.0,0.0,ALL/ALL/0700-1600
LBF,AIRPORT,06/24,6000,100,ASPH-E,0.0,0.0,0.0,0.0,UNATNDD
SNY,AIRPORT,10/28,1840,97,TURF,0.0,0.0,0.0,0.0,UNATNDD
BFF,AIRPORT,16/34,2600,50,TURF,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
EEN,AIRPORT,H1,40,40,CONC-F,0.0,0.0,0.0,0.0,UNATNDD
ACY,AIRPORT,15/33,3500,25,CONC,0.0,0.0,0.0,0.0,UNATNDD
WWD,AIRPORT,10/28,2900,100,TURF-G,0.0,0.0,0.0,0.0,UNATNDD
MMU,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,NOV-MAR/ALL/0700-2100
ALM,AIRPORT,06/24,815,40,GRAVEL-F,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
ABQ,AIRPORT,H1,40,40,MATS,0.0,0.0,0.0,0.0,ALL/SAT/0900-1700
BRG,AIRPORT,06/24,1120,60,DIRT,0.0,0.0,0.0,0.0,UNATNDD
CVN,AIRPORT,12/30,4825,60,ASPH-G,15.0,0.0,0.0,0.0,UNATNDD
