flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8
N948CH,HELIGROUP FIRE LLC,CH47D,Rotorcraft,TANDEM ROTOR LLC,06/30/2027,Turbo-shaft,None,LLC,No,AD2B1A,NO,PO BOX 7967,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59807-7967,R0014DE,HONEYWELL,T55-GA-714A,08/16/2017,TANDEM ROTOR LLC,Restricted,"Other, Forest, Agriculture and Pest Control",Yes,Valid,90-0202,None,06/13/2014,1990,53225432
N8286,HIGH PERFORMANCE HELICOPTERS CORP,UH-60A,Rotorcraft,SIKORSKY,02/28/2030,Turbo-shaft,None,Corporation,No,AB51BD,NO,PO BOX 390,CRESTLINE,SAN BERNARDINO,UNITED STATES,CALIFORNIA,92325-0390,None,GE,T700-GE-700,10/07/2017,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,79-23286,None,02/15/2017,1979,52650675
N407MC,HILLSBORO AVIATION INC,407,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,11/30/2028,Turbo-shaft,None,Corporation,No,A4C7B8,NO,3845 NE 30TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-4700,H2SW,ROLLS-ROYC,250-C47B,11/05/2012,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,53659,None,11/30/2012,2005,51143670
N804KP,HOG AIR AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,03/31/2029,Turbo-prop,None,Corporation,No,AAF1A8,NO,7760 HWY 412 E,PARAGOULD,GREENE,UNITED STATES,ARKANSAS,72450,None,P&W CANADA,PT6A-67AG,02/13/2013,None,Restricted,"Forest, Agriculture and Pest Control",Yes,Valid,802A-0496,None,03/19/2013,2013,52570650
N804RX,HOG AIR AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,03/31/2029,Turbo-prop,None,Corporation,No,AAF246,NO,7760 HWY 412 E,PARAGOULD,GREENE,UNITED STATES,ARKANSAS,72450,None,P&W CANADA,PT6A-67F,05/16/2022,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0786,None,03/29/2019,2019,52571106
N895MA,HOMETOWNE BUILDINGS & TRAILERS LLC,MU-2B-36A,Fixed Wing Multi-Engine,MITSUBISHI,08/31/2029,Turbo-prop,None,LLC,No,AC58FB,NO,PO BOX 10275,JACKSON,MADISON,UNITED STATES,TENNESSEE,38308-0104,None,Unknown,Unknown,08/11/1978,None,Standard,Normal,No,Valid,723SA,None,08/30/2022,None,53054373
N419FF,PLANTERS AIR SERVICE INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,01/31/2030,Turbo-prop,None,Corporation,No,A4F612,NO,PO BOX 65,ALLIGATOR,BOLIVAR,UNITED STATES,MISSISSIPPI,38720-0065,None,P&W,PT6A SERIES,11/10/2004,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0191,None,01/14/2023,2004,51173022
N121TG,INTERNATIONAL AIR RESPONSE,C-130A,Fixed Wing Multi-Engine,LOCKHEED,04/30/2027,Turbo-prop,None,Corporation,No,A05919,NO,6250 S TAXIWAY CIR,MESA,PINAL,UNITED STATES,ARIZONA,85212-6399,None,ALLISON,T-56A-9,06/29/2017,None,Restricted,"Patrolling, Aerial Surveying, Other, Forest, Agriculture and Pest Control",No,Valid,56-0511,None,05/10/2007,1956,50054431
N117TG,INTERNATIONAL AIR RESPONSE INC,C-130A,Fixed Wing Multi-Engine,LOCKHEED,08/31/2028,Turbo-prop,None,Corporation,No,A047E4,NO,6250 S TAXIWAY CIR,MESA,PINAL,UNITED STATES,ARIZONA,85212-6399,None,ALLISON,T-56A-9,12/06/2017,None,Restricted,"Other, Patrolling, Forest, Aerial Surveying, Agriculture and Pest Control",No,Valid,54-1631,None,10/13/1989,1954,50043744
N118TG,INTERNATIONAL AIR RESPONSE INC,C-130A,Fixed Wing Multi-Engine,LOCKHEED,04/30/2029,Turbo-prop,None,Corporation,No,A04B9B,NO,6250 S TAXIWAY CIR,MESA,PINAL,UNITED STATES,ARIZONA,85212-6399,None,ALLISON,T-56A-9,06/29/2017,None,Restricted,"Other, Patrolling, Forest, Aerial Surveying, Agriculture and Pest Control",No,Valid,57-0512,None,01/22/1990,1957,50045633
N120TG,INTERNATIONAL AIR RESPONSE INC,C-130A,Fixed Wing Multi-Engine,LOCKHEED,02/28/2029,Turbo-prop,None,Corporation,No,A05562,NO,6250 S TAXIWAY CIR,MESA,PINAL,UNITED STATES,ARIZONA,85212-6399,None,ALLISON,T-56A-9,06/29/2017,None,Restricted,"Patrolling, Aerial Surveying, Other, Forest, Agriculture and Pest Control",No,Valid,3035,None,02/15/2013,1955,50052542
N83BH,JAMBB LLC,EH-60A,Rotorcraft,SIKORSKY,02/28/2029,Turbo-shaft,None,LLC,No,AB5622,NO,2015 MCKINLEY AVE STE F4,LA VERNE,LOS ANGELES,UNITED STATES,CALIFORNIA,91750-5808,None,GE,T700-GE-700,01/06/2020,None,Restricted,Forest,No,Valid,87-24668,None,02/20/2019,1987,52653042
N528NR,MINNESOTA DEPARTMENT OF NATURAL RESOURCES,KODIAK 100,Fixed Wing Single-Engine,KODIAK AIRCRAFT CO INC,12/31/2029,Turbo-prop,None,Government,No,A6A7E2,NO,405 SE 11TH ST,GRAND RAPIDS,ITASCA,UNITED STATES,MINNESOTA,55744,None,P&W CANADA,PT6A-34,10/27/2022,None,Standard,Normal,No,Valid,100-0315,None,12/07/2022,2022,51523742
N58468,LONG-LINE LEASING LLC,UH-1H,Rotorcraft,WESTERN INTERNATIONAL AVIA INC,01/31/2030,Turbo-shaft,None,LLC,No,A7880F,NO,1622 N CORDOBA DR,SARATOGA SPRINGS,UTAH,UNITED STATES,UTAH,84045-5182,None,LYCOMING,T-53,07/05/2005,None,Restricted,"Carriage of Cargo, Forest, Agriculture and Pest Control",No,Valid,71-20298,None,04/10/2008,1971,51704017
N302FD,LOS ANGELES CITY,AW139,Rotorcraft,AGUSTA AEROSPACE CORP,02/29/2028,Turbo-shaft,None,Government,No,A32741,NO,C/O LOS ANGELES FIRE DEPARTMENT,VAN NUYS,LOS ANGELES,UNITED STATES,CALIFORNIA,91406,R00002RD,P&W CANADA,PT6C-67C,01/22/2011,LEONARDO S P A,Standard,Transport,No,Valid,41239,None,02/07/2012,2011,50623501
N405LC,LYNDEN AIR CARGO LLC,382G,Fixed Wing Multi-Engine,LOCKHEED,10/31/2027,Turbo-prop,None,LLC,No,A4C031,NO,6520 KULIS DR,ANCHORAGE,ANCHORAGE DIV,UNITED STATES,ALASKA,99502-1816,None,ALLISON,501-D22A,06/15/2010,None,Standard-Restricted,"Other, Agriculture and Pest Control, Aerial Advertising, Agriculture and Pest Control",Yes,Valid,5025,None,07/21/1999,1985,51140061
N69TP,MCCARLEY BRIAN,500N,Rotorcraft,MCDONNELL DOUGLAS HELICOPTER,08/31/2029,Turbo-shaft,None,Individual,No,A92A14,NO,106 REBECCA RD,GEORGETOWN,WILLIAMSON,UNITED STATES,TEXAS,78633-1908,H3WE,ALLISON,250-C20 SER,03/08/1994,MD HELICOPTERS INC (MDHI),Standard,Normal,No,Valid,LN063,None,08/30/2022,1994,52225024
N4247V,MIDWEST TRUXTON INTERNATIONAL INC,S-58JT,Rotorcraft,SIKORSKY,02/28/2029,Turbo-shaft,None,Corporation,No,A50DDC,NO,6225 GARFIELD AVE,BURR RIDGE,COOK,UNITED STATES,ILLINOIS,60527,1H11,P&W CANADA,PT6T-3,05/30/2007,CALIFORNIA HELICOPTER AIRWAYS INC,Standard,Transport,No,Valid,58-1547,None,12/08/1983,None,51206734
N402MA,MINUTEMAN AVIATION INC,407,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,06/30/2027,Turbo-shaft,None,Corporation,No,A4B523,NO,5225 HWY 10 W AIRPORT BOX 16,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,H2SW,ROLLS-ROYC,250-C47B,05/26/2017,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,53834,None,06/28/2017,2008,51132443
N526MW,MOUNTAIN WEST HELICOPTERS LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,06/30/2027,Turbo-shaft,None,LLC,No,A6A060,NO,1622 N CORDOBA DR,SARATOGA SPRINGS,UTAH,UNITED STATES,UTAH,84045-5182,TR7BO,LYCOMING,T-53 SERIES,10/04/1994,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,0004,None,06/25/2020,1994,51520140
N21CG,N21CG LEASING LLC,B200,Fixed Wing Multi-Engine,BEECH,08/31/2029,Turbo-prop,None,LLC,No,A1B762,NO,2117 N WAVERLY,PONCA CITY,KAY,UNITED STATES,OKLAHOMA,74601,None,P&W CANADA,PT6A-60A,12/11/1989,None,Standard,Normal,No,Valid,BB-1346,None,08/10/2022,1989,50333542
N353RC,N353RC LLC,UH-1H,Rotorcraft,BELL,04/30/2029,Turbo-shaft,None,LLC,No,A3F16C,NO,PO BOX 518,CHELAN,CHELAN,UNITED STATES,WASHINGTON,98816-0518,None,LYCOMING,T5313B,10/24/2018,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,6600782,None,04/20/2022,None,50770554
N477NA,NEPTUNE AVIATION SERVICES,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,09/30/2029,Turbo-fan,None,Corporation,No,A5DC48,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808-8675,None,LYCOMING,ALF502R-5,04/25/2017,None,Standard,Transport,No,Valid,E2103,None,09/22/2016,1988,51356110
N122HP,NEPTUNE AVIATION SERVICES,P2V-7,null,LOCKHEED,null,null,None,Corporation,null,A05BDD,null,None,None,,,,None,null,None,None,None,null,Unknown,None,No,null,148341,None,01/08/2007,null,50055735
N128HP,NEPTUNE AVIATION SERVICES,P2V-7,null,LOCKHEED,null,null,None,Corporation,null,A07227,null,None,None,,,,None,null,None,None,None,null,Unknown,None,No,null,140972,None,01/08/2007,null,50071047
N2216S,NEPTUNE AVIATION SERVICES,P2V-7,null,LOCKHEED,null,null,None,Corporation,null,A1E7F3,null,None,None,,,,None,null,None,None,None,null,Unknown,None,No,null,148346,None,01/08/2007,null,50363763
N2218Q,NEPTUNE AVIATION SERVICES,P2V-7,null,LOCKHEED,null,null,None,Corporation,null,A1E837,null,None,None,,,,None,null,None,None,None,null,Unknown,None,No,null,148359,None,01/08/2007,null,50364067
N471NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200,Fixed Wing Multi-Engine,BRITISH AEROSPACE,12/31/2029,Turbo-jet,None,Corporation,No,A5C5FE,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,E2136,None,12/14/2016,None,51342776
N470NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,12/31/2029,Turbo-fan,None,Corporation,No,A5C247,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,HONEYWELL,ALF502R-5,03/17/2010,None,Standard,Transport,No,Valid,E2049,None,12/12/2016,1986,51341107
N478NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,11/30/2029,Turbo-fan,None,Corporation,No,A5DFFF,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,LYCOMING,ALF502R-5,10/17/2017,None,Standard,Transport,No,Valid,E2074,None,11/09/2016,1987,51357777
N476NA,NEPTUNE AVIATION SERVICES INC,BAE 146,Fixed Wing Multi-Engine,BRITISH AEROSPACE,12/31/2029,Turbo-jet,None,Corporation,No,A5D891,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,LYCOMING,ALF-502 SER.,07/10/2015,None,Standard,Transport,No,Valid,E-2196,None,12/14/2016,1991,51354221
N472NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,08/31/2029,Turbo-fan,None,Corporation,No,A5C9B5,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808-8675,None,LYCOMING,ALF502R-5,11/21/2013,None,Standard,Transport,No,Valid,E2138,None,08/29/2016,1989,51344665
