flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8,Main Gear Config
N24HD,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,8/31/27,Turbo-prop,None,LLC,No,A22E59,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,12/19/07,None,Standard,Normal,No,Valid,BY-18,None,8/30/17,2007,50427131,
N32EA,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,3/31/29,Turbo-prop,None,LLC,No,A36C5C,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,6/21/18,None,Standard,Normal,No,Valid,BY-32,None,3/27/19,2008,50666134,
N50HV,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,2/28/30,Turbo-prop,None,LLC,No,A6385A,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-42,10/6/11,None,Standard,Normal,No,Valid,BB-1879,None,2/2/17,2004,51434132,D
N556MC,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,2/28/30,Turbo-prop,None,LLC,No,A716CB,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,12/11/07,None,Standard,Normal,No,Valid,BY-17,None,2/22/17,2007,51613313,
N600ML,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,7/31/27,Turbo-prop,None,LLC,No,A7C85D,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,9/23/09,None,Standard,Normal,No,Valid,BY-87,None,7/26/17,2009,51744135,
N6300F,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,12/31/29,Turbo-prop,None,LLC,No,A8401A,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,BB-1865,None,12/8/16,None,52040032,D
N741JR,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,3/31/30,Turbo-prop,None,LLC,No,A9F719,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,2/15/10,None,Standard,Normal,No,Valid,BY-103,None,3/28/17,2010,52373431,
N5AE,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,1/31/30,Turbo-prop,None,LLC,No,A63543,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,BB-1891,None,1/3/17,None,51432503,D
N33CT,THREE WING FLIGHT SCHOOL LLC,PA-28-181,Fixed Wing Single-Engine,PIPER,4/30/28,Reciprocating,None,LLC,No,A393BA,NO,400 GREAT MEADOW RD,STRATFORD,FAIRFIELD,UNITED STATES,CONNECTICUT,06615-7583,None,LYCOMING,O&VO-360 SER,10/6/77,None,Standard,"Utility, Normal",No,Valid,28-7890136,None,4/12/21,1977,50711672,S
N33CT,THREE WING FLIGHT SCHOOL LLC,PA-28-181,Fixed Wing Single-Engine,PIPER,4/30/28,Reciprocating,None,LLC,No,A393BA,NO,400 GREAT MEADOW RD,STRATFORD,FAIRFIELD,UNITED STATES,CONNECTICUT,06615-7583,None,LYCOMING,O&VO-360 SER,10/6/77,None,Standard,"Utility, Normal",No,Valid,28-7890136,None,4/12/21,1977,50711672,S
N674TH,TIMBERLINE HELICOPTERS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,1/31/28,Turbo-shaft,None,Corporation,No,A8EC45,NO,1926 INDUSTRIAL DR,SANDPOINT,BONNER,UNITED STATES,IDAHO,83864-8244,TR7BO,HONEYWELL,T5317 SER,5/21/04,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0035,None,8/20/08,2004,52166105,
N675TH,TIMBERLINE HELICOPTERS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,12/31/28,Turbo-shaft,None,Corporation,No,A8EFFC,NO,1926 INDUSTRIAL DR,SANDPOINT,BONNER,UNITED STATES,IDAHO,83864-8244,TR7BO,ALLIEDSIGN,T5317A-1,8/27/98,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0025,None,10/22/08,1998,52167774,
N620TJ,TIMBERLINE HELICOPTERS INC,UH-60A,Rotorcraft,TIMBERLINE HELICOPTERS INC,11/30/29,Turbo-shaft,None,Corporation,No,A817EF,NO,1926 INDUSTRIAL DR,SANDPOINT,BONNER,UNITED STATES,IDAHO,83864-8244,R00052SE,GE,T700-GE-700,11/19/16,TIMBERLINE HELICOPTERS INC,Restricted,"Other, Forest, Agriculture and Pest Control",Yes,Valid,81-23620,None,11/8/16,1982,52013757,
N911FS,TUMBLEWEED LEASING COMPANY INC,407,Rotorcraft,BELL,5/31/30,Turbo-shaft,None,Corporation,No,AC9AF0,NO,619 N 2360 W,SALT LAKE CITY,SALT LAKE,UNITED STATES,UTAH,84116-2957,H2SW,ALLISON,250-C47,6/4/00,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,53424,None,5/16/14,2000,53115360,
N690RA,TURBO JOE LEASING LLC,690,Fixed Wing Multi-Engine,AERO COMMANDER,10/31/28,Turbo-prop,None,LLC,No,A92C2E,NO,13412 N BLUE COYOTE TRL,FORT MCDOWELL,MARICOPA,UNITED STATES,ARIZONA,85264-4320,None,AIRESEARCH,TPE331-5&6SER,7/18/97,None,Standard,Normal,No,Valid,11010,None,11/8/05,1972,52226056,S
N202WM,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,2/29/28,Turbo-shaft,None,Corporation,No,A19B71,NO,39 E EAGLE RIDGE DR STE 201,NORTH SALT LAKE,DUCHESNE,UNITED STATES,UTAH,84054-2533,TR7BO,LYCOMING,T-53,8/19/03,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0011,None,2/26/18,1995,50315561,
N753,U S DEPARTMENT OF THE INTERIOR,FBA-2C1,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,2/28/29,Reciprocating,None,Government,No,AA252D,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,IO-540 SER,8/2/04,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,44,None,12/12/03,2003,52422455,
N792HT,U S LEASCO INC,CH-54A,Rotorcraft,AVIATION INTERNATIONAL ROTORS,2/28/30,Turbo-shaft,None,Non Citizen Corporation,No,AAC034,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-4A,7/16/09,None,Restricted,Agriculture and Pest Control,No,Valid,68-18447,None,4/24/08,1968,52540064,
N715HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,2/28/30,Turbo-shaft,None,Non Citizen Corporation,No,A98F61,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-5A,11/5/20,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18470,None,4/19/01,1969,52307541,
N716HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,5/31/27,Turbo-shaft,None,Non Citizen Corporation,No,A99318,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-5A,10/16/20,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18484,None,5/7/01,1969,52311430,
N718HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,5/31/27,Turbo-shaft,None,Non Citizen Corporation,No,A99A86,NO,14497 KEIL ROAD NE,AURORA,MARION,UNITED STATES,OREGON,97002,None,P & W,JFTD12A-5A,11/17/06,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18467,None,5/7/01,1969,52315206,
N719HT,U S LEASECO INC,CH-54B,Rotorcraft,SIKORSKY,8/31/28,Turbo-shaft,None,Non Citizen Corporation,No,A99E3D,NO,251 LITTLE FALLS DR,WILMINGTON,NEW CASTLE,UNITED STATES,DELAWARE,19808-1674,None,P & W,JFTD12A SER,3/11/05,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18469,None,8/2/21,None,52317075,
N721HT,U S LEASECO INC,CH-54B,Rotorcraft,SIKORSKY,6/30/29,Turbo-shaft,None,Corporation,No,A9A804,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-5A,8/30/19,None,Restricted,"Other, Forest",No,Valid,69-18466,None,6/1/16,1969,52324004,
N793HT,U S LEASECO INC,CH-54A,Rotorcraft,HELICOPTER TRANSPORT SVC LLC,2/28/30,Turbo-shaft,None,Non Citizen Corporation,No,AAC3EB,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-4A,7/1/10,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,67-18427,None,4/24/08,1967,52541753,
N795HT,U S LEASECO INC,CH-54A,Rotorcraft,EVERGREEN HELICOPTERS INC,5/31/27,Turbo-shaft,None,Non Citizen Corporation,No,AACB59,NO,14497 KEIL ROAD NE,AURORA,MARION,UNITED STATES,OREGON,97002,None,P & W,JFTD12A-4A,5/27/10,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,6818458,None,5/4/10,1968,52545531,
N47CU,UC HELITANKER 1 LLC,CH-47D,Rotorcraft,BOEING,9/30/29,Turbo-shaft,None,LLC,No,A5BF06,NO,45 E HUNTINGTON DR STE B,ARCADIA,LOS ANGELES,UNITED STATES,CALIFORNIA,91006-7078,None,HONEYWELL,T55-GA-714A,9/1/19,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,92-0299,None,9/3/19,1992,51337406,
N49CU,UC HELITANKER 1 LLC,CH-47D,Rotorcraft,BOEING,4/30/27,Turbo-shaft,None,LLC,No,A60E04,NO,680 S LEMON AVE STE A,CITY OF INDUSTRY,LOS ANGELES,UNITED STATES,CALIFORNIA,91789-2934,None,HONEYWELL,T55-GA-714A,10/14/19,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,93-0934,None,4/6/20,1993,51407004,
N40CU,UC HELITANKER 1 LLC,CH-47D,Rotorcraft,BOEING,7/31/29,Turbo-shaft,None,LLC,No,A4AA8D,NO,45 E HUNTINGTON DR STE B,ARCADIA,LOS ANGELES,UNITED STATES,CALIFORNIA,91006-7078,None,HONEYWELL,T55-GA-714A,6/29/20,None,Experimental,"Exhibition, Research and Development",No,Valid,89-0169,None,7/31/19,1989,51125215,
N60CU,UC HELITANKER 1 LLC,UH-60A,Rotorcraft,SIKORSKY,4/30/27,Turbo-shaft,None,LLC,No,A7C52B,NO,680 S LEMON AVE STE A,CITY OF INDUSTRY,LOS ANGELES,UNITED STATES,CALIFORNIA,91789-2934,None,GE,T700-GE-700,8/6/19,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,80-23499,None,4/13/20,1980,51742453,
N160CD,UC HELITANKER 1 LLC,UH-60A,Rotorcraft,SIKORSKY,11/30/29,Turbo-shaft,None,LLC,No,A0F1E4,NO,45 E HUNTINGTON DR STE B,ARCADIA,LOS ANGELES,UNITED STATES,CALIFORNIA,91006-7078,None,GE,T700-GE-700,2/12/19,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,80-23507,None,11/21/19,1980,50170744,
N1217F,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,12/31/27,Reciprocating,None,Government,No,A05ABC,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,3/23/05,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,18502779,None,7/23/76,1975,50055274,
