flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8,Main Gear Config
N728,UNITED STATES DEPARTMENT OF INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,2/29/28,Reciprocating,None,Government,No,A9C143,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO-550 SERIES,9/1/02,None,Standard,Normal,No,Valid,U20606877,None,8/26/02,1985,52340503,
N735HB,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,12/31/28,Reciprocating,None,Government,No,A9DE4F,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,8/3/11,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,18504448,None,11/4/85,1985,52357117,
N740,UNITED STATES DEPARTMENT OF INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,4/30/30,Reciprocating,None,Government,No,A9F289,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,4/17/80,None,Standard,Normal,No,Valid,U20605724,None,4/7/93,1980,52371211,
N749,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,3/31/28,Reciprocating,None,Government,No,AA13F8,NO,C/O NBC AVIATION MANAGEMENT,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO-520-D,10/3/14,None,Restricted,Other,No,Valid,18504354,None,8/6/84,1982,52411770,
N757,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,2/28/29,Reciprocating,None,Government,No,AA3409,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,7/20/81,None,Standard,Normal,No,Valid,18504306,None,12/11/81,1981,52432011,
N763,UNITED STATES DEPARTMENT OF INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,2/28/30,Reciprocating,None,Government,No,AA4CAC,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,2/27/92,None,Restricted,Forest,No,Valid,U20606943,None,4/23/92,1986,52446254,
N7875D,UNITED STATES DEPARTMENT OF INTERIOR,PA-18-150,Fixed Wing Single-Engine,PIPER,4/30/30,Reciprocating,None,Government,No,AAAD92,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,0-320 SERIES,4/3/98,None,Standard,Normal,No,Valid,18-6030,None,4/1/94,1957,52526622,S
N9395N,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,12/31/27,Reciprocating,None,Government,No,AD0A2C,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,10/30/81,None,Standard,Normal,No,Valid,18504347,None,7/13/83,1981,53205054,
N9623R,UNITED STATES DEPARTMENT OF INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,9/30/28,Reciprocating,None,Government,No,AD6665,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,9/11/87,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,U20606906,None,10/2/86,1985,53263145,
N9987N,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,8/31/27,Reciprocating,None,Government,No,ADF3B5,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,4/3/98,None,Standard,Normal,No,Valid,18504379,None,6/27/83,1982,53371665,
N21HY,UNITED STATES DEPARTMENT OF INTERIOR,A-1B,Fixed Wing Single-Engine,AVIAT AIRCRAFT INC,8/31/27,Reciprocating,None,Government,No,A1B7EF,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O&VO-360 SER,9/3/98,None,Standard,Normal,No,Valid,2002,None,6/9/99,1998,50333757,S
N32PX,UNITED STATES DEPARTMENT OF INTERIOR,U206F,Fixed Wing Single-Engine,CESSNA,1/31/30,Reciprocating,None,Government,No,A36D52,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,5/27/76,None,Standard,Normal,No,Valid,U20603343,None,3/26/85,1976,50666522,
N33PP,UNITED STATES DEPARTMENT OF INTERIOR,206L-3,Rotorcraft,BELL,3/31/29,Turbo-shaft,None,Government,No,A394C9,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,H2SW,ALLISON,250-C30 SER,4/29/83,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,51051,None,12/17/90,1983,50712311,
N109RS,UNITED STATES DEPARTMENT OF INTERIOR,TU206G,Fixed Wing Single-Engine,CESSNA,11/30/27,Reciprocating,None,Government,No,A027AB,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,U20606002,None,7/21/94,None,50023653,
N162GC,UNITED STATES DEPARTMENT OF INTERIOR,B200,Fixed Wing Multi-Engine,BEECH,9/30/27,Turbo-prop,None,Government,No,A0F9B5,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,P&W CANADA,PT6A-60A,4/2/86,None,Standard,Normal,No,Valid,BB-1238,None,9/12/17,1985,50174665,S
N206RW,UNITED STATES DEPARTMENT OF INTERIOR,206B-III,Rotorcraft,BELL,2/29/28,Turbo-shaft,None,Government,No,A1A9D9,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,H2SW,ALLISON,250-C20 SER,4/9/01,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,4372,None,8/8/01,1995,50324731,
N242WB,UNITED STATES DEPARTMENT OF INTERIOR,T206H,Fixed Wing Single-Engine,CESSNA,6/30/29,Reciprocating,None,Government,No,A23963,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,TIO-540-AJ1A,12/27/11,None,Standard,Normal,No,Valid,T20609037,None,6/9/16,2011,50434543,S
N49SJ,UNITED STATES DEPARTMENT OF INTERIOR,DHC-6-300,Fixed Wing Multi-Engine,DEHAVILLAND,10/31/29,Turbo-prop,None,Government,No,A60F58,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,P&W CANADA,PT6A-34,7/25/14,None,Restricted,Other,No,Valid,423,None,3/6/76,1974,51407530,S
N49SJ,UNITED STATES DEPARTMENT OF INTERIOR,DHC-6-300,Fixed Wing Multi-Engine,DEHAVILLAND,10/31/29,Turbo-prop,None,Government,No,A60F58,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,P&W CANADA,PT6A-34,7/25/14,None,Restricted,Other,No,Valid,423,None,3/6/76,1974,51407530,S
N702,UNITED STATES DEPT OF THE INTERIOR,KODIAK 100,Fixed Wing Single-Engine,QUEST AIRCRAFT COMPANY LLC,5/31/28,Turbo-prop,None,Government,No,A95BFB,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,P&W CANADA,PT6A-34,2/16/10,None,Standard,Normal,No,Valid,100-0035,None,9/9/10,2010,52255773,S
N190PE,US DEPARTMENT OF THE INTERIOR,PC-12/45,Fixed Wing Single-Engine,PILATUS FLUGZEUGWERKE AG,2/28/29,Turbo-prop,None,Government,No,A16975,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,P&W CANADA,PT6A-67B,3/1/07,None,Standard,Normal,No,Valid,190,None,12/9/09,1997,50264565,
N5143G,US DEPARTMENT OF THE INTERIOR,DHC-2 MK 1,Fixed Wing Single-Engine,DEHAVILLAND,9/30/28,Reciprocating,None,Government,No,A67313,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,P&W,R-985 SERIES,8/17/09,None,Standard,Normal,No,Valid,466,None,10/1/08,1951,51471423,
N709M,US DEPARTMENT OF THE INTERIOR,FBA-2C2,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,5/31/28,Reciprocating,None,Government,No,A97710,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,IO-540-L1C5,9/28/07,None,Standard,Normal,No,Valid,100,None,9/24/07,2006,52273420,
N716M,US DEPARTMENT OF THE INTERIOR,FBA-2C2,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,4/30/29,Reciprocating,None,Government,No,A9936A,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,IO-540-L1C5,10/3/14,None,Restricted,Other,No,Valid,104,None,1/7/08,2007,52311552,
N796,US DEPARTMENT OF THE INTERIOR,FBA-2C1,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,1/31/30,Reciprocating,None,Government,No,AACE4E,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,IO-540-L1C5,10/3/14,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,50,None,3/16/05,2004,52547116,
N709M,US DEPARTMENT OF THE INTERIOR,FBA-2C2,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,5/31/28,Reciprocating,None,Government,No,A97710,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,IO-540-L1C5,9/28/07,None,Standard,Normal,No,Valid,100,None,9/24/07,2006,52273420,
N716M,US DEPARTMENT OF THE INTERIOR,FBA-2C2,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,4/30/29,Reciprocating,None,Government,No,A9936A,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,IO-540-L1C5,10/3/14,None,Restricted,Other,No,Valid,104,None,1/7/08,2007,52311552,
N135L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,8/31/29,Reciprocating,None,Government,No,A08EBE,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C1G,1/11/16,None,Standard,Normal,No,Valid,CC18-0079,None,8/19/16,2016,50107276,
N186L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,7/31/28,Reciprocating,None,Government,No,A157F0,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C1G,10/9/17,None,Standard,Normal,No,Valid,CC18-0086,None,7/18/18,2017,50253760,
N232L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,8/31/27,Reciprocating,None,Government,No,A210E8,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C4P,10/3/14,None,Restricted,Other,No,Valid,CC18-0069,None,8/7/14,2014,50410350,
N278CC,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,4/30/29,Reciprocating,None,Government,No,A2C469,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C4P,10/3/14,None,Restricted,Other,No,Valid,CC18-0057,None,4/25/13,2012,50542151,
N287L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,8/31/27,Reciprocating,None,Government,No,A2E8F6,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C4P,10/3/14,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,CC18-0071,None,8/7/14,2014,50564366,
N527CC,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,9/30/29,Reciprocating,None,Government,No,A6A324,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C4P,10/3/14,None,Restricted,Other,No,Valid,CC18-0063,None,9/24/13,2012,51521444,
N55PK,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,1/31/28,Reciprocating,None,Government,No,A6FE61,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C1G,1/8/20,None,Standard,Normal,No,Valid,CC18-0096,None,1/4/21,2019,51577141,
N567L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,10/31/29,Reciprocating,None,Government,No,A741E5,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C1G,1/29/16,None,Standard,Normal,No,Valid,CC18-0080,None,10/26/16,2016,51640745,
N6352Z,US DEPARTMENT OF THE INTERIOR,TU206G,Fixed Wing Single-Engine,CESSNA,7/31/29,Reciprocating,None,Government,No,A85305,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,TSIO-520 SER,5/7/81,None,Standard,Normal,No,Valid,U20606250,None,7/9/13,1981,52051405,
N721NR,US DEPARTMENT OF THE INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,2/28/30,Reciprocating,None,Government,No,A9A87F,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,6/13/85,None,Standard,Normal,No,Valid,U20606902,None,2/2/17,1985,52324177,
N774JC,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,8/31/27,Reciprocating,None,Government,No,AA78AE,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C4P,10/3/14,None,Restricted,Other,No,Valid,CC18-0066,None,8/7/14,2014,52474256,
N135L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,8/31/29,Reciprocating,None,Government,No,A08EBE,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C1G,1/11/16,None,Standard,Normal,No,Valid,CC18-0079,None,8/19/16,2016,50107276,
N186L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,7/31/28,Reciprocating,None,Government,No,A157F0,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C1G,10/9/17,None,Standard,Normal,No,Valid,CC18-0086,None,7/18/18,2017,50253760,
N232L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,8/31/27,Reciprocating,None,Government,No,A210E8,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C4P,10/3/14,None,Restricted,Other,No,Valid,CC18-0069,None,8/7/14,2014,50410350,
N287L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,8/31/27,Reciprocating,None,Government,No,A2E8F6,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C4P,10/3/14,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,CC18-0071,None,8/7/14,2014,50564366,
N55PK,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,1/31/28,Reciprocating,None,Government,No,A6FE61,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C1G,1/8/20,None,Standard,Normal,No,Valid,CC18-0096,None,1/4/21,2019,51577141,
N567L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,10/31/29,Reciprocating,None,Government,No,A741E5,NO,300 E MALLARD DR STE 200,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O-360-C1G,1/29/16,None,Standard,Normal,No,Valid,CC18-0080,None,10/26/16,2016,51640745,
N720HT,US LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,4/30/28,Turbo-shaft,None,Non Citizen Corporation,No,A9A44D,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A SER,7/16/03,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18463,None,4/12/18,None,52322115,
N722HT,US LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,7/31/27,Turbo-shaft,None,Non Citizen Corporation,No,A9ABBB,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-5A,7/31/17,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18468,None,7/26/17,1969,52325673,
N764,USDA FOREST SERVIC FEPP,U206F,Fixed Wing Single-Engine,CESSNA,10/31/29,Reciprocating,None,Government,No,AA5063,NO,5500 BROAD RIVER RD,COLUMBIA,RICHLAND,UNITED STATES,SOUTH CAROLINA,29212-3543,None,CONT MOTOR,IO 520 SERIES,1/22/75,None,Standard,Normal,No,Valid,U20602672,None,10/14/22,1975,52450143,
N147Z,USDA FOREST SERVICE,B200GT,Fixed Wing Multi-Engine,TEXTRON AVIATION INC,2/28/29,Turbo-prop,None,Government,No,A0BEF0,NO,C/O FIRE AND AVIATION,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-52,6/19/18,None,Standard,Normal,No,Valid,BY-323,None,2/21/19,2018,50137360,
N111Z,USDA FOREST SERVICE,TU206F,Fixed Wing Single-Engine,CESSNA,7/31/28,Reciprocating,None,Government,No,A03229,NO,FIRE & AVIATION,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,Unknown,Unknown,8/21/75,None,Standard,Normal,No,Valid,U20602919,None,10/19/78,None,50031051,
N191Z,USDA FOREST SERVICE,BEAVER DHC-2,Fixed Wing Single-Engine,DEHAVILLAND,7/31/29,Reciprocating,None,Government,No,A16E21,NO,FIRE & AVIATION,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W,R-985 SERIES,5/2/02,None,Standard-Restricted,"Forest, Aerial Advertising, Agriculture and Pest Control",No,Valid,1006,None,2/5/57,1956,50267041,S
N141Z,USDA FOREST SERVICE,DHC-6-300,Fixed Wing Multi-Engine,DEHAVILLAND,4/30/30,Turbo-prop,None,Government,No,A0A8A6,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705,None,P&W CANADA,PT6A-60A,2/23/84,None,Standard,Normal,No,Valid,803,None,5/31/84,1984,50124246,S
N142Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,11/30/27,Turbo-prop,None,Government,No,A0AC5D,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-65AR,9/12/18,None,Standard,Transport,No,Valid,SH3421,None,11/20/14,1985,50126135,
N149Z,USDA FOREST SERVICE,200C,Fixed Wing Multi-Engine,BEECH,10/31/28,Turbo-prop,None,Government,No,A0C65E,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705,None,P&W,PT6A SER,9/16/85,None,Standard,Normal,No,Valid,BL-124,None,11/13/85,1985,50143136,D
N444DF,USDA FOREST SERVICE,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,9/30/27,Turbo-prop,None,Government,No,A559CA,NO,5500 PRICE AVE,MCCLELLAN,YOLO,UNITED STATES,CALIFORNIA,95652-2438,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,151654,None,9/23/20,None,51254712,
N106FS,USDA FOREST SERVICE,DHC-2 MK. I(L20A),Fixed Wing Single-Engine,DEHAVILLAND,4/30/30,Reciprocating,None,Government,No,A01B8C,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P & W,R-985-AN-1,4/22/08,None,Standard,Normal,No,Valid,477,None,5/6/04,1952,50015614,
N107NJ,USDA FOREST SERVICE,UH-1H,Rotorcraft,BELL,1/31/30,Turbo-shaft,None,Government,No,A01FEA,NO,PO BOX 420,TRENTON,MERCER,UNITED STATES,NEW JERSEY,08625-0420,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,13682,None,2/24/10,None,50017752,
N107Z,USDA FOREST SERVICE,209,Rotorcraft,BELL,1/31/27,Turbo-shaft,None,Government,No,A020F4,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,22342,None,4/30/04,None,50020364,
N109Z,USDA FOREST SERVICE,209,null,BELL,null,null,None,Government,null,A02862,null,FIRE & AVIATION,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,null,None,None,None,null,Unknown,None,No,null,20854,None,4/24/03,null,50024142,
N110Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,11/30/28,Turbo-prop,None,Government,No,A02E72,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-65AR,3/26/20,None,Standard,Transport,No,Valid,SH3409,None,11/15/18,1984,50027162,
N125Z,USDA FOREST SERVICE,KODIAK 100,Fixed Wing Single-Engine,QUEST AIRCRAFT COMPANY LLC,3/31/28,Turbo-prop,None,Government,No,A06884,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-34,9/26/17,None,Standard,Normal,No,Valid,100-0226,None,3/20/18,2017,50064204,
N141Z,USDA FOREST SERVICE,DHC-6-300,Fixed Wing Multi-Engine,DEHAVILLAND,4/30/30,Turbo-prop,None,Government,No,A0A8A6,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705,None,P&W CANADA,PT6A-60A,2/23/84,None,Standard,Normal,No,Valid,803,None,5/31/84,1984,50124246,
N148Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,11/30/27,Turbo-prop,None,Government,No,A0C2A7,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-65AR,4/5/18,None,Standard,Transport,No,Valid,SH3428,None,11/20/14,1998,50141247,
N151Z,USDA FOREST SERVICE,SD3-60,Fixed Wing Multi-Engine,SHORT BROS,11/30/27,Turbo-prop,None,Government,No,A0D025,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,SH3407,None,11/20/14,None,50150045,
N160Z,USDA FOREST SERVICE,KODIAK 100,Fixed Wing Single-Engine,QUEST AIRCRAFT COMPANY LLC,3/31/28,Turbo-prop,None,Government,No,A0F3ED,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-34,10/3/17,None,Standard,Normal,No,Valid,100-0227,None,3/15/18,2017,50171755,S
N161Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,9/30/27,Turbo-prop,None,Government,No,A0F7A4,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-65AR,4/23/16,None,Standard,Transport,No,Valid,SH3412,None,9/16/14,1997,50173644,
N174Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,6/30/28,Turbo-prop,None,Government,No,A12A48,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-65AR,9/12/19,None,Standard,Transport,No,Valid,SH3410,None,6/11/18,1984,50225110,
N176Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,6/30/28,Turbo-prop,None,Government,No,A131B6,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W CANADA,PT6A-65AR,11/29/18,None,Standard,Transport,No,Valid,SH3411,None,6/5/18,1997,50230666,
N192Z,USDA FOREST SERVICE,BEAVER DHC-2 MK.1,Fixed Wing Single-Engine,DEHAVILLAND,1/31/30,Reciprocating,None,Government,No,A171D8,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705,None,P&W,R-985 SERIES,5/2/02,None,Standard-Restricted,"Forest, Aerial Advertising, Agriculture and Pest Control",No,Valid,1347,None,3/2/59,1959,50270730,S
N193Z,USDA FOREST SERVICE,BEAVER DHC-2 MK.1,Fixed Wing Single-Engine,DEHAVILLAND,1/31/30,Reciprocating,None,Government,No,A1758F,NO,3833 S DEVELOPMENT AVE,BOISE,ADA,UNITED STATES,IDAHO,83705-5354,None,P&W,R-985 SERIES,5/2/02,None,Standard-Restricted,"Forest, Aerial Advertising, Agriculture and Pest Control",No,Valid,1162,None,4/29/74,1957,50272617,S
N242KC,USDA FOREST SERVICE,UH-1H,Rotorcraft,BELL,4/30/29,Turbo-shaft,None,Government,No,A23851,NO,5642 VICTOR ST,BAKERSFIELD,KERN,UNITED STATES,CALIFORNIA,93308-4056,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,6717842,None,1/27/99,None,50434121,
N407KC,USDA FOREST SERVICE,UH-1H,Rotorcraft,BELL,4/30/28,Turbo-shaft,None,Government,No,A4C786,NO,5642 VICTOR ST,BAKERSFIELD,KERN,UNITED STATES,CALIFORNIA,93308-4056,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,66-16401,None,9/2/98,None,51143606,
N444DF,USDA FOREST SERVICE,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,9/30/27,Turbo-prop,None,Government,No,A559CA,NO,5500 PRICE AVE,MCCLELLAN,YOLO,UNITED STATES,CALIFORNIA,95652-2438,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,151654,None,9/23/20,None,51254712,
