tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N32AL,10-Nov-2022,AC90,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",02:26PM PST,03:04PM PST,0:37
N32AL,10-Nov-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",10:19AM PST,11:04AM PST,0:45
N32AL,07-Oct-2022,AC90,Great Falls Intl (KGTF),"Great Falls Intl (Great Falls, MT) - KGTF",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",12:41PM MDT,01:43PM PDT,2:02
N32AL,06-Oct-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Great Falls Intl (KGTF),"Great Falls Intl (Great Falls, MT) - KGTF",09:42AM PDT,12:44PM MDT,2:01
N32AL,04-Oct-2022,AC90,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",03:09PM PDT,03:49PM PDT,0:39
N32AL,04-Oct-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",10:27AM PDT,11:04AM PDT,0:37
N32AL,02-Oct-2022,AC90,Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",12:32PM PDT,01:03PM PDT,0:30
N32AL,02-Oct-2022,AC90,Sunriver (S21),"Sunriver (Sunriver, OR) - S21",Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",11:26AM PDT,12:09PM PDT,0:42
N32AL,30-Sep-2022,AC90,Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",Sunriver (S21),"Sunriver (Sunriver, OR) - S21",11:33AM PDT,12:13PM PDT,0:39
N32AL,30-Sep-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",10:27AM PDT,11:05AM PDT,0:37
N32AL,21-Sep-2022,AC90,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",12:38PM PDT,01:16PM PDT,0:37
N32AL,21-Sep-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",08:59AM PDT,09:32AM PDT,0:32
N32AL,14-Sep-2022,AC90,Great Falls Intl (KGTF),"Great Falls Intl (Great Falls, MT) - KGTF",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",07:59PM MDT,09:07PM PDT,2:08
N32AL,13-Sep-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Great Falls Intl (KGTF),"Great Falls Intl (Great Falls, MT) - KGTF",04:23PM PDT,07:16PM MDT,1:53
N32AL,29-Aug-2022,AC90,Rogue Valley Intl (KMFR),"Rogue Valley Intl (Medford, OR) - KMFR",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",09:24AM PDT,10:12AM PDT,0:47
N32AL,29-Aug-2022,AC90,Roberts Fld (KRDM),"Roberts Fld (Redmond, OR) - KRDM",Rogue Valley Intl (KMFR),"Rogue Valley Intl (Medford, OR) - KMFR",08:28AM PDT,09:10AM PDT,0:41
N32AL,29-Aug-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Roberts Fld (KRDM),"Roberts Fld (Redmond, OR) - KRDM",07:01AM PDT,07:32AM PDT,0:31
N32AL,25-Aug-2022,AC90,Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",02:25PM PDT,03:00PM PDT,0:34
N32AL,25-Aug-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",01:38PM PDT,02:12PM PDT,0:33
N32AL,14-Jul-2022,AC90,Roberts Fld (KRDM),"Roberts Fld (Redmond, OR) - KRDM",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",10:11AM PDT,10:39AM PDT,0:28
N32AL,14-Jul-2022,AC90,Great Falls Intl (KGTF),"Great Falls Intl (Great Falls, MT) - KGTF",Roberts Fld (KRDM),"Roberts Fld (Redmond, OR) - KRDM",08:46AM MDT,09:52AM PDT,2:05
N32AL,12-Jul-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Great Falls Intl (KGTF),"Great Falls Intl (Great Falls, MT) - KGTF",03:27PM PDT,06:19PM MDT,1:51
N32AL,11-Jul-2022,AC90,Astoria Rgnl (KAST),"Astoria Rgnl (Astoria, OR) - KAST",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",03:36PM PDT,03:57PM PDT,0:21
N32AL,11-Jul-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Astoria Rgnl (KAST),"Astoria Rgnl (Astoria, OR) - KAST",08:43AM PDT,09:01AM PDT,0:17
N32AL,22-Jun-2022,AC90,Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",12:50PM PDT,01:27PM PDT,0:36
N32AL,22-Jun-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",11:21AM PDT,12:00PM PDT,0:38
N542LM,27-Jan-2023,LJ35,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:39AM PST,01:12PM AKST,3:32
N542LM,27-Jan-2023,LJ35,Salt Lake City Intl (KSLC),"Salt Lake City Intl (Salt Lake City, UT) - KSLC",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",09:13AM MST,09:56AM PST,1:42
N542LM,26-Jan-2023,LJ35,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Salt Lake City Intl (KSLC),"Salt Lake City Intl (Salt Lake City, UT) - KSLC",01:39PM PST,04:11PM MST,1:32
N542LM,26-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",09:31AM AKST,01:11PM PST,2:39
N542LM,25-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:26PM AKST,06:16PM AKST,0:50
N542LM,25-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",05:26PM AKST,,Diverted
N542LM,23-Jan-2023,LJ35,Nome (OME / PAOM),"Nome (Nome, AK) - OME / PAOM",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:05PM AKST,09:13PM AKST,1:08
N542LM,23-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Nome (OME / PAOM),"Nome (Nome, AK) - OME / PAOM",06:07PM AKST,07:27PM AKST,1:19
N542LM,22-Jan-2023,LJ35,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",06:06PM PST,08:35PM AKST,3:29
N542LM,22-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",12:08PM AKST,04:03PM PST,2:55
N542LM,22-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:47AM AKST,10:26AM AKST,0:38
N542LM,22-Jan-2023,LJ35,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",04:38AM PST,07:36AM AKST,3:57
N542LM,21-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",11:04PM AKST,02:40AM PST (+1),2:35
N542LM,21-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:24PM AKST,09:08PM AKST,0:43
N542LM,21-Jan-2023,LJ35,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",12:08PM PST,02:34PM AKST,3:25
N542LM,20-Jan-2023,LJ35,Mcchord Fld (Joint Base Lewis-Mcchord) (KTCM),"Mcchord Fld (Joint Base Lewis-Mcchord) (Tacoma, WA) - KTCM",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",09:35PM PST,09:52PM PST,0:17
N542LM,20-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Mcchord Fld (Joint Base Lewis-Mcchord) (KTCM),"Mcchord Fld (Joint Base Lewis-Mcchord) (Tacoma, WA) - KTCM",03:35PM AKST,07:59PM PST,3:23
N542LM,20-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",01:58AM AKST,02:35AM AKST,0:37
N542LM,19-Jan-2023,LJ35,Deadhorse (SCC / PASC),"Deadhorse (Deadhorse, AK) - SCC / PASC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:01PM AKST,12:30AM AKST (+1),1:29
N542LM,19-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Deadhorse (SCC / PASC),"Deadhorse (Deadhorse, AK) - SCC / PASC",09:26PM AKST,10:24PM AKST,0:57
N542LM,19-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",07:56PM AKST,08:21PM AKST,0:24
N542LM,19-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",06:30PM AKST,07:09PM AKST,0:38
N542LM,19-Jan-2023,LJ35,Ralph Wien Meml (OTZ / PAOT),"Ralph Wien Meml (Kotzebue, AK) - OTZ / PAOT",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:23PM AKST,03:38PM AKST,1:15
N542LM,19-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Ralph Wien Meml (OTZ / PAOT),"Ralph Wien Meml (Kotzebue, AK) - OTZ / PAOT",10:35AM AKST,11:49AM AKST,1:13
N542LM,17-Jan-2023,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:41PM AKST,04:37PM AKST,0:55
N542LM,17-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",01:22PM AKST,02:33PM AKST,1:10
N542LM,16-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",05:20PM AKST,05:51PM AKST,0:30
N542LM,07-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",02:14PM AKST,02:30PM AKST,0:16
N542LM,06-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",10:36PM AKST,10:53PM AKST,0:17
N542LM,06-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",10:36PM AKST,,Diverted
N542LM,03-Jan-2023,LJ35,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",11:36AM PST,01:49PM AKST,3:13
N542LM,02-Jan-2023,LJ35,Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",05:51PM AKST,08:36PM PST,1:45
N542LM,02-Jan-2023,LJ35,Juneau Intl (JNU / PAJN),"Juneau Intl (Juneau, AK) - JNU / PAJN",Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",04:24PM AKST,05:15PM AKST,0:51
N542LM,02-Jan-2023,LJ35,Juneau Intl (JNU / PAJN),"Juneau Intl (Juneau, AK) - JNU / PAJN",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",04:24PM AKST,,Diverted
N542LM,02-Jan-2023,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Juneau Intl (JNU / PAJN),"Juneau Intl (Juneau, AK) - JNU / PAJN",01:34PM AKST,03:43PM AKST,2:08
N542LM,02-Jan-2023,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",11:04AM AKST,12:02PM AKST,0:57
N542LM,02-Jan-2023,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:46AM AKST,10:32AM AKST,0:45
N542LM,28-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:44PM AKST,10:23PM AKST,0:39
N542LM,28-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:19PM AKST,09:00PM AKST,0:41
N542LM,27-Dec-2022,LJ35,"Warren ""Bud"" Woods Palmer Muni (PAQ / PAAQ)",Warren ,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",03:08PM AKST,03:46PM AKST,0:38
N542LM,27-Dec-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE","Warren ""Bud"" Woods Palmer Muni (PAQ / PAAQ)",Warren ,12:56PM AKST,01:57PM AKST,1:00
N542LM,27-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",10:28AM AKST,11:42AM AKST,1:13
N542LM,27-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",02:33AM AKST,03:11AM AKST,0:38
N542LM,27-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:27AM AKST,01:11AM AKST,0:43
N542LM,26-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:49PM AKST,10:29PM AKST,0:40
N542LM,26-Dec-2022,LJ35,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:54PM AKST,07:52PM AKST,0:58
N542LM,26-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",04:27PM AKST,05:38PM AKST,1:11
N542LM,26-Dec-2022,LJ35,Sitka Rocky Gutierrez (SIT / PASI),"Sitka Rocky Gutierrez (Sitka, AK) - SIT / PASI",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",10:46AM AKST,12:20PM AKST,1:34
N542LM,26-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Sitka Rocky Gutierrez (SIT / PASI),"Sitka Rocky Gutierrez (Sitka, AK) - SIT / PASI",04:57AM AKST,06:36AM AKST,1:38
N542LM,25-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",05:13AM AKST,05:53AM AKST,0:39
N542LM,25-Dec-2022,LJ35,Sitka Rocky Gutierrez (SIT / PASI),"Sitka Rocky Gutierrez (Sitka, AK) - SIT / PASI",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:26AM AKST,03:48AM AKST,1:22
N542LM,24-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Sitka Rocky Gutierrez (SIT / PASI),"Sitka Rocky Gutierrez (Sitka, AK) - SIT / PASI",10:17PM AKST,11:51PM AKST,1:33
N542LM,24-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",08:28PM AKST,09:06PM AKST,0:38
N542LM,24-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:38PM AKST,06:22PM AKST,0:44
N542LM,22-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",08:18PM AKST,08:46PM AKST,0:27
N542LM,20-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",08:01AM AKST,08:42AM AKST,0:40
N542LM,20-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:17AM AKST,05:57AM AKST,0:39
N542LM,20-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",02:35AM AKST,03:15AM AKST,0:39
N542LM,20-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:06AM AKST,12:50AM AKST,0:43
N542LM,13-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",01:15PM AKST,02:09PM AKST,0:53
N542LM,08-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",09:09PM AKST,09:49PM AKST,0:40
N542LM,08-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:19PM AKST,08:24PM AKST,3:05
N542LM,08-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",05:19PM AKST,,Diverted
N542LM,08-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",04:26PM AKST,04:43PM AKST,0:17
N542LM,08-Dec-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",04:26PM AKST,,Diverted
N542LM,08-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:47PM AKST,03:25PM AKST,0:38
N542LM,07-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",02:33PM AKST,04:06PM AKST,1:33
N542LM,06-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",02:10PM AKST,02:32PM AKST (?),0:21
N542LM,01-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",01:51PM AKST,02:59PM AKST,1:08
N542LM,01-Dec-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",01:24PM AKST,01:42PM AKST,0:18
N542LM,30-Nov-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",12:01PM AKST,12:08PM AKST,0:07
N542LM,30-Nov-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",11:02AM AKST,11:54AM AKST,0:52
N542LM,18-Nov-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",12:15AM AKST,12:55AM AKST,0:40
N542LM,15-Nov-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:06PM AKST,05:50PM AKST,0:44
N542LM,02-Nov-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:37PM AKDT,12:49AM AKDT (+1),1:12
N542LM,02-Nov-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",11:37PM AKDT,,Diverted
N542LM,27-Oct-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:34PM AKDT,03:44PM AKDT,1:09
N542LM,27-Oct-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",02:34PM AKDT,,Diverted
N542LM,13-Oct-2022,LJ35,Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",04:19PM AKDT,04:36PM AKDT,0:17
N542LM,13-Oct-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",03:06PM AKDT,04:08PM AKDT,1:02
N542LM,12-Oct-2022,LJ35,Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",04:38PM AKDT,05:58PM AKDT,1:20
N542LM,12-Oct-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Cold Bay (CDB / PACD),"Cold Bay (Cold Bay, AK) - CDB / PACD",01:54PM AKDT,04:05PM AKDT,2:10
N542LM,12-Oct-2022,LJ35,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",12:16PM AKDT,12:47PM AKDT,0:30
N542LM,10-Oct-2022,LJ35,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",07:44PM AKDT,08:23PM AKDT,0:38
