tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N548LM,05-Sep-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:36PM AKDT,04:35PM AKDT,0:59
N548LM,05-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",01:44PM AKDT,02:46PM AKDT,1:02
N548LM,05-Sep-2022,LJ31,Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:56AM AKDT,12:18PM AKDT,0:22
N548LM,05-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",09:18AM AKDT,10:45AM AKDT,1:26
N548LM,02-Sep-2022,LJ31,Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:51PM AKDT,02:08PM AKDT,0:16
N548LM,02-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",11:36AM AKDT,12:41PM AKDT,1:04
N548LM,01-Sep-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:31PM AKDT,03:44PM AKDT,1:12
N548LM,01-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",12:51PM AKDT,01:54PM AKDT,1:02
N548LM,31-Aug-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:10PM AKDT,08:59PM AKDT,0:49
N548LM,30-Aug-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",06:01PM AKDT,06:14PM AKDT,0:13
N548LM,30-Aug-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",04:35PM AKDT,05:54PM AKDT,1:18
N548LM,30-Aug-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",07:50AM AKDT,09:14AM AKDT,1:24
N548LM,30-Aug-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Nenana Muni (ENN / PANN),"Nenana Muni (Nenana, AK) - ENN / PANN",07:50AM AKDT,,Diverted
N548LM,29-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",06:37PM AKDT,07:23PM AKDT,0:45
N548LM,27-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:16PM AKDT,11:13PM AKDT,0:57
N548LM,27-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",08:02PM AKDT,09:00PM AKDT,0:57
N548LM,26-Aug-2022,LJ31,Gulkana (GKN / PAGK),"Gulkana (Gulkana, AK) - GKN / PAGK",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",09:00AM AKDT,09:30AM AKDT,0:30
N548LM,26-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Gulkana (GKN / PAGK),"Gulkana (Gulkana, AK) - GKN / PAGK",07:57AM AKDT,08:33AM AKDT,0:35
N548LM,25-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:57PM AKDT,04:56PM AKDT,1:58
N548LM,25-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",02:57PM AKDT,,Diverted
N548LM,23-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:34PM AKDT,03:31PM AKDT,0:56
N548LM,23-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",12:49PM AKDT,01:45PM AKDT,0:55
N548LM,19-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:01AM AKDT,10:54AM AKDT,0:53
N548LM,19-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",08:00AM AKDT,09:01AM AKDT,1:01
N548LM,18-Aug-2022,LJ31,Juneau Intl (JNU / PAJN),"Juneau Intl (Juneau, AK) - JNU / PAJN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",08:19PM AKDT,09:44PM AKDT,1:24
N548LM,18-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Juneau Intl (JNU / PAJN),"Juneau Intl (Juneau, AK) - JNU / PAJN",04:56PM AKDT,06:11PM AKDT,1:14
N548LM,18-Aug-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:26PM AKDT,02:26PM AKDT,1:00
N548LM,18-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",10:55AM AKDT,11:57AM AKDT,1:01
N548LM,18-Aug-2022,LJ31,Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:42AM AKDT,07:29AM AKDT,1:46
