Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
00481.29*A,84AL,,AL,1,UNATNDD
00481.30*A,7AL5,,AL,1,UNATNDD
00481.37*A,AL16,,AL,1,UNATNDD
00481.91*A,1A9,,AL,4,ALL/ALL/0800-1700
00492.5*A,HUA,KHUA,AL,2,CLDS HOLS
00492.5*A,HUA,KHUA,AL,1,ALL/MON-FRI/0700-1800
00494.*A,3M8,,AL,1,UNATNDD
00498.01*H,2AL2,,AL,1,IREG
00498.5*A,AL25,,AL,1,UNATNDD
00498.*A,7A5,,AL,1,UNATNDD
00499.03*A,AL84,,AL,1,UNATNDD
00499.1*A,1AL4,,AL,1,UNATNDD
00502.11*H,AL15,,AL,1,UNATNDD
00502.1*A,M22,,AL,1,ALL/MON-SAT/0900-1700
00507.02*A,1A4,,AL,1,UNATNDD
00507.*A,2R5,,AL,1,UNATNDD
00508.22*H,36AA,,AL,1,ALL/ALL/ALL
00509.12*H,03AL,,AL,1,UNATNDD
00509.1*A,4A6,,AL,1,ALL/ALL/0800-1700
00511.1*H,AL90,,AL,1,UNATNDD
00511.*A,SEM,KSEM,AL,1,ALL/ALL/0800-1800
00514.19*H,47AL,,AL,2,ALL/ALL/ALL
00514.*A,AL74,,AL,1,UNATNDD
00516.01*H,31AL,,AL,1,UNATNDD
00516.*A,AL41,,AL,2,ALL/SUN/1200-1700
00516.*A,AL41,,AL,1,ALL/MON-SAT/0800-1700
00518.005*A,AL04,,AL,1,UNATNDD
00519.*C,AL58,,AL,1,UNATNDD
00520.1*A,7AL2,,AL,1,UNATNDD
00520.2*A,7A6,,AL,1,UNATTENDED
00521.01*H,0NY2,,NY,1,12/7/24
00521.*C,HL2,,AL,1,ALL/ALL/SR-SS
00522.11*A,NFD,KNFD,AL,1,ALL/MON-FRI/1330-2330Z++
00522.11*A,NFD,KNFD,AL,2,ALL/SAT-SUN/CLSD
00522.11*A,NFD,KNFD,AL,3,ALL/HOLS/CLSD
00522.1*A,4AL6,,AL,1,ALL/MON-SAT/DAWN-DUSK
00522.*A,AL69,,AL,1,UNATNDD
00525.11*C,46AL,,AL,1,UNATNDD
00525.1*A,SCD,KSCD,AL,1,ALL/MON-FRI/0800-1600
00528.03*A,8AL2,,AL,1,ALL/ALL/DAYLIGHT
00528.1*A,ASN,KASN,AL,1,ALL/MON-FRI/0800-1600
00530.1*H,AL83,,AL,1,ALL/ALL/ALL
00536.*H,5AL2,,AL,1,ALL/ALL/ALL
00539.*H,AL48,,AL,1,UNATNDD
00546.01*A,AL77,,AL,1,UNATNDD
00546.*A,TOI,KTOI,AL,1,ALL/ALL/0800-1700
00550.*H,AL73,,AL,1,UNATNDD
00554.01*H,AL26,,AL,1,IREG
00554.03*H,3AL3,,AL,1,UNATNDD
00554.*A,TCL,KTCL,AL,1,ALL/ALL/0500-2200
00561.02*A,27AL,,AL,1,UNATNDD
00561.*A,06A,,AL,1,ALL/ALL/0700-1700
00565.*A,07A,,AL,1,UNATNDD
00568.5*H,AL07,,AL,1,UNATNDD
00570.*A,M55,,AL,1,UNATNDD
00590.1*A,2AL3,,AL,1,UNATNDD
00590.*A,08A,,AL,1,UNATNDD
00593.5*A,AL94,,AL,1,UNATNDD
00594.01*H,34AL,,AL,1,ATTENDANCE ON REQUEST
00594.*A,AL17,,AL,1,UNATNDD
00596.*A,AL54,,AL,1,UNATNDD
00598.11*H,AL98,,AL,1,UNATNDD
00624.01*A,27AZ,,AZ,1,UNATNDD
00624.02*A,28AZ,,AZ,1,ALL/ALL/0800-1700
00624.*A,26AZ,,AZ,1,UNATNDD
00626.*A,P01,,AZ,1,UNATNDD
00630.3*A,E51,,AZ,1,UNATNDD
00632.1*A,E95,,AZ,1,ALL/ALL/ALL
00632.*A,31AZ,,AZ,1,UNATNDD
00634.02*H,6AZ6,,AZ,1,UNATNDD
00634.*A,P04,,AZ,1,ALL/ALL/ALL
00636.*A,62AZ,,AZ,1,UNATNDD
00640.21*A,10AZ,,AZ,1,ALL/MON-SAT/0800-1700
