,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,#Runway Id
3925,DE24,HELIPORT,N,39.11150139,-75.50547833,H1,TURF-F,,,,,,F,,1
3926,23DE,AIRPORT,Y,39.31256667,-75.72898333,14/32,ASPH,,,,,,,,1
3927,2DE3,AIRPORT,Y,39.00305556,-75.6825,04/22,TURF,,,,,,,,1
3928,DE14,AIRPORT,,38.7440025,-75.53492444,14/32,TURF,,,,,,,,1
3929,15N,AIRPORT,Y,39.11733333,-75.58441667,12/30,TURF-G,,,,,,,,1
3930,DE09,AIRPORT,Y,39.06816806,-75.48853306,15/33,TURF,,,,,,,,1
3931,N06,AIRPORT,Y,38.54218444,-75.59435167,15/33,TURF-G,LOW,,,,,,,1
3932,1DE5,AIRPORT,Y,39.49555556,-75.73333333,11/29,TURF,,,,,,,,1
3933,2DE8,AIRPORT,,38.91357222,-75.34533611,11/29,TURF,,,,,,,,1
3934,ILG,AIRPORT,Y-L,39.67870972,-75.606635,09/27,ASPH-G,HIGH,90,140,250,,G,KILG,3
3935,ILG,AIRPORT,Y-L,39.67870972,-75.606635,14/32,ASPH-F,MED,50,60,,,G,KILG,3
3936,ILG,AIRPORT,Y-L,39.67870972,-75.606635,01/19,ASPH-F,HIGH,90,140,250,,G,KILG,3
3937,DE23,AIRPORT,Y,38.75027778,-75.36,10/28,TURF-G,,,,,,,,1
3938,DE15,AIRPORT,Y,38.61261472,-75.69965278,09/27,TURF-G,,,,,,,,1
3939,DE16,HELIPORT,Y,39.78344583,-75.54964556,H1,CONC-F,,,,,,F,,1
3940,DE29,AIRPORT,Y,39.37511111,-75.64409444,14/32,TURF,,,,,,,,1
3941,38N,AIRPORT,Y,39.30366667,-75.58380556,10/28,TURF-G,LOW,,,,,,,1
3942,DE20,AIRPORT,,39.37361111,-75.74583333,02/20,TURF,,,,,,,,1
3943,DE17,AIRPORT,Y,38.77789111,-75.58325944,03/21,TURF,LOW,,,,,,,1
3944,EVY,AIRPORT,Y-L,39.52102778,-75.72366667,17/35,ASPH-F,MED,,,,,G,KEVY,2
3945,EVY,AIRPORT,Y-L,39.52102778,-75.72366667,11/29,TURF-G,LOW,,,,,,KEVY,2
3946,DE34,AIRPORT,,39.41427778,-75.66298333,04/22,TURF-F,,,,,,,,1
3947,DE21,AIRPORT,Y,38.517335,-75.16546306,10/28,TURF,,,,,,,,1
3948,2DE2,AIRPORT,Y,38.85503333,-75.57220556,16/34,TURF,,,,,,,,1
3949,DE39,HELIPORT,Y-L,39.75111111,-75.55055556,H1,ROOF-TOP-E,PERI,,,,,F,,1
3950,FA10,HELIPORT,,25.78422778,-80.19001667,H1,CONC,,,,,,,,1
3951,FA28,HELIPORT,,27.35916667,-80.48694444,H1,CONC,,,,,,,,1
3952,9FD6,HELIPORT,Y,27.94696639,-82.42092694,H1,CONC,,,,,,,,1
3953,7FL1,HELIPORT,Y,28.01694444,-81.675,H1,TURF,,,,,,,,1
3954,40FL,AIRPORT,Y,26.95258056,-81.87094167,05/23,TURF-F,,,,,,,,1
3955,01FD,HELIPORT,Y,28.66663889,-81.3697,H1,CONC,PERI,,,,,,,1
3956,1FA2,HELIPORT,Y,28.65011111,-81.54133333,H1,CONC,PERI,,,,,,,1
3957,77FL,HELIPORT,Y,28.32916667,-81.5425,H1,ASPH-G,PERI,,,,,,,1
3958,4FL6,HELIPORT,Y-L,29.24373056,-81.10714722,H1,CONC-G,PERI,,,,,,,1
3959,2FD9,HELIPORT,Y,29.04463056,-81.31783889,H1,CONC,FLD,,,,,,,1
3960,FD36,HELIPORT,Y,28.54075,-81.28083333,H1,ASPH,,,,,,,,1
3961,85FD,HELIPORT,,28.31528806,-81.40590417,H1,CONC,,,,,,,,1
3962,FA95,HELIPORT,Y,28.78373889,-81.34872778,H1,CONC,,,,,,,,1
3963,FA58,HELIPORT,Y-L,28.13263333,-82.75833333,H1,ASPH,,,,,,,,1
3964,37FA,HELIPORT,Y,28.57555611,-81.3684025,H1,CONC-F,PERI,,,,,F,,1
3965,61FD,HELIPORT,,29.47888889,-81.19166667,H1,CONC,PERI,,,,,,,1
3966,3FA1,HELIPORT,,28.07048889,-82.42231111,H1,ASPH,,,,,,,,1
3967,27FL,HELIPORT,Y,28.19470278,-82.35047222,H1,CONC,,,,,,,,1
3968,FA00,HELIPORT,Y,28.52311111,-81.58902778,H1,CONC,PERI,,,,,,,1
3969,FD75,HELIPORT,Y,28.26192778,-82.18565,H1,CONC,,,,,,,,1
3970,FA52,HELIPORT,Y,27.53804,-81.509274,H1,CONC,,,,,,,,1
3971,FD88,AIRPORT,Y-L,27.34198694,-80.52199889,09/27,CONC,MED,,,,,,,1
3972,58FL,HELIPORT,Y,26.41563083,-80.19143472,H1,TURF-F,,,,,,F,,1
3973,43FA,HELIPORT,,27.93180556,-82.28983333,H1,CONC,,,,,,,,1
